filename,segment_start,segment_end,emotion,valence,arousal,dominance
Ses01F_impro01_1.png,6,12,negative,2.5,2.25,2.5
Ses01F_impro01_2.png,12,18,neutral,2.333333333,2.666666667,2.833333333
Ses01F_impro01_3.png,18,24,negative,2.4,3.1,3
Ses01F_impro01_4.png,24,30,negative,2.375,3.5,2.875
Ses01F_impro01_5.png,30,36,negative,2.166666667,3.666666667,3
Ses01F_impro01_6.png,36,42,negative,2,3.5,3.5
Ses01F_impro01_7.png,42,48,negative,2.166666667,3.5,3.5
Ses01F_impro01_8.png,48,54,negative,2.5,3.5,3.25
Ses01F_impro01_9.png,54,60,negative,2.166666667,3.5,3.333333333
Ses01F_impro01_10.png,60,66,negative,2.166666667,3.5,3.5
Ses01F_impro01_11.png,66,72,negative,2,3.5,3.75
Ses01F_impro01_12.png,72,78,negative,2.25,3.5,3.75
Ses01F_impro01_13.png,78,84,negative,2,4,3.75
Ses01F_impro01_14.png,84,90,negative,2,4,3.833333333
Ses01F_impro01_15.png,90,96,negative,2.333333333,3.166666667,3.166666667
Ses01F_impro01_16.png,96,102,neutral,2.375,3.375,3.375
Ses01F_impro02_1.png,6,12,negative,2.5,2,1.5
Ses01F_impro02_2.png,12,18,negative,2.25,2.25,2
Ses01F_impro02_3.png,18,24,negative,2,2.166666667,2.166666667
Ses01F_impro02_4.png,24,30,negative,2,2,2
Ses01F_impro02_5.png,30,36,neutral,2,1.75,1.75
Ses01F_impro02_6.png,36,42,negative,2.25,2.5,2.25
Ses01F_impro02_7.png,42,48,negative,2.5,2.5,2.5
Ses01F_impro02_8.png,48,54,negative,2.25,2.5,2.75
Ses01F_impro02_9.png,54,60,negative,2,2.5,2.75
Ses01F_impro02_10.png,60,66,negative,2.166666667,2.5,2.333333333
Ses01F_impro02_11.png,66,72,negative,2.25,2.75,2
Ses01F_impro02_12.png,72,78,negative,2,3.25,2.25
Ses01F_impro02_13.png,78,84,negative,2,3.25,2.25
Ses01F_impro02_14.png,84,90,negative,1.75,2.5,1.5
Ses01F_impro02_15.png,90,96,negative,1.5,1.75,1.75
Ses01F_impro02_16.png,96,102,negative,2,1.5,2
Ses01F_impro02_17.png,102,108,negative,2.166666667,2.333333333,2.333333333
Ses01F_impro02_18.png,108,114,negative,2.5,2,2.25
Ses01F_impro02_19.png,114,120,negative,2.75,1.75,2
Ses01F_impro02_20.png,120,126,negative,2.75,2,1.5
Ses01F_impro02_21.png,126,132,negative,1.5,2,2
Ses01F_impro02_22.png,132,138,negative,2,1.75,2.25
Ses01F_impro02_23.png,138,144,negative,1.5,2,2
Ses01F_impro02_24.png,144,150,neutral,2,2,2
Ses01F_impro02_25.png,150,156,negative,2.25,2.25,2.25
Ses01F_impro02_26.png,156,162,negative,1.5,2,2
Ses01F_impro02_27.png,162,168,negative,1.666666667,2,2
Ses01F_impro02_28.png,168,174,negative,2.5,3,2
Ses01F_impro02_29.png,174,180,neutral,3,2.833333333,2.166666667
Ses01F_impro02_30.png,180,186,negative,2.5,1.5,2
Ses01F_impro02_31.png,186,192,negative,4,2,2.5
Ses01F_impro02_32.png,192,198,negative,2,1.5,2.5
