% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[10.0461 - 13.3500],Ses05F_script03_2_F000,neu,"[2.5000, 3.0000, 3.0000]","['you', 'knew', 'there', 'was', 'nothing', 'in', 'that']"
[15.6000 - 18.0200],Ses05F_script03_2_F001,neu,"[2.0000, 3.0000, 3.5000]","['only', 'a', 'trivial', 'little', 'broach']"
[20.0400 - 23.7100],Ses05F_script03_2_F002,xxx,"[2.5000, 3.0000, 3.5000]","['no', 'not', 'at', 'all', 'i-i', 'still', 'have', 'it', 'i', 'wear', 'it', 'quite', 'often']"
[26.4100 - 29.5300],Ses05F_script03_2_F003,neu,"[2.5000, 3.0000, 3.5000]","['you', 'worked', 'the', 'whole', 'thing', 'up', 'in', 'your', 'jealous', 'imagination']"
[31.9500 - 34.5400],Ses05F_script03_2_F004,neu,"[2.5000, 2.5000, 3.0000]","['maybe', 'just', 'a', 'little', 'but', '--']"
[36.6100 - 38.2200],Ses05F_script03_2_F005,neu,"[2.5000, 4.0000, 3.0000]","['and', 'what', 'of', 'it']"
[38.7800 - 42.6200],Ses05F_script03_2_F006,neu,"[4.0000, 3.0000, 4.0000]","['well', 'i-', 'he', 'got', 'a', 'lot', 'of', 'pleasure', 'out', 'of', 'it', 'and', 'it', 'did', 'not', 'hurt', 'me']"
[43.1200 - 47.7100],Ses05F_script03_2_F007,xxx,"[2.5000, 3.0000, 4.0000]","['well', 'if', 'you', 'had', 'not', 'been', 'so', 'nosey', 'and', 'suspicious', 'you', 'never', 'would', 'have', 'heard', 'about', 'it']"
[48.9800 - 54.0200],Ses05F_script03_2_F008,fru,"[2.0000, 2.5000, 3.5000]","['i', ""'m"", 'growing', 'quite', 'tired', 'and', 'bored', 'of', 'this', 'conversation']"
[57.9400 - 59.6100],Ses05F_script03_2_F009,xxx,"[3.0000, 2.5000, 2.5000]",['no']
[61.2300 - 64.7300],Ses05F_script03_2_F010,neu,"[2.0000, 3.0000, 3.5000]","['i', 'do', 'not', 'see', 'why', 'you', 'want', 'any', 'you', 'have', 'already', 'had', 'three', 'glasses']"
[67.3400 - 70.7900],Ses05F_script03_2_F011,neu,"[2.0000, 3.0000, 3.5000]","['well', 'it', 'seems', 'silly', 'to', 'go', 'on', 'and', 'on', 'in', 'such', 'a', 'thing']"
[75.7800 - 78.1600],Ses05F_script03_2_F012,neu,"[2.5000, 2.5000, 3.5000]","['it', 'is', 'becoming', 'a', 'habit', 'with', 'you']"
[85.3600 - 87.4500],Ses05F_script03_2_F013,xxx,"[2.5000, 2.5000, 3.0000]","['do', 'not', 'be', 'so', 'stupid']"
[96.4700 - 99.7700],Ses05F_script03_2_F014,neu,"[2.5000, 2.5000, 3.5000]","['just', 'making', 'myself', 'fascinating', 'for', 'you']"
[107.3500 - 111.3800],Ses05F_script03_2_F015,xxx,"[2.5000, 3.5000, 3.5000]","['it', 'is', 'the', 'woman', 'is', 'job', 'to', 'allure', 'the', 'man', 'why', 'do', 'not', 'you', 'watch', 'me', 'for', 'a', 'moment']"
[113.0800 - 114.9000],Ses05F_script03_2_F016,xxx,"[2.5000, 2.5000, 3.0000]","['no', 'it', 'is', 'not']"
[115.8200 - 117.9700],Ses05F_script03_2_F017,xxx,"[1.5000, 2.5000, 3.0000]","['oh', 'do', 'shut', 'up']"
[121.2500 - 124.3900],Ses05F_script03_2_F018,ang,"[1.5000, 3.5000, 4.0000]","['um', 'it', 'does', 'not', 'seem', 'to', 'have', 'worked', 'such', 'wonders', 'with', 'you']"
[125.2100 - 127.4000],Ses05F_script03_2_F019,ang,"[3.0000, 3.0000, 3.5000]","['adder', 'do', 'not', 'snap', 'they', 'sting']"
[129.2800 - 130.4900],Ses05F_script03_2_F020,ang,"[3.0000, 3.0000, 3.0000]","['they', 'sting']"
[130.5900 - 134.5300],Ses05F_script03_2_F021,ang,"[1.0000, 4.0000, 4.5000]","['i', 'do', 'not', 'care', 'if', 'they', 'bark', 'and', 'roll', 'around', 'like', 'hoops', 'okay']"
[140.4600 - 142.3600],Ses05F_script03_2_F022,neu,"[4.0000, 3.5000, 3.5000]","['yes', 'i', 'did', 'quite', 'a', 'bit']"
[143.8800 - 145.3600],Ses05F_script03_2_F023,ang,"[2.5000, 2.5000, 3.0000]","['mind', 'your', 'own', 'business']"
[149.6300 - 154.8300],Ses05F_script03_2_F024,ang,"[2.0000, 3.0000, 4.5000]","['oh', 'dear', 'you', 'really', 'are', 'becoming', 'quite', 'insufferable', 'i', 'would', 'imagine', 'it', 'is', 'because', 'you', ""'re"", 'drunk']"
[165.6600 - 170.5100],Ses05F_script03_2_F025,xxx,"[2.0000, 4.0000, 4.5000]","['oh', 'no', 'on', 'the', 'contrary', 'a', 'child', 'of', 'two', 'could', 'get', 'violently', 'drunk', 'on', 'only', 'one', 'glass']"
[172.4300 - 176.4800],Ses05F_script03_2_F026,fru,"[2.0000, 3.5000, 4.5000]","['oh', 'you', 'are', 'so', 'insufferable', 'do', 'you', 'stop']"
[180.5200 - 183.5700],Ses05F_script03_2_F027,ang,"[2.5000, 2.0000, 3.0000]","['not', 'very', 'funny', 'dear', 'you', 'better', 'have', 'some', 'more', 'brandy']"
[186.3800 - 187.8500],Ses05F_script03_2_F028,fru,"[1.5000, 4.0000, 3.5000]",['ugh']
[189.1200 - 190.5400],Ses05F_script03_2_F029,ang,"[1.5000, 3.5000, 4.0000]",['why']
