% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[10.2102 - 15.6070],Ses05F_impro06_F000,sad,"[2.0000, 2.0000, 3.0000]","['a', 'good', 'friend', 'of', 'mine', 'passed', 'away', 'the', 'other', 'day']"
[21.2500 - 27.5580],Ses05F_impro06_F001,sad,"[2.0000, 2.5000, 3.0000]","['oh', 'they', 'had', 'some', 'pretty', 'progressive', 'cancer']"
[27.9065 - 35.5400],Ses05F_impro06_F002,sad,"[1.5000, 2.0000, 3.0000]","['metastasized', 'and', 'it', 'was', 'old', 'and', 'they', 'knew', 'that', 'it', 'was', 'not', 'looking', 'good', 'but-']"
[42.8100 - 47.2600],Ses05F_impro06_F003,sad,"[1.5000, 2.5000, 3.0000]","['yeah', 'we', 'were', 'pretty', 'close']"
[48.5000 - 49.9800],Ses05F_impro06_F004,sad,"[2.0000, 2.5000, 2.5000]",['breathing']
[58.2100 - 59.5700],Ses05F_impro06_F005,sad,"[1.5000, 2.5000, 2.5000]","['kind', 'of']"
[60.2000 - 64.5300],Ses05F_impro06_F006,sad,"[1.5000, 2.5000, 4.0000]","['it', 'is', 'hard', 'to', 'watch', 'when', 'it', 'is', 'painful', 'for', 'them', 'you', 'know']"
[69.5700 - 71.5400],Ses05F_impro06_F007,sad,"[2.0000, 2.0000, 3.5000]","['i', 'just', 'i', 'do', 'not', 'know']"
[71.5800 - 73.9400],Ses05F_impro06_F008,sad,"[1.5000, 1.5000, 3.5000]","['i', 'know']"
[75.3900 - 79.4200],Ses05F_impro06_F009,sad,"[2.0000, 2.5000, 3.0000]","['and', 'he', 'could', 'of', 'he', 'was', 'pretty', 'awesome']"
[85.3100 - 87.7300],Ses05F_impro06_F010,sad,"[2.5000, 2.5000, 3.0000]","['uh', 'we', 'grew', 'up', 'together']"
[92.2200 - 99.8000],Ses05F_impro06_F011,sad,"[2.0000, 2.0000, 2.5000]","['yeah', 'he', 'kind', 'of', 'did', 'a', 'lot', 'of', 'things', 'but', 'we', 'acted', 'together', 'sometimes']"
[103.5100 - 107.6400],Ses05F_impro06_F012,sad,"[1.5000, 2.5000, 3.0000]","['i', 'feel', 'really', 'bad', 'for', 'his', 'family', 'you', 'know']"
[108.7600 - 111.9300],Ses05F_impro06_F013,sad,"[2.0000, 3.0000, 4.0000]","['it', 'must', 'be', 'really', 'really', 'hard', 'to', 'lose', 'a', 'child']"
[114.1700 - 119.6000],Ses05F_impro06_F014,sad,"[2.5000, 2.5000, 3.0000]","['yeah', 'and', 'they', 'were', 'really', 'supportive', 'like', 'through', 'the', 'whole', 'process', 'but-']"
[120.6600 - 122.3200],Ses05F_impro06_F015,sad,"[2.0000, 2.0000, 2.5000]",['breathing']
[123.9500 - 128.7400],Ses05F_impro06_F016,sad,"[1.5000, 2.0000, 3.0000]","['i', 'can', 'not', 'imagine', 'what', 'his-', 'what', 'his', 'parents', 'are', 'going', 'through']"
[136.6800 - 140.1300],Ses05F_impro06_F017,sad,"[2.0000, 2.5000, 3.0000]","['yeah', 'i', 'just', 'going', 'to', 'miss', 'him']"
