% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[6.0700 - 10.2900],Ses05M_script01_1_F000,sad,"[2.5000, 2.5000, 3.0000]","['going', 'say', 'maybe', 'tell', 'sees']"
[10.9500 - 16.9600],Ses05M_script01_1_F001,sad,"[2.0000, 2.5000, 3.0000]","['first', 'one', 'still', 'bed', 'could', 'seen']"
[28.1500 - 31.4400],Ses05M_script01_1_F003,xxx,"[2.0000, 2.0000, 3.0000]","['four', 'morning']"
[36.9600 - 39.1800],Ses05M_script01_1_F004,sad,"[2.0000, 2.5000, 2.5000]",['talk']
[43.6300 - 45.3000],Ses05M_script01_1_F005,sad,"[2.0000, 2.0000, 2.5000]","['cried', 'hard']"
[48.9500 - 58.8400],Ses05M_script01_1_F006,xxx,"[2.0000, 2.5000, 3.0000]","['hour', 'getting', 'like', 'larry', 'died', 'walking', 'around', 'night', 'dreams']"
[60.8800 - 63.5600],Ses05M_script01_1_F007,xxx,"[2.5000, 2.0000, 2.5000]",['meaning']
[73.0000 - 75.0400],Ses05M_script01_1_F009,xxx,"[2.0000, 2.5000, 2.5000]","['mean', 'dishonest']"
[81.4400 - 85.3200],Ses05M_script01_1_F010,fru,"[2.0000, 3.5000, 3.5000]","['want', 'argue']"
[102.3700 - 104.4100],Ses05M_script01_1_F011,xxx,"[2.5000, 3.5000, 3.5000]",['say']
[106.3200 - 108.9500],Ses05M_script01_1_F012,fru,"[2.0000, 3.0000, 4.0000]","['gon', 'na', 'prove', 'prove']"
[113.4600 - 123.7900],Ses05M_script01_1_F013,fru,"[2.0000, 3.0000, 4.0000]","['talk', 'blue', 'face', 'chris', 'body', 'grave']"
[127.6500 - 134.3100],Ses05M_script01_1_F014,ang,"[2.0000, 3.0000, 4.0000]","['trouble', 'god', 'damn', 'newspapers', 'mean', 'every', 'every', 'week', 'kid', 'turns', 'missing', 'like', 'longer', 'larry']"
[142.8900 - 145.9400],Ses05M_script01_1_F016,xxx,"[2.0000, 2.5000, 3.5000]","['well', 'idea', 'story']"
[150.8000 - 153.1900],Ses05M_script01_1_F017,xxx,"[2.0000, 1.5000, 3.0000]","['well', 'business', 'chris']"
[154.3400 - 158.1600],Ses05M_script01_1_F018,ang,"[2.0000, 3.5000, 3.5000]","['well', 'want', 'old', 'enough', 'make', 'know', 'mind']"
[159.0100 - 161.6200],Ses05M_script01_1_F019,xxx,"[2.0000, 3.0000, 2.5000]","['well', 'want', 'make', 'sure', 'father']"
[163.3700 - 165.1900],Ses05M_script01_1_F020,fru,"[1.5000, 3.5000, 3.5000]",['saying']
[180.1600 - 183.4700],Ses05M_script01_1_F021,ang,"[2.0000, 3.0000, 3.0000]","['ignore', 'got', 'ignore', 'mean', 'girl', 'larry', 'girl']"
[184.5000 - 199.5700],Ses05M_script01_1_F022,ang,"[1.5000, 3.5000, 4.0000]","['father', 'point', 'view', 'dead', 'still', 'girl', 'go', 'know', 'go', 'chris', 'know']"
[209.7700 - 213.1700],Ses05M_script01_1_F023,neu,"[2.5000, 2.0000, 2.5000]","['well', 'considerate', 'fella', 'nothing', 'wrong']"
[213.2400 - 215.8200],Ses05M_script01_1_F024,neu,"[2.5000, 3.0000, 3.5000]","['asked', 'annie', 'yet']"
[219.0900 - 225.5000],Ses05M_script01_1_F025,neu,"[2.5000, 3.0000, 3.0000]","['well', 'feels', 'like', 'father', 'know', 'marry']"
[240.4800 - 244.0200],Ses05M_script01_1_F026,neu,"[2.0000, 3.0000, 3.5000]","['well', 'trouble', 'never', 'saw', 'enough', 'women']"
[246.0600 - 248.9800],Ses05M_script01_1_F027,fru,"[2.0000, 3.5000, 3.5000]","['well', 'see', 'annie']"
[250.0900 - 255.5800],Ses05M_script01_1_F028,fru,"[2.5000, 3.0000, 3.5000]","['well', 'good', 'reason', 'mean', 'anything', 'mean', 'seen', 'five', 'years']"
[263.7700 - 282.0200],Ses05M_script01_1_F029,fru,"[2.0000, 2.5000, 4.0000]","['want', 'look', 'father', 'thinks', 'coming', 'back', 'chris', 'marry', 'girl', 'pronouncing', 'dead', 'going', 'happen', 'father', 'know']"
[287.4000 - 289.7200],Ses05M_script01_1_F030,xxx,"[2.5000, 2.0000, 3.0000]","['give', 'thought']"
[306.2900 - 308.3000],Ses05M_script01_1_F031,sur,"[2.5000, 2.5000, 3.0000]",['hell']
[311.6600 - 313.4200],Ses05M_script01_1_F032,ang,"[1.5000, 3.0000, 3.5000]",['crazy']
[317.9200 - 323.0400],Ses05M_script01_1_F033,xxx,"[2.0000, 3.0000, 3.5000]","['mean', 'tell', 'something', 'mean', 'would', 'leave', 'business']"
[325.0600 - 327.2300],Ses05M_script01_1_F034,xxx,"[2.0000, 3.0000, 3.5000]","['think', 'like']"
[330.7700 - 336.8900],Ses05M_script01_1_F035,ang,"[1.5000, 3.0000, 4.0000]","['right', 'think', 'like', 'hell', 'work', 'chris', 'mean', 'whole', 'thing']"
[339.5700 - 342.0300],Ses05M_script01_1_F036,ang,"[2.0000, 2.5000, 3.5000]","['think', 'way', 'hear']"
[346.2700 - 348.7900],Ses05M_script01_1_F037,fru,"[2.0000, 2.5000, 2.5000]",['understand']
[353.5200 - 356.0700],Ses05M_script01_1_F038,fru,"[2.0000, 3.0000, 3.5000]","['yeah', 'see']"
[9.6400 - 11.4400],Ses05M_script01_1_M000,xxx,"[2.5000, 2.5000, 3.0000]",['saw']
[16.5700 - 18.6700],Ses05M_script01_1_M001,xxx,"[2.5000, 2.5000, 3.0000]",['broke']
[19.5300 - 28.2000],Ses05M_script01_1_M002,xxx,"[2.0000, 3.0000, 3.5000]","['know', 'like', 'four', ""o'clock"", 'morning', 'heard', 'crack', 'woke', 'looked', 'window', 'standing', 'right', 'broke']"
[30.9600 - 37.3000],Ses05M_script01_1_M003,xxx,"[2.0000, 2.5000, 3.5000]","['know', 'broke', 'ran', 'back', 'inside', 'started', 'crying', 'kitchen']"
[39.0200 - 43.0800],Ses05M_script01_1_M004,sad,"[2.0000, 3.0000, 3.0000]","['figured', 'best', 'leave', 'alone']"
[44.9800 - 47.9600],Ses05M_script01_1_M005,xxx,"[2.0000, 3.0000, 3.0000]","['could', 'hear', 'right', 'floor', 'room']"
[58.4400 - 60.4100],Ses05M_script01_1_M006,xxx,"[2.0000, 2.0000, 2.5000]",['guess']
[63.6700 - 69.0800],Ses05M_script01_1_M007,xxx,"[2.0000, 2.5000, 3.5000]","['know', 'meaning', 'know', 'one', 'thing', 'mom', 'made', 'terrible', 'mistake', 'dad']"
[69.4500 - 73.9100],Ses05M_script01_1_M008,xxx,"[2.0000, 3.5000, 3.5000]","['dishonest', 'kind', 'thing', 'pays', 'paying']"
[74.4200 - 81.9000],Ses05M_script01_1_M009,fru,"[2.0000, 4.0000, 4.0000]","['know', 'larry', 'coming', 'back', 'know', 'go', 'letting', 'think', 'believe']"
