filename,segment_start,segment_end,emotion,valence,arousal,dominance
Ses01F_impro01_0.png,0,9,neutral,2.5,2.25,2.5
Ses01F_impro01_1.png,9,18,negative,2.4,2.5,2.7
Ses01F_impro01_2.png,18,27,negative,2.4,3.1,3
Ses01F_impro01_3.png,27,36,negative,2.25,3.625,3.125
Ses01F_impro01_4.png,36,45,negative,2,3.5,3.5
Ses01F_impro01_5.png,45,54,negative,2.333333333,3.5,3.333333333
Ses01F_impro01_6.png,54,63,negative,2.125,3.5,3.25
Ses01F_impro01_7.png,63,72,negative,2,3.5,3.5
Ses01F_impro01_8.png,72,81,negative,2.25,3.5,3.75
Ses01F_impro01_9.png,81,90,negative,2,3.875,3.75
Ses01F_impro01_10.png,90,99,negative,2.375,3.25,3.25
Ses01F_impro02_0.png,0,9,negative,2.5,2,1.5
Ses01F_impro02_1.png,9,18,negative,2.25,2.25,2
Ses01F_impro02_2.png,18,27,negative,2,2,2
Ses01F_impro02_3.png,27,36,negative,2,2,2
Ses01F_impro02_4.png,36,45,negative,2.25,2.5,2.25
Ses01F_impro02_5.png,45,54,negative,2.333333333,2.666666667,2.666666667
Ses01F_impro02_6.png,54,63,negative,2,2.666666667,2.5
Ses01F_impro02_7.png,63,72,neutral,2.166666667,2.833333333,2
Ses01F_impro02_8.png,72,81,negative,2,3.166666667,2
Ses01F_impro02_9.png,81,90,negative,1.75,2.5,1.5
Ses01F_impro02_10.png,90,99,negative,1.666666667,1.666666667,1.833333333
Ses01F_impro02_11.png,99,108,negative,2.166666667,2.333333333,2.333333333
Ses01F_impro02_12.png,108,117,negative,2.333333333,1.833333333,2.333333333
Ses01F_impro02_13.png,117,126,negative,2.5,1.833333333,1.833333333
Ses01F_impro02_14.png,126,135,negative,2,1.75,2.25
Ses01F_impro02_15.png,135,144,negative,2,1.75,2.25
Ses01F_impro02_16.png,144,153,neutral,2,2.166666667,2.166666667
Ses01F_impro02_17.png,153,162,negative,1.75,2.25,2.25
Ses01F_impro02_18.png,162,171,negative,2.125,2.25,2.125
Ses01F_impro02_19.png,171,180,negative,3,2.833333333,2.166666667
Ses01F_impro02_20.png,180,189,negative,3.25,1.75,2.25
Ses01F_impro02_21.png,189,198,negative,3,1.75,2.5
Ses01F_impro03_0.png,0,9,positive,4.16665,2.750025,2.58335
Ses01F_impro03_1.png,9,18,positive,4.53332,3.53334,2.73334
Ses01F_impro03_2.png,18,27,positive,4.73334,4.06668,2.59998
Ses01F_impro03_3.png,27,36,positive,4.06666,3.33332,2.39998
Ses01F_impro03_4.png,36,45,positive,3.952385714,2.857142857,2.285685714
Ses01F_impro03_5.png,45,54,neutral,3.86668,3.13332,2.66666
Ses01F_impro03_6.png,54,63,positive,4.25,3.750025,2.83335
Ses01F_impro03_7.png,63,72,positive,4.555566667,3.777766667,2.888866667
Ses01F_impro03_8.png,72,81,positive,4.111116667,3.222233333,2.611116667
Ses01F_impro03_9.png,81,90,neutral,3.5416875,2.8750125,2.333325
Ses01F_impro03_10.png,90,99,positive,3.333325,3.166675,2.5
Ses01F_impro03_11.png,99,108,positive,3.666657143,3.142842857,2.619071429
Ses01F_impro03_12.png,108,117,positive,4.5,3.66665,3.166675
Ses01F_impro04_0.png,0,9,neutral,3,2.75,2.75
Ses01F_impro04_1.png,9,18,neutral,2.875,2.625,2.75
Ses01F_impro04_2.png,18,27,negative,2.833333333,2.833333333,2.833333333
Ses01F_impro04_3.png,27,36,neutral,2.75,3,2.75
Ses01F_impro04_4.png,36,45,neutral,2.8,2.8,2.5
Ses01F_impro04_5.png,45,54,negative,3.125,3,3.125
Ses01F_impro04_6.png,54,63,neutral,2.642857143,3.071428571,2.928571429
Ses01F_impro04_7.png,63,72,neutral,2.625,3.125,2.75
Ses01F_impro04_8.png,72,81,neutral,3,2.9,3.3
Ses01F_impro04_9.png,81,90,neutral,2.666666667,3.5,3.166666667
Ses01F_impro04_10.png,90,99,neutral,2.166666667,3.833333333,3.333333333
Ses01F_impro04_11.png,99,108,neutral,2.416666667,3.75,3.25
Ses01F_impro04_12.png,108,117,neutral,2.666666667,3.833333333,3.166666667
Ses01F_impro04_13.png,117,126,negative,2.8,3,2.9
Ses01F_impro04_14.png,126,135,neutral,2.5,2.833333333,3.166666667
Ses01F_impro04_15.png,135,144,neutral,2.625,2.5,2.75
Ses01F_impro04_16.png,144,153,neutral,2.5,2.5,2.666666667
Ses01F_impro04_17.png,153,162,neutral,2.833333333,2.666666667,3.25
Ses01F_impro04_18.png,162,171,negative,2.666666667,2.833333333,3.166666667
Ses01F_impro04_19.png,171,180,negative,2.3,3.2,3.3
Ses01F_impro04_20.png,180,189,negative,2.25,2.75,2.583333333
Ses01F_impro04_21.png,189,198,negative,2,3.125,3.25
Ses01F_impro05_0.png,0,9,negative,3.5,2.428571429,2.214285714
Ses01F_impro05_1.png,9,18,negative,2.875,2.625,2.75
Ses01F_impro05_2.png,18,27,negative,2.875,2.875,2.625
Ses01F_impro05_3.png,27,36,neutral,2.916666667,2.583333333,2.583333333
Ses01F_impro05_4.png,36,45,negative,2.625,2.5,2.375
Ses01F_impro05_5.png,45,54,neutral,2.5,2.5,2
Ses01F_impro05_6.png,54,63,neutral,2.5,2.5,2
Ses01F_impro05_7.png,63,72,neutral,2.333333333,2.833333333,2.333333333
Ses01F_impro05_8.png,72,81,negative,2.357142857,2.928571429,2.285714286
Ses01F_impro05_9.png,81,90,neutral,2.333333333,2.333333333,2.166666667
Ses01F_impro05_10.png,90,99,neutral,2.5,2.5,2.25
Ses01F_impro05_11.png,99,108,negative,2.125,3.625,3.375
