% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.9419 - 5.5500],Ses05M_impro01_F000,neu,"[3.0000, 2.5000, 2.5000]",[ ' help ' ]
[9.7900 - 19.0800],Ses05M_impro01_F001,neu,"[3.0000, 2.5000, 3.0000]","[ ' oh ' , ' form ' , ' wrong ' , ' form ' , ' need ' , ' go ' , ' line ' , ' side ' , ' d.m.v ' ]"
[21.8200 - 25.7400],Ses05M_impro01_F002,neu,"[3.0000, 3.0000, 3.0000]","[ ' right ' , ' wrong ' , ' form ' , ' somebody ' , ' give ' , ' wrong ' , ' form ' ]"
[25.9700 - 28.7700],Ses05M_impro01_F003,neu,"[3.0000, 2.5000, 3.0000]","[ ' yeah ' , ' anything ' ]"
[30.5800 - 37.7100],Ses05M_impro01_F004,neu,"[3.0000, 3.0000, 3.0000]","[ ' um ' , ' replacement ' , ' need ' , ' new ' , ' whole ' , ' new ' , ' license ' , ' california ' ]"
[39.6500 - 42.4300],Ses05M_impro01_F005,fru,"[2.5000, 2.5000, 3.5000]","[ ' sir ' , ' get ' , ' attitude ' ]"
[45.1800 - 55.9300],Ses05M_impro01_F006,neu,"[2.5000, 3.5000, 4.0000]","[ ' understand ' , ' lot ' , ' people ' , ' tell ' , ' different ' , ' different ' , ' state ' , ' since ' , ' get ' , ' new ' , ' license ' , ' state ' , ' california ' , ' fill ' , ' different ' , ' form ' ]"
[60.2600 - 63.4300],Ses05M_impro01_F007,fru,"[2.0000, 3.0000, 3.0000]","[ ' know ' , ' know ' , ' tell ' ]"
[66.1000 - 70.3800],Ses05M_impro01_F008,fru,"[2.5000, 3.0000, 3.5000]","[ ' ask ' , ' want ' , ' busy ' , ' probably ' , ' answer ' ]"
[73.0300 - 74.4200],Ses05M_impro01_F009,neu,"[2.5000, 3.0000, 2.5000]",[ ' know ' ]
[74.4300 - 76.7300],Ses05M_impro01_F010,fru,"[3.0000, 2.0000, 2.5000]","[ ' sir ' , ' mean ' ]"
[77.8100 - 80.1400],Ses05M_impro01_F011,fru,"[2.5000, 3.5000, 3.5000]","[ ' waist ' , ' much ' , ' want ' ]"
[80.1500 - 83.7500],Ses05M_impro01_F012,neu,"[2.5000, 3.0000, 3.0000]","[ ' yeah ' , ' know ' , ' gon ' , ' na ' , ' take ' , ' minute ' , ' might ' , ' well ' , ' get ' , ' start ' ]"
[85.8300 - 89.2300],Ses05M_impro01_F013,fru,"[1.5000, 3.5000, 3.5000]","[ ' take ' , ' one ' , ' sir ' , ' wrong ' , ' form ' ]"
