% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.1063 - 8.8600],Ses05M_script01_1b_F000,sad,"[2.5000, 2.5000, 2.5000]","['What', 'is', 'he', 'going', 'to', 'say', '?', 'Maybe', 'we', 'ought', 'to', 'tell', 'him', 'before', 'he', 'sees', 'it', '.']"
[10.6000 - 13.7700],Ses05M_script01_1b_F001,sur,"[2.0000, 3.0000, 3.0000]","['What', 'do', 'you', 'mean', '?', 'I', 'was', 'the', 'first', 'one', 'up', ',', 'he', 'was', 'still', 'in', 'bed', '.']"
[15.1200 - 17.0200],Ses05M_script01_1b_F002,xxx,"[2.0000, 2.0000, 2.5000]","['When', '?']"
[25.3400 - 28.8700],Ses05M_script01_1b_F003,xxx,"[2.0000, 2.0000, 3.0000]","['What', 'was', 'he', 'doing', 'out', 'here', 'four', 'in', 'the', 'morning', '?']"
[35.9800 - 38.5900],Ses05M_script01_1b_F004,xxx,"[2.0000, 2.0000, 2.5000]","['Did', 'you', 'talk', 'to', 'him', '?']"
[45.2500 - 55.0200],Ses05M_script01_1b_F005,xxx,"[2.0000, 2.0000, 3.5000]","['He', 'is', 'dreaming', 'about', 'him', 'again', '.', 'He', 'is', 'getting', 'just', 'like', 'after', 'Larry', 'died', '.', 'What', 'is', 'the', 'meaning', 'of', 'that', '?']"
[62.4100 - 64.0300],Ses05M_script01_1b_F006,xxx,"[2.0000, 2.5000, 3.0000]","['What', '?']"
[68.6400 - 70.8400],Ses05M_script01_1b_F007,xxx,"[2.0000, 2.0000, 3.0000]","['What', 'do', 'you', 'mean', 'dishonest', '?']"
[78.8200 - 81.5800],Ses05M_script01_1b_F008,xxx,"[2.0000, 2.5000, 3.5000]","['What', 'are', 'you', 'gon', 'na', 'do', ',', 'argue', 'with', 'him', '?']"
[97.6800 - 100.1200],Ses05M_script01_1b_F009,xxx,"[2.0000, 3.0000, 3.5000]","['Well', ',', 'how', 'are', 'you', 'gon', 'na', 'prove', 'it', '?', 'Can', 'you', 'prove', 'it', '?']"
[105.6000 - 110.7000],Ses05M_script01_1b_F010,xxx,"[2.5000, 2.5000, 3.0000]","['To', 'you', 'it', 'is', 'and', 'to', 'me', ',', 'but', 'not', 'to', 'him', '.']"
[111.4100 - 116.9200],Ses05M_script01_1b_F011,xxx,"[2.0000, 3.0000, 3.5000]","['You', 'can', 'talk', 'yourself', 'blue', 'in', 'the', 'face', 'but', 'there', ""'s"", 'no', 'body', 'and', 'there', ""'s"", 'no', 'grave', '.', 'So', 'where', 'are', 'you', '?']"
