% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.1063 - 8.8600],Ses05M_script01_1b_F000,neg,"[2.5000, 2.5000, 2.5000]","[ ' go ' , ' say ' , ' maybe ' , ' ought ' , ' tell ' , ' see ' ]"
[10.6000 - 13.7700],Ses05M_script01_1b_F001,pos,"[2.0000, 3.0000, 3.0000]","[ ' mean ' , ' first ' , ' one ' , ' still ' , ' bed ' ]"
[126.6200 - 133.8800],Ses05M_script01_1b_F012,neg,"[1.5000, 3.5000, 4.0000]","[ ' trouble ' , ' god ' , ' damn ' , ' newspaper ' , ' mean ' , ' ea ' , ' week ' , ' new ' , ' boy ' , ' turn ' , ' nowhere ' , ' next ' , ' one ' , ' gon ' , ' na ' , ' larry ' ]"
[156.3700 - 159.7600],Ses05M_script01_1b_F016,neg,"[2.5000, 3.0000, 3.5000]","[ ' want ' , ' mean ' , ' old ' , ' enough ' , ' know ' , ' mind ' ]"
[178.7900 - 182.6000],Ses05M_script01_1b_F018,neg,"[2.0000, 3.0000, 3.5000]","[ ' ignore ' , ' get ' , ' ignore ' , ' mean ' , ' girl ' , ' larry ' , ' girl ' ]"
[212.3200 - 214.4800],Ses05M_script01_1b_F022,neu,"[2.5000, 2.5000, 3.5000]","[ ' ask ' , ' annie ' , ' yet ' ]"
[217.3500 - 221.8500],Ses05M_script01_1b_F023,neu,"[2.5000, 2.5000, 3.5000]","[ ' well ' , ' know ' , ' marry ' , ' maybe ' , ' feel ' , ' like ' , ' father ' ]"
[235.4900 - 239.0700],Ses05M_script01_1b_F024,neu,"[2.0000, 2.5000, 3.0000]","[ ' trouble ' , ' see ' , ' enough ' , ' woman ' , ' never ' ]"
[246.7800 - 253.8500],Ses05M_script01_1b_F026,neu,"[3.0000, 2.5000, 4.0000]","[ ' well ' , ' good ' , ' reason ' , ' mean ' , ' thing ' , ' mean ' , ' see ' , ' since ' , ' go ' , ' war ' , ' five ' , ' year ' ]"
[268.1700 - 278.6500],Ses05M_script01_1b_F027,neg,"[1.5000, 3.0000, 4.0000]","[ ' want ' , ' father ' , ' think ' , ' come ' , ' back ' , ' chris ' , ' marry ' , ' girl ' , ' pronounce ' , ' dead ' ]"
