% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[4.9869 - 8.2400],Ses05M_script01_2_F000,xxx,"[2.3333, 2.3333, 2.6667]","['Why', 'did', 'you', 'invite', 'her', 'here']"
[10.2600 - 14.0100],Ses05M_script01_2_F001,xxx,"[2.3333, 2.6667, 3.3333]","['She', 'is', 'been', 'in', 'New', 'York', 'three', 'and', 'a', 'half', 'years', 'why', 'all', 'of', 'a', 'sudden']"
[18.5100 - 21.4600],Ses05M_script01_2_F002,neu,"[2.3333, 3.3333, 3.6667]","['Nobody', 'comes', 'seven', 'hundred', 'miles', 'just', 'to', 'see']"
[31.3200 - 33.7300],Ses05M_script01_2_F003,xxx,"[2.3333, 2.0000, 2.3333]","['He', 'is', 'not', 'going', 'to', 'marry', 'her']"
[36.3900 - 38.8800],Ses05M_script01_2_F004,neu,"[2.3333, 2.3333, 2.6667]","['He', 'is', 'got', 'that', 'about', 'it']"
[42.2600 - 44.6300],Ses05M_script01_2_F005,ang,"[2.0000, 3.3333, 3.0000]","['What', 'is', 'going', 'on', 'here', 'Joe']"
[48.2800 - 52.2300],Ses05M_script01_2_F006,xxx,"[2.0000, 3.3333, 3.3333]","['No', 'She', 'is', 'not', 'his', 'girl', 'Joe', 'She', 'knows', 'she', 'is', 'not']"
[55.2600 - 63.1900],Ses05M_script01_2_F007,xxx,"[2.0000, 3.3333, 3.6667]","['Then', 'why', 'is', 'she', 'still', 'single', 'I', 'mean', 'New', 'York', 'is', 'full', 'of', 'men', 'Why', 'is', 'not', 'she', 'married', 'Probably', 'a', 'hundred', 'people', 'told', 'her', 'she', 'is', 'foolish', 'but', 'she', 'is', 'waited']"
[66.3400 - 75.7300],Ses05M_script01_2_F008,xxx,"[2.0000, 2.6667, 3.6667]","['Because', 'she', 'knows', 'what', 'I', 'know', 'that', 'is', 'why', 'She', 'is', 'faithful', 'as', 'a', 'rock', 'In', 'my', 'worst', 'moments', 'I', 'think', 'of', 'her', 'waiting', 'and', 'I', 'know', 'again', 'that', 'I', ""'m"", 'right']"
[79.1100 - 87.4600],Ses05M_script01_2_F009,xxx,"[2.3333, 3.3333, 3.6667]","['Nobody', 'in', 'this', 'house', 'dares', 'takes', 'her', 'faith', 'away', 'Joe', 'Strangers', 'might', 'but', 'not', 'his', 'father', 'not', 'his', 'brother']"
