% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[8.8100 - 10.9600],Ses05M_script03_2_F000,xxx,"[2.5000, 3.0000, 3.0000]","[ ' oh ' , ' know ' , ' nothing ' ]"
[13.1300 - 15.5200],Ses05M_script03_2_F001,neu,"[2.0000, 3.0000, 3.5000]","[ ' trivial ' , ' little ' , ' broach ' ]"
[17.7900 - 21.4300],Ses05M_script03_2_F002,neu,"[2.5000, 3.0000, 3.0000]","[ ' quite ' , ' like ' , ' wear ' , ' often ' ]"
[24.9496 - 30.4600],Ses05M_script03_2_F003,fru,"[2.5000, 2.5000, 3.5000]","[ ' garbage ' , ' work ' , ' whole ' , ' thing ' , ' jealous ' , ' imagination ' ]"
[32.1200 - 35.5500],Ses05M_script03_2_F004,neu,"[3.5000, 3.0000, 3.0000]","[ ' oh ' , ' maybe ' , ' little ' , ' nothing ' , ' serious ' ]"
[37.1200 - 38.5800],Ses05M_script03_2_F005,neu,"[2.0000, 2.5000, 3.0000]",[ ' well ' ]
[39.2300 - 42.4900],Ses05M_script03_2_F006,neu,"[2.0000, 3.5000, 4.0000]","[ ' well ' , ' give ' , ' lot ' , ' pleasure ' , ' hurt ' ]"
[43.2400 - 47.3100],Ses05M_script03_2_F007,xxx,"[2.5000, 3.5000, 4.0000]","[ ' well ' , ' nosey ' , ' suspicious ' , ' never ' , ' would ' , ' know ' ]"
[48.6300 - 51.5000],Ses05M_script03_2_F008,fru,"[2.0000, 2.5000, 3.0000]","[ ' get ' , ' bored ' , ' conversation ' ]"
[55.6400 - 57.2800],Ses05M_script03_2_F009,neu,"[3.0000, 2.0000, 2.5000]",[ ' thank ' ]
[58.9800 - 62.8400],Ses05M_script03_2_F010,xxx,"[2.0000, 2.0000, 3.5000]","[ ' see ' , ' want ' , ' already ' , ' two ' , ' glass ' ]"
[65.4000 - 68.9800],Ses05M_script03_2_F011,xxx,"[2.5000, 2.5000, 3.0000]","[ ' well ' , ' seem ' , ' silly ' , ' go ' , ' thing ' ]"
