% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.3400 - 6.2900],Ses05M_script01_3_F000,neu,"[3.5000, 2.0000, 2.5000]","[ ' one ' , ' know ' , ' love ' , ' parent ' ]"
[10.1700 - 17.4600],Ses05M_script01_3_F001,hap,"[4.0000, 2.5000, 2.5000]","[ ' right ' , ' good ' , ' thing ' , ' lovely ' , ' air ' , ' sweet ' ]"
[26.7600 - 30.4900],Ses05M_script01_3_F003,neu,"[3.0000, 2.0000, 3.0000]","[ ' well ' , ' mother ' , ' first ' , ' pretty ' , ' much ' , ' tell ' , ' leave ' ]"
[53.5800 - 57.1300],Ses05M_script01_3_F006,neu,"[3.5000, 2.0000, 3.0000]","[ ' figure ' , ' would ' , ' mother ' , ' least ' ]"
[59.5600 - 64.7100],Ses05M_script01_3_F007,neu,"[3.0000, 3.0000, 3.0000]","[ ' well ' , ' perspective ' , ' mean ' , ' else ' , ' would ' , ' come ' ]"
[123.0700 - 126.1400],Ses05M_script01_3_F009,hap,"[4.0000, 2.5000, 3.0000]","[ ' oh ' , ' chris ' , ' ready ' , ' long ' , ' time ' ]"
[131.8600 - 134.5300],Ses05M_script01_3_F010,sad,"[3.0000, 2.0000, 2.5000]","[ ' almost ' , ' get ' , ' marry ' , ' two ' , ' year ' , ' ago ' ]"
[141.9300 - 143.4600],Ses05M_script01_3_F012,hap,"[4.5000, 3.0000, 2.5000]","[ ' everyday ' , ' since ' ]"
[146.7600 - 154.1600],Ses05M_script01_3_F013,exc,"[4.0000, 3.5000, 3.0000]","[ ' well ' , ' mean ' , ' never ' , ' write ' , ' say ' , ' mean ' , ' sure ' , ' ambiguous ' ]"
[174.5800 - 177.1800],Ses05M_script01_3_F015,exc,"[3.0000, 3.0000, 3.5000]",[ ' like ' ]
[178.8000 - 186.3304],Ses05M_script01_3_F016,sad,"[2.5000, 3.0000, 3.5000]","[ ' like ' , ' larry ' , ' brother ' , ' like ' , ' chris ' , ' matter ' ]"
[200.5200 - 204.7000],Ses05M_script01_3_F019,sad,"[2.0000, 3.0000, 2.0000]","[ ' even ' , ' letter ' , ' something ' , ' ashamed ' ]"
[211.1600 - 213.3700],Ses05M_script01_3_F020,sad,"[2.5000, 2.0000, 2.5000]",[ ' tell ' ]
[216.9600 - 219.0581],Ses05M_script01_3_F021,sad,"[1.5000, 2.5000, 3.0000]","[ ' would ' , ' work ' , ' like ' ]"
[229.2700 - 230.9500],Ses05M_script01_3_F022,neu,"[2.5000, 2.0000, 2.0000]","[ ' yeah ' , ' sure ' ]"
[234.0200 - 235.6400],Ses05M_script01_3_F023,sad,"[2.5000, 2.0000, 2.5000]",[ ' many ' ]
[406.5000 - 409.1800],Ses05M_script01_3_F024,sad,"[3.0000, 2.0000, 2.0000]","[ ' still ' , ' feel ' , ' like ' ]"
[413.8400 - 424.4000],Ses05M_script01_3_F025,sad,"[2.5000, 2.5000, 3.5000]","[ ' feel ' , ' like ' , ' anymore ' , ' chris ' , ' everything ' , ' right ' , ' include ' ]"
[434.8300 - 437.7200],Ses05M_script01_3_F027,hap,"[4.5000, 3.5000, 3.0000]","[ ' laughter ' , ' fortune ' ]"
[17.2600 - 20.2500],Ses05M_script01_3_M001,exc,"[3.5000, 3.5000, 3.0000]","[ ' sorry ' , ' come ' ]"
[30.1200 - 31.4900],Ses05M_script01_3_M003,neu,"[3.0000, 3.5000, 2.5000]",[ ' well ' ]
[113.0300 - 124.1900],Ses05M_script01_3_M010,exc,"[3.5000, 3.5000, 3.0000]","[ ' feel ' , ' wrong ' , ' yard ' , ' chair ' , ' want ' , ' ready ' , ' annie ' , ' want ' , ' win ' , ' away ' , ' anything ' ]"
[139.4800 - 142.5800],Ses05M_script01_3_M013,hap,"[4.5000, 3.5000, 3.0000]","[ ' feel ' , ' something ' , ' far ' , ' back ' ]"
[158.4500 - 164.7700],Ses05M_script01_3_M016,exc,"[4.5000, 4.5000, 4.5000]","[ ' oh ' , ' god ' , ' kiss ' , ' annie ' , ' kiss ' , ' annie ' , ' long ' , ' wait ' ]"
[170.1300 - 175.0000],Ses05M_script01_3_M017,exc,"[5.0000, 4.5000, 4.0000]","[ ' oh ' , ' annie ' , ' gon ' , ' na ' , ' live ' , ' go ' , ' make ' , ' happy ' ]"
[177.1800 - 179.1100],Ses05M_script01_3_M018,sur,"[2.0000, 3.5000, 3.0000]",[ ' kiss ' ]
[187.5700 - 192.0500],Ses05M_script01_3_M019,sad,"[2.5000, 3.0000, 2.5000]","[ ' let ' , ' go ' , ' ride ' , ' want ' , ' alone ' ]"
[192.9000 - 195.7700],Ses05M_script01_3_M020,sad,"[3.0000, 3.5000, 2.5000]","[ ' nothing ' , ' like ' ]"
[205.1700 - 210.6900],Ses05M_script01_3_M021,sad,"[2.5000, 2.5000, 2.5000]","[ ' yeah ' , ' suppose ' , ' go ' ]"
[214.2000 - 216.6400],Ses05M_script01_3_M022,neu,"[2.0000, 3.0000, 2.5000]","[ ' know ' , ' start ' ]"
[220.3200 - 224.2900],Ses05M_script01_3_M023,sad,"[2.5000, 2.5000, 2.5000]","[ ' mixed ' , ' many ' , ' thing ' ]"
[231.5268 - 233.1245],Ses05M_script01_3_M025,sad,"[2.0000, 3.0000, 3.5000]",[ ' lose ' ]
[241.8900 - 249.8300],Ses05M_script01_3_M027,sad,"[2.5000, 3.5000, 3.5000]","[ ' take ' , ' time ' , ' toss ' , ' something ' , ' like ' , ' mean ' , ' man ' ]"
[263.4100 - 278.5700],Ses05M_script01_3_M029,sad,"[2.0000, 3.5000, 3.5000]","[ ' know ' , ' little ' , ' thing ' , ' kind ' , ' guy ' , ' die ' , ' kill ' ]"
[278.6600 - 291.3600],Ses05M_script01_3_M030,sad,"[2.0000, 4.0000, 4.0000]","[ ' mean ' , ' exactly ' , ' anymore ' , ' selfish ' , ' little ' , ' bit ' , ' selfish ' , ' would ' , ' today ' , ' give ' , ' idea ' , ' watch ' , ' go ' ]"
[320.9400 - 336.4500],Ses05M_script01_3_M033,sad,"[2.5000, 3.5000, 4.0000]","[ ' go ' , ' home ' , ' incredible ' , ' mean ' ]"
