% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[6.4800 - 8.7100],Ses05F_script03_1_F000,xxx,"[4.0000, 2.5000, 2.5000]","['you', 'think', 'it', 'is', 'them']"
[9.9200 - 13.3500],Ses05F_script03_1_F001,xxx,"[3.5000, 3.5000, 3.5000]","['freda', 'is', 'the', 'only', 'one', 'who', 'knows', 'we', 'up', 'here', 'and', 'she', 'would', 'not', 'call', 'up']"
[14.4500 - 16.5800],Ses05F_script03_1_F002,xxx,"[3.5000, 3.0000, 2.5000]","['what', 'will', 'be', 'do']"
[18.3800 - 20.5000],Ses05F_script03_1_F003,xxx,"[4.0000, 3.5000, 3.0000]","['now', 'and', 'always', 'my', 'sweet']"
[21.9900 - 24.5700],Ses05F_script03_1_F004,xxx,"[4.0000, 3.5000, 3.0000]","['it', 'was', 'bound', 'to', 'happen', 'sooner', 'or', 'later']"
[31.2700 - 34.1300],Ses05F_script03_1_F005,exc,"[4.0000, 3.5000, 3.0000]","['oh', 'it', 'sent', 'shivers', 'up', 'my', 'spine']"
[35.2700 - 37.2800],Ses05F_script03_1_F006,exc,"[3.5000, 3.5000, 3.5000]","['behave', 'exquisitely']"
[37.8800 - 40.6500],Ses05F_script03_1_F007,exc,"[4.0000, 3.0000, 3.0000]","['yes', 'i', 'shall', 'probably', 'do', 'a', 'court', 'curtsey']"
[44.4400 - 50.1600],Ses05F_script03_1_F008,xxx,"[3.5000, 3.5000, 3.0000]","['um', 'it', 'is', 'a', 'pity', 'that', 'one', 'can', 'not', 'stay', 'this', 'way', 'forever']"
[52.5500 - 55.7900],Ses05F_script03_1_F009,xxx,"[2.5000, 3.0000, 3.0000]","['well', 'it', 'is', 'true']"
[58.4500 - 61.5600],Ses05F_script03_1_F010,neu,"[2.5000, 3.5000, 3.0000]","['the', 'whole', 'business', 'is', 'really', 'rather', 'ridiculous']"
[63.9400 - 66.0700],Ses05F_script03_1_F011,neu,"[3.0000, 3.5000, 3.0000]","['meaning', 'exactly', 'that']"
[73.0900 - 75.2000],Ses05F_script03_1_F012,xxx,"[2.5000, 3.5000, 3.0000]","['do', 'not', 'laugh', 'at', 'me', 'i', 'serious']"
[77.7200 - 79.2100],Ses05F_script03_1_F013,neu,"[3.0000, 2.5000, 2.5000]","['who', 'is', 'they']"
[93.1300 - 96.2900],Ses05F_script03_1_F014,xxx,"[3.0000, 3.5000, 3.5000]","['well', 'if', 'i', 'laugh', 'at', 'everything', 'i', 'must', 'laugh', 'at', 'us', 'too']"
[98.8500 - 103.9600],Ses05F_script03_1_F015,neu,"[3.0000, 3.5000, 2.5000]","['well', 'what', 'if-what', 'happens', 'when', 'our', 'love']"
[107.1500 - 109.7200],Ses05F_script03_1_F016,xxx,"[3.5000, 3.5000, 3.0000]","['how', 'long', 'will', 'it', 'last', 'this', 'overbearing', 'love', 'of', 'ours']"
[111.1100 - 113.9100],Ses05F_script03_1_F017,xxx,"[3.0000, 2.0000, 2.5000]","['well', 'shall', 'we', 'always', 'want', 'to', 'bicker', 'and', 'fight']"
[116.8500 - 119.4600],Ses05F_script03_1_F018,xxx,"[2.5000, 3.0000, 3.0000]","['oh', 'dear', 'shall', 'we', 'like', 'that']"
