% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[31.2700 - 34.1300],Ses05F_script03_1_F005,pos,"[4.0000, 3.5000, 3.0000]","[ ' oh ' , ' send ' , ' shiver ' , ' spine ' ]"
[35.2700 - 37.2800],Ses05F_script03_1_F006,pos,"[3.5000, 3.5000, 3.5000]","[ ' behave ' , ' exquisitely ' ]"
[37.8800 - 40.6500],Ses05F_script03_1_F007,pos,"[4.0000, 3.0000, 3.0000]","[ ' yes ' , ' shall ' , ' probably ' , ' court ' , ' curtsey ' ]"
[58.4500 - 61.5600],Ses05F_script03_1_F010,neu,"[2.5000, 3.5000, 3.0000]","[ ' whole ' , ' business ' , ' really ' , ' rather ' , ' ridiculous ' ]"
[63.9400 - 66.0700],Ses05F_script03_1_F011,neu,"[3.0000, 3.5000, 3.0000]","[ ' mean ' , ' exactly ' ]"
[98.8500 - 103.9600],Ses05F_script03_1_F015,neu,"[3.0000, 3.5000, 2.5000]","[ ' well ' , ' if - what ' , ' happen ' , ' love ' ]"
[120.8300 - 124.2900],Ses05F_script03_1_F019,neu,"[3.0000, 3.0000, 3.0000]","[ ' well ' , ' one ' , ' we ' , ' die ' , ' laugh ' ]"
[188.4100 - 194.5200],Ses05F_script03_1_F025,pos,"[4.0000, 3.5000, 3.5000]","[ ' charle ' , ' name ' , ' wriggle ' , ' beautifully ' ]"
[220.7100 - 227.1200],Ses05F_script03_1_F030,pos,"[4.5000, 3.5000, 3.5000]","[ ' manager ' , ' come ' , ' find ' , ' we ' , ' roll ' , ' around ' , ' floor ' , ' bite ' , ' scratch ' , ' like ' , ' panther ' ]"
[227.9400 - 232.6500],Ses05F_script03_1_F031,pos,"[4.5000, 4.0000, 3.5000]","[ ' oh ' , ' ridiculous ' , ' utterly ' , ' ridiculous ' ]"
[241.6700 - 243.4048],Ses05F_script03_1_F033,neu,"[3.0000, 2.5000, 2.5000]","[ ' know ' , ' nothing ' ]"
[4.3300 - 6.6700],Ses05F_script03_1_M000,pos,"[3.0000, 3.5000, 3.5000]","[ ' good ' , ' god ' ]"
[8.2500 - 10.3400],Ses05F_script03_1_M001,pos,"[4.0000, 3.5000, 3.5000]",[ ' wonder ' ]
[24.1800 - 31.8800],Ses05F_script03_1_M005,pos,"[3.0000, 4.0000, 3.5000]","[ ' hello ' , ' hello ' , ' wrong ' , ' number ' ]"
[33.1100 - 36.0600],Ses05F_script03_1_M006,neg,"[3.5000, 4.0000, 3.0000]","[ ' oh ' , ' shall ' , ' suddenly ' , ' walk ' , ' we ' ]"
[36.4500 - 38.5400],Ses05F_script03_1_M007,pos,"[4.0000, 3.5000, 3.0000]","[ ' perfect ' , ' poise ' ]"
[65.4500 - 73.6700],Ses05F_script03_1_M011,pos,"[3.0000, 4.5000, 4.5000]","[ ' mean ' , ' ask ' , ' ceaseless ' , ' quest ' , ' ultimate ' , ' truth ' , ' dear ' , ' god ' , ' mean ' ]"
[78.7300 - 93.5400],Ses05F_script03_1_M013,pos,"[4.0000, 4.0000, 4.0000]","[ ' futile ' , ' mortal ' , ' try ' , ' make ' , ' life ' , ' unbearable ' , ' laugh ' , ' flippant ' , ' laugh ' , ' everything ' , ' sacred ' , ' shibboleth ' , ' flippancy ' , ' bring ' , ' acid ' , ' damn ' , ' sweetness ' , ' light ' ]"
[95.5500 - 99.3800],Ses05F_script03_1_M014,pos,"[3.5000, 3.5000, 3.0000]","[ ' certainly ' , ' must ' , ' figure ' , ' fun ' , ' alright ' , ' laughter ' ]"
[109.2300 - 110.7500],Ses05F_script03_1_M015,pos,"[3.0000, 3.0000, 3.0000]",[ ' know ' ]
[113.3400 - 117.4100],Ses05F_script03_1_M016,pos,"[3.0000, 3.5000, 3.5000]","[ ' fire ' , ' fade ' , ' along ' , ' passion ' ]"
[118.5800 - 121.0700],Ses05F_script03_1_M017,pos,"[3.5000, 3.5000, 3.0000]","[ ' depends ' , ' well ' , ' play ' ]"
[123.7400 - 125.9200],Ses05F_script03_1_M018,pos,"[3.5000, 3.5000, 3.5000]","[ ' yes ' , ' yes ' , ' might ' ]"
[127.4300 - 133.5400],Ses05F_script03_1_M019,pos,"[3.5000, 4.5000, 3.5000]","[ ' death ' , ' laughable ' , ' come ' , ' cunne ' , ' little ' , ' mystery ' , ' do ' , ' mirror ' ]"
[135.7500 - 145.3400],Ses05F_script03_1_M020,pos,"[3.5000, 4.0000, 4.0000]","[ ' everyone ' , ' else ' , ' long ' , ' run ' , ' let ' , ' superficial ' , ' pity ' , ' poor ' , ' philosopher ' , ' let ' , ' blow ' , ' trumpet ' , ' squeaker ' ]"
[145.3500 - 154.3300],Ses05F_script03_1_M021,pos,"[4.5000, 4.0000, 4.0000]","[ ' enjoy ' , ' party ' , ' long ' , ' like ' , ' little ' , ' quite ' , ' idiotic ' , ' schoolchildren ' , ' garbage ' , ' let ' , ' savor ' , ' delight ' , ' moment ' ]"
[154.3400 - 161.0400],Ses05F_script03_1_M022,pos,"[4.0000, 3.5000, 4.5000]","[ ' darling ' , ' come ' , ' kiss ' , ' body ' , ' rot ' , ' worm ' , ' pop ' , ' eye ' , ' socket ' ]"
[179.0800 - 183.2400],Ses05F_script03_1_M024,pos,"[4.0000, 4.0000, 3.5000]","[ ' remember ' , ' awful ' , ' scene ' , ' venice ' ]"
[184.3400 - 189.2300],Ses05F_script03_1_M025,pos,"[3.0000, 3.5000, 3.0000]","[ ' one ' , ' buy ' , ' little ' , ' paint ' , ' wooden ' , ' snake ' , ' put ' , ' bed ' ]"
[193.7500 - 196.3700],Ses05F_script03_1_M026,pos,"[2.5000, 3.5000, 4.0000]","[ ' horrible ' , ' thing ' , ' hate ' ]"
[200.1400 - 202.1000],Ses05F_script03_1_M027,pos,"[4.5000, 3.5000, 3.0000]","[ ' long ' , ' row ' , ' last ' ]"
[204.5800 - 211.5500],Ses05F_script03_1_M028,pos,"[2.5000, 3.5000, 4.0000]","[ ' bad ' , ' one ' , ' canne ' , ' curl ' , ' iron ' , ' burn ' , ' hole ' , ' new ' , ' dress ' , ' gown ' ]"
[212.8200 - 216.9500],Ses05F_script03_1_M029,pos,"[4.5000, 3.5000, 3.0000]","[ ' oh ' , ' quite ' , ' rouser ' ]"
[218.4700 - 220.6200],Ses05F_script03_1_M030,neu,"[3.5000, 3.0000, 3.0000]","[ ' oh ' , ' hit ' , ' hard ' ]"
[226.4900 - 229.4500],Ses05F_script03_1_M031,pos,"[4.5000, 4.0000, 4.0000]","[ ' laughter ' , ' shall ' , ' never ' , ' forget ' , ' face ' ]"
[230.6100 - 233.3200],Ses05F_script03_1_M032,pos,"[4.0000, 4.0000, 3.0000]","[ ' oh ' , ' much ' , ' young ' ]"
[234.0400 - 242.0500],Ses05F_script03_1_M033,pos,"[2.5000, 4.0000, 3.5000]","[ ' oh ' , ' matter ' , ' fact ' , ' real ' , 'cause ' , ' row ' , ' peter ' , ' burden ' ]"
