% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[10.2102 - 15.6070],Ses05F_impro06_F000,sad,"[2.0000, 2.0000, 3.0000]",A good friend of mine passed away the other day.
[21.2500 - 27.5580],Ses05F_impro06_F001,sad,"[2.0000, 2.5000, 3.0000]","Oh they had some pretty progressive cancer,"
[27.9065 - 35.5400],Ses05F_impro06_F002,sad,"[1.5000, 2.0000, 3.0000]","metastasized and it was old and they knew that it was not looking good, but-"
[42.8100 - 47.2600],Ses05F_impro06_F003,sad,"[1.5000, 2.5000, 3.0000]",Yeah.  We were.  Pretty close.
[48.5000 - 49.9800],Ses05F_impro06_F004,sad,"[2.0000, 2.5000, 2.5000]",[BREATHING]
[58.2100 - 59.5700],Ses05F_impro06_F005,sad,"[1.5000, 2.5000, 2.5000]",Kind of.
[60.2000 - 64.5300],Ses05F_impro06_F006,sad,"[1.5000, 2.5000, 4.0000]","It is hard to watch when it is painful for them, you know."
[69.5700 - 71.5400],Ses05F_impro06_F007,sad,"[2.0000, 2.0000, 3.5000]","I just, I do not know."
[71.5800 - 73.9400],Ses05F_impro06_F008,sad,"[1.5000, 1.5000, 3.5000]",I know.
[75.3900 - 79.4200],Ses05F_impro06_F009,sad,"[2.0000, 2.5000, 3.0000]",And he could of...  He was pretty awesome
[85.3100 - 87.7300],Ses05F_impro06_F010,sad,"[2.5000, 2.5000, 3.0000]","Uh,  We grew up together."
[92.2200 - 99.8000],Ses05F_impro06_F011,sad,"[2.0000, 2.0000, 2.5000]","Yeah, he kind of did a lot of things, but we acted together, sometimes."
[103.5100 - 107.6400],Ses05F_impro06_F012,sad,"[1.5000, 2.5000, 3.0000]","I feel really bad for his family, you know."
[108.7600 - 111.9300],Ses05F_impro06_F013,sad,"[2.0000, 3.0000, 4.0000]","It must be really, really hard to lose a child."
[114.1700 - 119.6000],Ses05F_impro06_F014,sad,"[2.5000, 2.5000, 3.0000]","Yeah.  And they were really supportive, like through the whole process, but-"
[120.6600 - 122.3200],Ses05F_impro06_F015,sad,"[2.0000, 2.0000, 2.5000]",[BREATHING]
[123.9500 - 128.7400],Ses05F_impro06_F016,sad,"[1.5000, 2.0000, 3.0000]",I cannot imagine what his- what his parents are going through.
[136.6800 - 140.1300],Ses05F_impro06_F017,sad,"[2.0000, 2.5000, 3.0000]","Yeah, I'm just going to miss him."
[143.2700 - 144.7800],Ses05F_impro06_F018,sad,"[2.0000, 3.0000, 3.0000]",Thank you.
[148.7700 - 153.8700],Ses05F_impro06_F019,sad,"[2.5000, 3.0000, 3.0000]","Yeah, they are going to do some sort of memorial service or something."
[157.2900 - 158.6900],Ses05F_impro06_F020,sad,"[2.5000, 2.5000, 2.5000]",Thanks.
[159.8700 - 164.7700],Ses05F_impro06_F021,sad,"[2.5000, 3.0000, 3.0000]","It is really bizarre, you know, when you know somebody really well, and then..."
[165.5800 - 172.2900],Ses05F_impro06_F022,sad,"[2.0000, 3.0000, 3.5000]",something happens and they die and it is like-
[172.5400 - 179.2000],Ses05F_impro06_F023,sad,"[2.0000, 3.5000, 3.0000]","really hard to imagine that like you're going to continue to live, and that person's just going to have stopped."
