% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[6.0700 - 10.2900],Ses05M_script01_1_F000,sad,"[2.5000, 2.5000, 3.0000]",What is he going to say?  Maybe we should tell him before he sees it.
[10.9500 - 16.9600],Ses05M_script01_1_F001,sad,"[2.0000, 2.5000, 3.0000]",When?  I was the first one up.  He was still in bed.  How could he have seen it?
[18.2800 - 19.8700],Ses05M_script01_1_F002,xxx,"[2.0000, 2.5000, 3.0000]",When?
[28.1500 - 31.4400],Ses05M_script01_1_F003,xxx,"[2.0000, 2.0000, 3.0000]",What was he doing out here at four in the morning?
[36.9600 - 39.1800],Ses05M_script01_1_F004,sad,"[2.0000, 2.5000, 2.5000]",Did you talk to him?
[43.6300 - 45.3000],Ses05M_script01_1_F005,sad,"[2.0000, 2.0000, 2.5000]",He cried hard?
[48.9500 - 58.8400],Ses05M_script01_1_F006,xxx,"[2.0000, 2.5000, 3.0000]","What was he doing out there at that hour?  He is getting just like after Larry died, walking around at night.  He dreams."
[60.8800 - 63.5600],Ses05M_script01_1_F007,xxx,"[2.5000, 2.0000, 2.5000]",What is the meaning of that?
[68.6900 - 70.1200],Ses05M_script01_1_F008,xxx,"[2.5000, 2.5000, 2.5000]",What?
[73.0000 - 75.0400],Ses05M_script01_1_F009,xxx,"[2.0000, 2.5000, 2.5000]",What do you mean dishonest?
[81.4400 - 85.3200],Ses05M_script01_1_F010,fru,"[2.0000, 3.5000, 3.5000]","What do you want to do, argue with him?"
[102.3700 - 104.4100],Ses05M_script01_1_F011,xxx,"[2.5000, 3.5000, 3.5000]",You cannot say that to him.
[106.3200 - 108.9500],Ses05M_script01_1_F012,fru,"[2.0000, 3.0000, 4.0000]",how are you gonna prove it?  Can you prove it?
[113.4600 - 123.7900],Ses05M_script01_1_F013,fru,"[2.0000, 3.0000, 4.0000]","To you it is and to me, but not to him.  Now you can talk yourself until you're blue in the face, Chris, but there's no body and there's no grave.  So where are you?"
[127.6500 - 134.3100],Ses05M_script01_1_F014,ang,"[2.0000, 3.0000, 4.0000]","The trouble is the God damn newspapers.  I mean every every week a kid turns up, missing like longer than Larry."
[139.5700 - 141.3300],Ses05M_script01_1_F015,xxx,"[2.5000, 2.0000, 2.5000]",Why?
[142.8900 - 145.9400],Ses05M_script01_1_F016,xxx,"[2.0000, 2.5000, 3.5000]","Well, I have an idea.  But what is the story?"
[150.8000 - 153.1900],Ses05M_script01_1_F017,xxx,"[2.0000, 1.5000, 3.0000]","Well, that is your business, Chris."
[154.3400 - 158.1600],Ses05M_script01_1_F018,ang,"[2.0000, 3.5000, 3.5000]","Well, what do you want me to do?  You're old enough to make- to know your own mind."
[159.0100 - 161.6200],Ses05M_script01_1_F019,xxx,"[2.0000, 3.0000, 2.5000]","Well, you want to make sure that your father is not --"
[163.3700 - 165.1900],Ses05M_script01_1_F020,fru,"[1.5000, 3.5000, 3.5000]",I'm just saying.
[180.1600 - 183.4700],Ses05M_script01_1_F021,ang,"[2.0000, 3.0000, 3.0000]","I ignore what I got to ignore.  I mean, the girl is Larry's girl."
[184.5000 - 199.5700],Ses05M_script01_1_F022,ang,"[1.5000, 3.5000, 4.0000]","From your father's point of view he is not dead and she is still his girl.  Now, you can go on from there if you know where to go, Chris, but I do not know.  So what can I do for you?"
[209.7700 - 213.1700],Ses05M_script01_1_F023,neu,"[2.5000, 2.0000, 2.5000]","Well, you're a considerate fella, there's nothing wrong in that"
[213.2400 - 215.8200],Ses05M_script01_1_F024,neu,"[2.5000, 3.0000, 3.5000]",Have you asked Annie yet?
[219.0900 - 225.5000],Ses05M_script01_1_F025,neu,"[2.5000, 3.0000, 3.0000]","Well, what if she feels like your father?  And how do you know she will marry you?"
[240.4800 - 244.0200],Ses05M_script01_1_F026,neu,"[2.0000, 3.0000, 3.5000]","Well, the trouble is you never saw enough women."
[246.0600 - 248.9800],Ses05M_script01_1_F027,fru,"[2.0000, 3.5000, 3.5000]","Well, I just do not see why it has to be Annie."
[250.0900 - 255.5800],Ses05M_script01_1_F028,fru,"[2.5000, 3.0000, 3.5000]","Well, that is a good reason.  But that does not mean anything at all.  I mean, you haven't seen her in five years."
[263.7700 - 282.0200],Ses05M_script01_1_F029,fru,"[2.0000, 2.5000, 4.0000]","No.  I do not want a -- look, your father thinks he is coming back, Chris.  You marry that girl and you're pronouncing him dead.  Now, what is going to happen to your father; do you know?  Because, I do not."
