% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[5.4800 - 6.7000],Ses05M_impro07_F000,exc,"[4.0000, 3.0000, 2.0000]",['what']
[8.3300 - 9.6900],Ses05M_impro07_F001,exc,"[4.0000, 3.5000, 2.0000]","['oh', 'for', 'real']"
[9.7000 - 11.2200],Ses05M_impro07_F002,xxx,"[4.0000, 2.5000, 2.0000]","['that', 'is', 'awesome']"
[11.3500 - 13.6000],Ses05M_impro07_F003,exc,"[4.5000, 2.5000, 2.0000]","['oh', 'i', 'so', 'glad']"
[13.9900 - 15.7900],Ses05M_impro07_F004,hap,"[4.0000, 3.0000, 2.0000]","['what', 'are', 'you', 'gon', 'na', 'study']"
[16.3800 - 18.9800],Ses05M_impro07_F005,hap,"[4.0000, 3.0000, 2.5000]","['really', 'are', 'you', 'doing', 'the', 'm.f.a', 'program']"
[18.9900 - 20.8200],Ses05M_impro07_F006,xxx,"[4.0000, 3.5000, 2.0000]","['oh', 'my', 'gosh']"
[20.8300 - 23.4200],Ses05M_impro07_F007,hap,"[4.0000, 3.0000, 2.5000]","['i', 'heard', 'it', 'is', 'so', 'tough', 'to', 'get', 'into']"
[26.5900 - 28.3300],Ses05M_impro07_F008,hap,"[4.0000, 2.5000, 2.5000]","['that', 'is', 'awesome']"
[29.3000 - 31.2600],Ses05M_impro07_F009,exc,"[4.0000, 2.0000, 2.0000]","['yeah', 'that', 'is', 'awesome']"
[32.1000 - 33.3300],Ses05M_impro07_F010,neu,"[4.0000, 2.0000, 2.5000]",['no']
[37.6200 - 41.0500],Ses05M_impro07_F011,exc,"[4.0000, 3.0000, 2.5000]","['uh', 'huh', 'yes', 'seriously', 'for', 'years']"
[45.3500 - 50.1800],Ses05M_impro07_F012,exc,"[4.0000, 3.5000, 2.5000]","['i', 'know', 'i', 'know', ""i'm-"", 'i', 'definitely', 'i', 'realize', 'laughter']"
[51.2900 - 55.9000],Ses05M_impro07_F013,hap,"[4.0000, 2.5000, 2.0000]","['um-', 'i', 'gon', 'na', 'be', 'studying', 'at', 'u.s.c.', 'too']"
[57.6600 - 63.5900],Ses05M_impro07_F014,xxx,"[3.5000, 2.5000, 2.5000]","['not', 'on', 'campus', 'but', 'um-', 'i', 'probably', 'will', 'not', 'live', 'too', 'far', 'maybe', 'i', 'do', 'not', 'know', 'i', 'might', 'go', 'to', 'silver', 'lake', 'or', 'something']"
[63.9800 - 66.8800],Ses05M_impro07_F015,exc,"[4.0000, 3.0000, 2.5000]","['yeah', 'totally-', 'well', 'where', 'are', 'you', 'going', 'to', 'live']"
[67.6700 - 68.9500],Ses05M_impro07_F016,neu,"[4.0000, 2.0000, 2.0000]","['oh', 'yeah']"
[70.4300 - 71.8400],Ses05M_impro07_F017,neu,"[4.0000, 1.5000, 2.0000]","['good', 'tradeoff']"
[75.7300 - 77.8400],Ses05M_impro07_F018,neu,"[3.5000, 3.0000, 2.5000]","['i', 'do', 'not-', 'i', 'do', 'not', 'think', 'it', 'is', 'that', 'bad']"
[83.1200 - 84.1900],Ses05M_impro07_F019,neu,"[3.5000, 1.5000, 2.0000]",['yeah']
[85.0200 - 93.7100],Ses05M_impro07_F020,neu,"[3.0000, 3.0000, 2.5000]","['yeah', 'i', 'think', 'it', 'is', 'really', 'also', 'if', 'you-', 'if', 'you', 'consider', 'yourself', 'like', 'us', 'and', 'them', 'kind', 'of', 'thing-', 'if', 'you', 'think', 'you', 'part', 'of', 'your', 'community', 'then', 'you', 'going', 'to', 'like', 'it', 'more']"
[93.8500 - 95.7400],Ses05M_impro07_F021,exc,"[3.5000, 3.0000, 2.5000]","['right', 'exactly']"
[97.6700 - 100.5300],Ses05M_impro07_F022,exc,"[4.0000, 2.5000, 2.0000]","['oh', 'i', 'so', 'glad']"
[100.5600 - 103.2400],Ses05M_impro07_F023,hap,"[3.5000, 2.0000, 2.5000]","['so', 'when', 'do', 'you', 'know', 'like', 'where', 'you', 'gon', 'na', 'live', 'and-']"
[103.8200 - 105.2400],Ses05M_impro07_F024,neu,"[3.0000, 2.0000, 2.0000]","['oh', 'wow']"
