% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[13.4666 - 15.6200],Ses05F_script02_2_F001,xxx,"[2.5000, 3.5000, 3.5000]",[ ' ridiculous ' ]
[19.8700 - 25.7100],Ses05F_script02_2_F002,xxx,"[3.0000, 3.5000, 3.5000]","[ ' pr ' , ' somebody ' , ' sell ' , ' bill ' , ' good ' , ' wonderful ' , ' event ' , ' go ' , ' occur ' , ' beach ' ]"
[26.9700 - 38.3700],Ses05F_script02_2_F003,xxx,"[2.5000, 3.5000, 4.0000]","[ ' yeah ' , ' tell ' , ' thing ' , ' tell ' , ' know ' , ' get ' , ' excited ' , ' wait ' , ' get ' , ' right ' , ' spot ' , ' maybe ' , ' life ' , ' start ' ]"
[40.3329 - 43.8750],Ses05F_script02_2_F004,fru,"[2.0000, 3.5000, 3.5000]","[ ' sorry ' , ' fish ' ]"
[48.5866 - 54.2339],Ses05F_script02_2_F005,ang,"[1.5000, 4.5000, 3.5000]","[ ' god ' , ' damn ' , ' augie ' , ' always ' , ' ask ' , ' thing ' , ' like ' , ' insult ' ]"
[56.4727 - 60.4492],Ses05F_script02_2_F006,fru,"[2.5000, 3.5000, 3.0000]","[ ' different ' , ' idea ' , ' evening ' , ' going ' , ' look ' , ' like ' ]"
[75.3192 - 79.2200],Ses05F_script02_2_F007,fru,"[2.5000, 3.5000, 3.0000]","[ ' heaven ' , ' sake ' , ' augie ' , ' grow ' , ' go ' , ' see ' , ' grunion ' ]"
[80.2800 - 83.9000],Ses05F_script02_2_F008,fru,"[2.5000, 3.0000, 3.0000]","[ ' never ' , ' ever ' , ' never ' ]"
[85.1800 - 88.2900],Ses05F_script02_2_F009,fru,"[2.5000, 3.0000, 3.5000]","[ ' twice ' , ' every ' , ' time ' , ' try ' , ' ever ' ]"
[89.4541 - 107.1645],Ses05F_script02_2_F010,fru,"[1.5000, 4.5000, 4.5000]","[ ' augie ' , ' like ' , ' wait ' , ' santa ' , ' claus ' , ' come ' , ' feel ' , ' like ' , ' go ' , ' spend ' , ' entire ' , ' life ' , ' stand ' , ' beach ' , ' eye ' , ' wide ' , ' open ' , ' hand ' , ' clasp ' , ' expectantly ' , ' front ' , ' wait ' , ' fish ' , ' show ' , ' fish ' , ' show ' ]"
