% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.6700 - 6.5700],Ses05M_impro06_F000,xxx,"[2.0000, 2.0000, 1.5000]","Ryan, what is wrong?"
[15.2600 - 17.1900],Ses05M_impro06_F001,xxx,"[2.0000, 3.0000, 1.5000]",What?
[25.3800 - 28.0200],Ses05M_impro06_F002,sad,"[2.0000, 2.5000, 1.5000]","Oh, I'm so sorry"
[33.1700 - 34.8800],Ses05M_impro06_F003,sad,"[2.0000, 3.0000, 1.5000]","Oh, my gosh."
[64.2500 - 65.9400],Ses05M_impro06_F004,sad,"[2.5000, 2.0000, 2.0000]",What did he do?
[89.5600 - 91.5800],Ses05M_impro06_F005,sad,"[2.0000, 2.0000, 2.0000]",Yeah.  I'm so sorry.
[116.6200 - 118.7400],Ses05M_impro06_F006,sad,"[2.0000, 2.5000, 1.5000]",You guys have been-
[147.8100 - 149.7900],Ses05M_impro06_F007,sad,"[2.0000, 2.5000, 1.5000]",I'm sorry. I-
[169.9892 - 177.1000],Ses05M_impro06_F008,sad,"[2.0000, 3.0000, 2.5000]","Wow, Ryan I know that you are hurting right now but I do not think you always feel like that."
[188.8700 - 193.3500],Ses05M_impro06_F009,sad,"[2.0000, 2.0000, 2.5000]",Yeah. I understand.  I think it is really healthy to grieve.
[197.8800 - 201.0100],Ses05M_impro06_F010,sad,"[2.0000, 3.0000, 2.5000]",If there's anything I can do to be there for you.
[10.9000 - 14.8600],Ses05M_impro06_M000,sad,"[2.0000, 2.0000, 2.0000]",I just got some bad news.
[19.9600 - 25.5800],Ses05M_impro06_M001,sad,"[2.0000, 2.0000, 2.0000]","My friend, Shotty, passed away."
[27.4600 - 33.6700],Ses05M_impro06_M002,sad,"[1.5000, 2.0000, 2.0000]","The end, he is been sick for awhile.  He had cancer."
[34.3600 - 45.1000],Ses05M_impro06_M003,sad,"[1.5000, 2.0000, 2.0000]","Yeah.  It is just, I never thought it would actually happen, you know? I mean- He is such a fighter and he is always so positive about everything."
[45.1100 - 58.4800],Ses05M_impro06_M004,sad,"[1.5000, 2.5000, 2.5000]","You know, he was gonna, and we -- all the way up to the end we were just talking about how- you know all the stuff we were gonna do and, you know.  When he finally kicked this stupid cancer, you know, and we were gonna --"
[58.6900 - 65.6800],Ses05M_impro06_M005,sad,"[1.5000, 3.0000, 2.5000]","he wanted to travel, you know.  And he is so talented.  Probably the most talented person I have ever met in my entire life."
[65.7000 - 75.5700],Ses05M_impro06_M006,sad,"[2.0000, 3.5000, 2.5000]","He was a designer, you know.  But he did everything. You know, He painted and he- and he did costume design, he did set design, he did lighting, he was --"
[75.5800 - 81.5100],Ses05M_impro06_M007,sad,"[2.0000, 3.0000, 2.5000]","he just did everything.  He was literally, literally the most talented guy I have ever met in my entire life."
[81.5200 - 89.9600],Ses05M_impro06_M008,sad,"[1.5000, 3.0000, 2.0000]",And he is gone now and I  -- I just cannot believe it.
[91.9800 - 99.6100],Ses05M_impro06_M009,sad,"[1.5000, 3.0000, 2.0000]","I mean, one second you think, you know, you're just having a conversation and then --"
[101.0100 - 114.7500],Ses05M_impro06_M010,sad,"[1.5000, 3.0000, 2.5000]","you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that.  Do you know what I mean?  Like that is -- he was the person that I did that with.  You know, like, that is the person who I needed to call to tell things to all the time."
[116.5400 - 128.9700],Ses05M_impro06_M011,sad,"[1.5000, 3.0000, 2.0000]","And now I do not have that person anymore, you know.  And it is -- -- it is just, you."
[129.1900 - 136.1500],Ses05M_impro06_M012,sad,"[1.5000, 3.0000, 2.0000]","You think that things get easier, you know, as you as you get older and you -"
[137.1500 - 147.2300],Ses05M_impro06_M013,sad,"[1.0000, 3.5000, 2.5000]","and it just gets worse.  It just gets worse, everything is bad all the time; people die, your friends die, family dies, your best friends die. it is-"
[148.2300 - 155.7751],Ses05M_impro06_M014,sad,"[1.5000, 3.0000, 2.5000]","You always think, you know when you were- you know when you were a little kid and you think something is gonna happen, like, it will all be better when I am older, you know?"
[155.7851 - 165.2100],Ses05M_impro06_M015,xxx,"[1.5000, 3.0000, 3.5000]","And I do not know why people do not just tell you off the bat that it is just gonna suck anyway.  You know, like, what is the point?"
[165.2200 - 170.8900],Ses05M_impro06_M016,xxx,"[1.5000, 3.0000, 3.0000]","All the best people die, all the bad people live and they make life shitty for you anyway."
[176.5500 - 179.9800],Ses05M_impro06_M017,sad,"[2.0000, 2.5000, 2.0000]","No, you're right.  I do not.  You're right."
[180.7300 - 191.4300],Ses05M_impro06_M018,sad,"[2.0000, 3.0000, 2.5000]","Even, yeah -- he does not he would never feel that way, he would never want me to feel that way.  Of course not, but that is just where I am right now and -- -- I do not know what else to do with it."
[194.8000 - 197.3500],Ses05M_impro06_M019,sad,"[1.5000, 2.0000, 2.0000]",I just miss him.
[200.9700 - 203.1100],Ses05M_impro06_M020,sad,"[1.5000, 2.5000, 1.5000]",Thanks.
