utterance_id,start_time,end_time,emotion,valence,arousal,dominance
Ses03M_impro08b_F000,12.94,15.58,negative,2,2,3
Ses03M_impro08b_F001,17.54,25.32,negative,1.5,4,4.5
Ses03M_impro08b_F002,30.88,36.94,negative,1.5,3.5,4.5
Ses03M_impro08b_F003,37.94,42.03,negative,2,3,3.5
Ses03M_impro08b_F004,44.69,49.21,negative,1.5,4.5,4.5
Ses03M_impro08b_F005,49.65,52.01,negative,1.5,3.5,4
Ses03M_impro08b_F006,52.26,58.7975,negative,1.5,2.5,4
Ses03M_impro08b_F007,58.86,65.3,negative,2,4,4.5
Ses03M_impro08b_F008,69.82,77.46,negative,1.5,3.5,4.5
Ses03M_impro08b_F009,78.18,83.7,negative,1.5,3.5,4
Ses03M_impro08b_F010,86.87,93.38,negative,2,3.5,4.5
Ses03M_impro08b_F011,104.39,114.79,negative,1.5,4,4.5
Ses03M_impro08b_F012,120.26,126.69,negative,2,4,4
Ses03M_impro08b_F013,127.63,135.86,negative,1.5,4,4.5
Ses03M_impro08b_F014,138.34,142.61,negative,2,3.5,4
Ses03M_impro08b_F015,151.39,155.52,negative,1.5,4,4
Ses03M_impro08b_F016,156.72,158.38,negative,2.5,3,2.5
Ses03M_impro08b_F017,160.45,165.96,negative,2,3.5,4.5
Ses03M_impro08b_F018,168.03,169.75,negative,2,3.5,3.5
Ses03M_impro08b_F019,170.26,174.57,negative,2.5,3.5,4.5
Ses03M_impro08b_F020,176.8925,178.0375,neutral,2,2.5,3
Ses03M_impro08b_F021,192.12,196.91,neutral,2.5,3,3
Ses03M_impro08b_F022,197.06,199.19,negative,2.5,2.5,3.5
Ses03M_impro08b_F023,203.4325,204.7875,neutral,3,2.5,2.5
Ses03M_impro08b_F024,207,209.66,neutral,4,2.5,2.5
Ses03M_impro08b_M000,15.12,17.52,neutral,3,3,3
Ses03M_impro08b_M001,24.13,31.92,neutral,2.5,3.5,3.5
Ses03M_impro08b_M002,34.92,39.08,neutral,2.5,2.5,3
Ses03M_impro08b_M003,42.08,45.59,neutral,3,2.5,3
Ses03M_impro08b_M004,48.48,52.79,neutral,2,2.5,3
Ses03M_impro08b_M005,64.77,75.67,neutral,3,3,4
Ses03M_impro08b_M006,75.98,78.5,neutral,2.5,2.5,3.5
Ses03M_impro08b_M007,83.15,88.98,neutral,2.5,3,3.5
Ses03M_impro08b_M008,92.73,98.39,neutral,2.5,2.5,3
Ses03M_impro08b_M009,98.5,106.5,neutral,3,3,3
Ses03M_impro08b_M010,113.68,122.84,neutral,3,3.5,4
Ses03M_impro08b_M011,123,130.19,neutral,3,3,3
Ses03M_impro08b_M012,132.68,138.85,neutral,3,2.5,4
Ses03M_impro08b_M013,142.13,146.51,neutral,3,3,3
Ses03M_impro08b_M014,146.55,153.83,neutral,3,2.5,4
Ses03M_impro08b_M015,154.71,157.39,neutral,2.5,3.5,4
Ses03M_impro08b_M016,157.48,160.87,neutral,3,3,3
Ses03M_impro08b_M017,164.97,170.84,neutral,3,3,3.5
Ses03M_impro08b_M018,174.59,177.5,neutral,3,2.5,3
Ses03M_impro08b_M019,178.1425,188.83,neutral,3,3.5,4
Ses03M_impro08b_M020,188.85,191.06,neutral,3,2.5,3
Ses03M_impro08b_M021,198.82,201.91,neutral,3,2.5,3
Ses03M_impro08b_M022,204.39,208.88,neutral,3.5,3,3.5
