% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[4.4500 - 31.2000],Ses05M_impro08_F000,fru,"[2.0000, 4.0000, 4.0000]","['Hi', 'I', 'need-', 'I', 'need', 'some', 'help', 'I', ""'ve"", 'been', 'transferred', 'to', 'like', 'eight', 'different', 'departments', 'and', 'I', ""'ve"", 'told', 'my', 'problem', 'to', 'every', 'single', 'department', 'and', 'then', 'they', 'just', 'send', 'me', 'to', 'another', 'one', 'and', 'say', 'they', 'are', 'going', 'to', 'send', 'all', 'my', 'information', 'so', 'I', 'will', 'not', 'have', 'to', 'repeat', 'it', 'and', 'then', 'that', 'person', 'does', 'not', 'know', 'what', 'is', 'going', 'on', 'And', 'I', ""'ve"", 'restated', 'my', 'story', 'about', 'eight', 'different', 'times', 'and', 'I', 'just', 'want', 'somebody', 'to', 'help', 'me', 'get', 'my', 'connection', 'back', 'because', 'this', 'happens', 'every', 'two', 'weeks', 'And', 'I', 'want', 'to', 'know', 'what', 'to', 'do', 'to', 'stop', 'it', 'from', 'happening', 'again']"
[31.8600 - 34.8400],Ses05M_impro08_F001,fru,"[2.0000, 3.0000, 3.0000]","['Yeah', 'That', 'my', 'service', 'just', 'goes', 'out']"
[35.2100 - 36.1900],Ses05M_impro08_F002,fru,"[3.0000, 2.5000, 2.5000]",['yeah']
[36.3600 - 47.0600],Ses05M_impro08_F003,fru,"[2.0000, 3.5000, 3.0000]","['And', 'I', ""'ll"", 'reset', 'the', 'IP', 'address', 'I', 'will', 'do', 'like', 'you', 'know', 'direct', 'connect', 'the', 'modem', 'to', 'my', 'computer', 'and', 'then', 'reset', 'everything', 'and', 'then', 'put', 'the', 'router', 'back', 'in', 'And-']"
[47.0700 - 51.9000],Ses05M_impro08_F004,fru,"[2.5000, 4.0000, 3.0000]","['Is', 'not', 'It', 'it', 'It', 'will', 'work', 'again', 'for', 'like', 'a', 'week', 'and', 'then', 'it', 'goes', 'out', 'again']"
[53.0200 - 56.2300],Ses05M_impro08_F005,neu,"[3.0000, 3.5000, 3.0000]","['Uh', 'yeah', 'We', 'have', 'pinned', 'it', 'a', 'couple', 'of', 'times']"
[61.5000 - 66.9100],Ses05M_impro08_F006,neu,"[2.5000, 2.5000, 3.0000]","['Pretty', 'much', 'yeah', 'I', 'do', 'not', 'know', 'if', 'it', 'is', 'like', 'bad', 'phone', 'lines', 'or', 'something']"
[69.0700 - 70.2700],Ses05M_impro08_F007,neu,"[3.0000, 1.5000, 2.0000]","['Hmm', 'Mmm']"
[74.3700 - 75.9300],Ses05M_impro08_F008,neu,"[3.0000, 2.0000, 2.5000]",['yeah']
[77.2200 - 81.0600],Ses05M_impro08_F009,neu,"[3.0000, 2.5000, 2.5000]","['It', 'goes-', 'It', 'goes', 'like', 'through', 'doorways', 'But', 'it', 'goes', 'a', 'long', 'distance']"
[90.1500 - 91.7900],Ses05M_impro08_F010,xxx,"[3.0000, 2.5000, 2.5000]","['Oh', 'really']"
[96.1400 - 103.2600],Ses05M_impro08_F011,neu,"[3.0000, 4.0000, 3.0000]","['Well', 'I-', 'I', 'can', 'check', 'that', 'Is', 'there', 'anything', 'else', 'we', 'can', 'do', 'too', 'Like', 'I', ""'ll"", 'go', 'through', 'and', 'check', 'the', 'line', 'throughout', 'the', 'house', 'but', '--']"
[111.1800 - 112.6300],Ses05M_impro08_F012,neu,"[3.0000, 1.5000, 2.5000]","['Uh', 'huh']"
[115.4600 - 116.6000],Ses05M_impro08_F013,neu,"[3.0000, 2.5000, 2.5000]","['All', 'right']"
[118.5100 - 119.7700],Ses05M_impro08_F014,neu,"[3.0000, 2.0000, 2.5000]","['Yeah', 'I', 'see', 'that']"
[125.0400 - 126.0400],Ses05M_impro08_F015,neu,"[3.0000, 2.5000, 2.5000]",['Okay']
