% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[2.2600 - 11.5600],Ses05F_impro05_F000,neu,"[2.5000, 2.5000, 3.0000]","['hi', 'um', 'think', 'baggage', 'lost', 'need', 'guess', 'file', 'claim', 'know']"
[11.5900 - 15.1665],Ses05F_impro05_F001,neu,"[2.5000, 2.5000, 3.0000]","['um-seventeen', 'coming']"
[15.1950 - 17.8748],Ses05F_impro05_F002,neu,"[3.0000, 2.0000, 2.5000]","['virgin', 'atlantic', 'coming', 'london']"
[24.1752 - 28.9646],Ses05F_impro05_F003,fru,"[2.5000, 3.0000, 3.0000]","['yeah', 'know', 'lost', 'coming', 'africa']"
[30.8900 - 32.2600],Ses05F_impro05_F004,neu,"[2.5000, 2.5000, 2.5000]",['right']
[33.0800 - 34.3600],Ses05F_impro05_F005,neu,"[2.5000, 2.0000, 2.5000]",['yeah']
[42.0500 - 43.3329],Ses05F_impro05_F006,neu,"[3.0000, 2.0000, 2.5000]",['good']
[52.0280 - 57.3800],Ses05F_impro05_F007,neu,"[2.5000, 3.0000, 3.0000]","['well', 'leave', 'without', 'mean', 'could', 'find']"
[61.8900 - 66.9200],Ses05F_impro05_F008,fru,"[2.5000, 3.0000, 3.0000]","['right', 'well', 'get', 'computer', 'maybe', 'like', 'track', 'see', 'going', 'get']"
[75.1483 - 78.5400],Ses05F_impro05_F009,fru,"[2.5000, 2.5000, 3.5000]","['yes', 'sir', 'know', 'bag', 'looks', 'like']"
[80.7100 - 87.8200],Ses05F_impro05_F010,neu,"[2.5000, 3.0000, 3.5000]","['um', 'travel', 'backpack', 'green', 'gray', 'got', 'name', 'information']"
[88.8000 - 91.5800],Ses05F_impro05_F011,fru,"[2.0000, 3.0000, 3.0000]","['turn', 'baggage', 'claim']"
[91.6000 - 95.4100],Ses05F_impro05_F012,fru,"[2.0000, 4.0000, 4.0000]","['mean', 'gone', 'five', 'people', 'already']"
[99.8400 - 101.1200],Ses05F_impro05_F013,fru,"[2.5000, 2.5000, 2.5000]",['okay']
[111.2000 - 116.0900],Ses05F_impro05_F014,fru,"[2.5000, 2.5000, 3.5000]","['yes', 'lots', 'really', 'like', 'sentimental', 'value']"
[116.3300 - 118.1391],Ses05F_impro05_F015,xxx,"[3.0000, 3.0000, 3.5000]","['really', 'important', 'stuff']"
[127.3759 - 131.4200],Ses05F_impro05_F016,xxx,"[2.0000, 3.5000, 4.0000]","['going', 'cut', 'like', 'really', 'really', 'need', 'get', 'bag', 'back']"
[135.9700 - 142.2900],Ses05F_impro05_F017,fru,"[2.0000, 3.5000, 4.5000]","['happen', 'often', 'lose', 'baggage', 'offer', 'people', 'money']"
[146.7200 - 155.0900],Ses05F_impro05_F018,ang,"[1.5000, 3.5000, 4.5000]","['uh', 'lose', 'baggage', 'first', 'place', 'mean', 'offering', 'service', 'paid', 'much', 'money', 'ticket']"
[163.6400 - 168.5000],Ses05F_impro05_F019,ang,"[2.0000, 3.5000, 4.5000]","['mean', 'like', 'find', 'go', 'lost']"
[172.1100 - 180.7400],Ses05F_impro05_F020,ang,"[2.0000, 3.5000, 4.0000]","['well', 'just-i', 'paid', 'much', 'money', 'ticket', 'feel', 'like', 'guys', 'able', 'get-to', 'offer', 'fifty', 'dollar', 'voucher']"
[184.9600 - 198.7300],Ses05F_impro05_F021,ang,"[1.5000, 3.5000, 4.0000]","['yeah', 'meaning', 'die', 'fiery', 'plane', 'crash', 'convenient', 'um', 'paid', 'two', 'thousand', 'dollar', 'ride', 'airline', 'would', 'really', 'appreciate', 'getting', 'bags', 'destination', 'one', 'place']"
[202.3531 - 208.0700],Ses05F_impro05_F022,ang,"[2.0000, 4.0000, 4.0000]","['right', 'part', 'agreement', 'paying', 'take', 'belongings']"
[208.1118 - 212.0000],Ses05F_impro05_F023,ang,"[2.0000, 4.0000, 4.0000]","['going', 'transport', 'safely', 'one', 'place', 'another']"
[220.7981 - 226.6600],Ses05F_impro05_F024,ang,"[2.5000, 4.0000, 4.0000]","['offer', 'mean', 'stuff', 'worth', 'way', 'fifty', 'dollar']"
[233.1138 - 239.2800],Ses05F_impro05_F026,fru,"[2.0000, 4.0000, 4.5000]","['need', 'flight', 'insurance', 'guys', 'guarantee', 'going', 'get', 'stuff', 'leave', 'destination']"
[244.3400 - 252.4600],Ses05F_impro05_F027,fru,"[2.0000, 3.5000, 4.0000]","['right', 'riding', 'bus', 'need', 'buy', 'luggage', 'insurance', 'backpack', 'take', 'going', 'get', 'destination']"
[257.2300 - 259.7900],Ses05F_impro05_F028,fru,"[2.5000, 3.0000, 3.5000]","['made', 'check', 'heavy']"
[260.7300 - 265.6500],Ses05F_impro05_F029,xxx,"[2.5000, 4.0000, 4.5000]","['would', 'carried', 'made', 'check', 'lost']"
[271.2011 - 273.7200],Ses05F_impro05_F030,fru,"[2.0000, 3.5000, 3.5000]","['nothing', 'else']"
[277.0600 - 279.3600],Ses05F_impro05_F031,ang,"[2.0000, 3.0000, 4.5000]","['believe', 'second']"
[283.0400 - 290.4400],Ses05F_impro05_F032,xxx,"[1.5000, 4.0000, 4.5000]","['think', 'mean', 'everything', 'could', 'either', 'give', 'money', 'figure', 'bag']"
[294.7200 - 298.4100],Ses05F_impro05_F033,ang,"[2.5000, 4.0000, 4.0000]","['mean', 'makes', 'rules']"
[298.4700 - 303.5300],Ses05F_impro05_F034,ang,"[2.5000, 4.0000, 3.5000]","['autono', 'autonomous', 'human', 'could', 'could', 'go', 'com']"
[304.2800 - 307.3600],Ses05F_impro05_F035,xxx,"[2.0000, 3.0000, 3.0000]","['could', 'go', 'computer', 'know', 'print']"
[312.6500 - 320.3400],Ses05F_impro05_F036,fru,"[1.5000, 4.0000, 4.5000]","['supposed', 'oh', 'well', 'oops', 'luggage', 'gone', 'fine', 'take', 'stinking', 'fifty', 'dollar', 'voucher']"
[324.7900 - 326.8300],Ses05F_impro05_F037,fru,"[2.0000, 3.0000, 3.5000]",['guarantee']
[329.6720 - 331.7500],Ses05F_impro05_F038,fru,"[2.0000, 2.5000, 3.5000]",['ridiculous']
[333.4200 - 338.7600],Ses05F_impro05_F039,fru,"[2.0000, 3.0000, 4.0000]","['uh', 'guys', 'lost', 'responsibility', 'find']"
[340.9100 - 344.7200],Ses05F_impro05_F040,fru,"[2.0000, 3.5000, 3.5000]","['oh', 'come', 'would', 'cut', 'ridiculous']"
[346.0900 - 355.7400],Ses05F_impro05_F041,ang,"[1.0000, 4.5000, 4.5000]","['think', 'like', 'whole', 'bunch', 'stuff', 'means', 'lot', 'brought', 'know', 'africa', 'like', 'go', 'back', 'get', 'whenever', 'want']"
[355.7600 - 358.7800],Ses05F_impro05_F042,ang,"[1.5000, 4.0000, 4.5000]","['like', 'go', 'kmart', 'buy', 'another']"
[369.6000 - 371.4369],Ses05F_impro05_F043,xxx,"[2.0000, 2.5000, 2.0000]","['okay', 'fine']"
[373.3900 - 375.8500],Ses05F_impro05_F044,fru,"[2.0000, 3.5000, 3.5000]","['yeah', 'take', 'fifty', 'dollar', 'voucher']"
[384.9600 - 386.9000],Ses05F_impro05_F045,fru,"[2.5000, 2.5000, 2.5000]",['thanks']
[9.7600 - 11.8500],Ses05F_impro05_M000,neu,"[3.0000, 3.0000, 3.0000]","['okay', 'flight']"
[13.2200 - 15.3600],Ses05F_impro05_M001,neu,"[3.0000, 2.5000, 3.0000]",['airline']
[17.6467 - 24.7100],Ses05F_impro05_M002,neu,"[3.0000, 2.5000, 3.0000]","['london', 'okay', 'um', 'went', 'proper', 'checkpoints']"
[28.7936 - 33.5600],Ses05F_impro05_M003,neu,"[3.0000, 3.0000, 3.0000]","['seen', 'bags', 'since', 'africa', 'flew', 'threw', 'heath', 'row']"
[33.9900 - 37.9253],Ses05F_impro05_M004,neu,"[3.0000, 2.5000, 3.0000]","['okay', 'well', 'let', 'see']"
[38.6860 - 43.3700],Ses05F_impro05_M005,neu,"[3.0000, 3.5000, 3.5000]","['seems', 'like', 'went', 'heath', 'row', 'see', 'uh']"
[43.4300 - 48.2934],Ses05F_impro05_M006,neu,"[2.5000, 3.0000, 3.5000]","['uh', 'see', 'airport', 'yet', 'uh']"
