% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[4.9869 - 8.2400],Ses05M_script01_2_F000,xxx,"[2.3333, 2.3333, 2.6667]","['why', 'did', 'you', 'invite', 'her', 'here']"
[10.2600 - 14.0100],Ses05M_script01_2_F001,xxx,"[2.3333, 2.6667, 3.3333]","['she', 'is', 'been', 'in', 'new', 'york', 'three', 'and', 'a', 'half', 'years', 'why', 'all', 'of', 'a', 'sudden']"
[18.5100 - 21.4600],Ses05M_script01_2_F002,neu,"[2.3333, 3.3333, 3.6667]","['nobody', 'comes', 'seven', 'hundred', 'miles', 'just', 'to', 'see']"
[31.3200 - 33.7300],Ses05M_script01_2_F003,xxx,"[2.3333, 2.0000, 2.3333]","['he', 'is', 'not', 'going', 'to', 'marry', 'her']"
[36.3900 - 38.8800],Ses05M_script01_2_F004,neu,"[2.3333, 2.3333, 2.6667]","['he', 'is', 'got', 'that', 'about', 'it']"
[42.2600 - 44.6300],Ses05M_script01_2_F005,ang,"[2.0000, 3.3333, 3.0000]","['what', 'is', 'going', 'on', 'here', 'joe']"
[48.2800 - 52.2300],Ses05M_script01_2_F006,xxx,"[2.0000, 3.3333, 3.3333]","['no', 'she', 'is', 'not', 'his', 'girl', 'joe', 'she', 'knows', 'she', 'is', 'not']"
[55.2600 - 63.1900],Ses05M_script01_2_F007,xxx,"[2.0000, 3.3333, 3.6667]","['then', 'why', 'is', 'she', 'still', 'single', 'i', 'mean', 'new', 'york', 'is', 'full', 'of', 'men', 'why', 'is', 'not', 'she', 'married', 'probably', 'a', 'hundred', 'people', 'told', 'her', 'she', 'is', 'foolish', 'but', 'she', 'is', 'waited']"
[66.3400 - 75.7300],Ses05M_script01_2_F008,xxx,"[2.0000, 2.6667, 3.6667]","['because', 'she', 'knows', 'what', 'i', 'know', 'that', 'is', 'why', 'she', 'is', 'faithful', 'as', 'a', 'rock', 'in', 'my', 'worst', 'moments', 'i', 'think', 'of', 'her', 'waiting', 'and', 'i', 'know', 'again', 'that', 'i', 'right']"
[79.1100 - 87.4600],Ses05M_script01_2_F009,xxx,"[2.3333, 3.3333, 3.6667]","['nobody', 'in', 'this', 'house', 'dares', 'takes', 'her', 'faith', 'away', 'joe', 'strangers', 'might', 'but', 'not', 'his', 'father', 'not', 'his', 'brother']"
