% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.6132 - 6.1700],Ses05F_impro01_F000,neu,"[4.0000, 2.5000, 3.0000]","['hi', 'i', 'need', 'an', 'id']"
[14.1500 - 19.4900],Ses05F_impro01_F001,fru,"[2.5000, 3.0000, 3.0000]","['okay', 'i', ""'m"", 'sorry', 'but', 'i', 'just', 'stood', 'in', 'this', 'line', 'for', 'an', 'hour', 'can', 'i', 'is', 'there', 'any', 'way', 'i', 'can-']"
[22.8500 - 26.9000],Ses05F_impro01_F002,fru,"[2.5000, 3.0000, 3.5000]","['no', 'they', 'told', 'me-i', ""'m"", 'sorry', 'but', 'they', 'told', 'me', 'to', 'be', 'in', 'this', 'line']"
[29.9800 - 34.4600],Ses05F_impro01_F003,fru,"[2.5000, 3.0000, 3.0000]","['what', 'i', 'mean', 'what', '...', 'what', 'is', 'the', 'difference', 'what', 'do', 'i', 'need', 'to', 'do', 'there', 'that', 'i', 'can', 'not', 'do', 'here']"
[39.4800 - 42.1800],Ses05F_impro01_F004,fru,"[2.5000, 3.5000, 3.0000]","['can', 'you', 'just-can', 'i', 'just', 'get', 'the', 'right-']"
[42.8400 - 45.7800],Ses05F_impro01_F005,fru,"[2.5000, 3.5000, 3.0000]","['would', 'you', 'be', 'able', 'to', 'put', 'me', 'at', 'the', 'front', 'of', 'that', 'line']"
[46.8200 - 53.7400],Ses05F_impro01_F006,fru,"[2.0000, 3.5000, 4.0000]","['i', 'know', 'i', ""'ve"", 'been', 'in', 'line', 'with', 'these', 'people', 'i', 'understand', 'i', 'understand', 'what', 'it', 'is', 'like', 'could', 'you', 'please', 'like', 'call', 'over', 'and-']"
[58.2800 - 65.3300],Ses05F_impro01_F007,fru,"[2.0000, 3.5000, 4.0000]","['i', 'hear', 'that', 'i', 'hear', 'that', 'thank', 'you', 'but', 'i', ""'ve"", 'waited', 'in', 'line', 'for', 'so', 'long', 'and', 'i', 'do', 'not', 'want', 'to', 'have', 'to', 'be', 'here', 'all', 'day']"
[65.3400 - 69.5800],Ses05F_impro01_F008,neu,"[2.0000, 3.5000, 3.5000]","['so', 'could', 'i', 'maybe', 'get', 'the', 'form', 'from', 'you', 'fill', 'it', 'out', 'here-', 'and', 'maybe', 'you', 'could-']"
[74.0600 - 76.6800],Ses05F_impro01_F009,fru,"[1.5000, 3.0000, 3.5000]","['and', 'how', 'long', 'is', 'that', 'going', 'to', 'take']"
[86.8900 - 88.5000],Ses05F_impro01_F010,fru,"[1.5000, 3.5000, 3.5000]","['i', 'do', 'not-']"
[88.5200 - 91.5428],Ses05F_impro01_F011,fru,"[2.0000, 3.0000, 3.5000]","['i', 'do', 'not', 'have', 'time', 'for', 'this', 'today', 'and-']"
[96.2500 - 101.6000],Ses05F_impro01_F012,fru,"[2.0000, 3.5000, 4.0000]","['is', 'there', 'anything', 'you', 'can', 'do', 'please', 'have', 'some', 'compassion', 'is', 'there', 'something', 'you', 'can', 'do']"
[117.8600 - 128.7300],Ses05F_impro01_F013,fru,"[2.0000, 3.5000, 4.0000]","['please', 'i', 'do', 'not', 'think', 'that', 'is', 'necessary', 'i', ""'m"", 'just', 'asking', 'maybe', 'you', 'could', 'call', 'over', 'and', 'say', 'that', 'somebody', 'miss', 'informed', 'her', 'because', 'i', 'did', 'not', 'pick', 'to', 'stand', 'in', 'this', 'line', 'i', 'asked', 'them', 'where', 'to', 'stand', 'and', 'they', 'told', 'me', 'here']"
[130.3000 - 134.7700],Ses05F_impro01_F014,fru,"[2.0000, 4.0000, 4.5000]","['no', 'they', 'did', 'the', 'lady', 'over', 'there', 'told', 'me', 'to', 'stand', 'in', 'this', 'line', 'and', 'i', ""'ve"", 'been', 'here', 'for', 'an', 'hour']"
[135.3800 - 136.7300],Ses05F_impro01_F015,fru,"[2.5000, 3.0000, 3.0000]",['no']
[136.7600 - 140.5500],Ses05F_impro01_F016,fru,"[1.5000, 3.5000, 4.5000]","['no', 'i', ""'m"", 'not', 'i', ""'m"", 'sorry.i', ""'m"", 'not', 'stupid']"
[144.6800 - 150.7000],Ses05F_impro01_F017,ang,"[1.5000, 4.0000, 4.0000]","['is', 'not', 'there', 'anything', 'you', 'can', 'do', 'just', 'call', 'over', 'and', 'ask', 'them', 'if', 'i', 'can', 'go', 'to', 'the', 'front', 'of', 'the', 'line', 'in', 'the', 'other', 'line']"
[150.9500 - 152.5100],Ses05F_impro01_F018,ang,"[1.5000, 4.0000, 4.0000]","['why', 'not']"
[154.9600 - 159.5500],Ses05F_impro01_F019,fru,"[2.0000, 4.0000, 4.0000]","['except', 'they', 'are', 'going', 'tell', 'are', 'you', 'going', 'to', 'tell', 'me', 'the', 'right', 'line', 'to', 'stand', 'in', 'this', 'time', 'at', 'least']"
[160.0100 - 164.8200],Ses05F_impro01_F020,ang,"[2.0000, 3.0000, 4.0000]","['right', 'well', 'last', 'time', 'they', 'told', 'me', 'it', 'was', 'this', 'line', 'and', 'obviously', 'it', 'is', 'not', 'true']"
[167.2500 - 169.3800],Ses05F_impro01_F021,fru,"[2.0000, 3.0000, 3.5000]","['do', 'you', 'have', 'a', 'manager', 'i', 'could', 'speak', 'with']"
[171.7100 - 174.1300],Ses05F_impro01_F022,fru,"[2.0000, 3.0000, 3.5000]","['are', 'you', 'being', 'straight', 'with', 'me']"
[179.5200 - 181.6059],Ses05F_impro01_F023,fru,"[2.0000, 3.0000, 2.5000]",['fine']
[5.7800 - 14.7800],Ses05F_impro01_M000,neu,"[2.5000, 2.5000, 4.0000]","['ahh', 'yeah', 'this', 'is', 'the', 'wrong', 'line', 'i', ""'m"", 'sorry', 'you', 'need', 'to', 'go', 'back', 'over', 'to', 'line', 'two', 'b', 'that', 'is', 'where', 'you', 'should', 'have', 'started', 'from']"
[17.6400 - 24.1600],Ses05F_impro01_M001,xxx,"[2.5000, 3.0000, 3.5000]","['i', 'mean', 'there', ""'s"", 'really', 'nothing', 'i', 'can', 'do', 'for', 'you', 'in', 'this', 'line', 'this', 'is', 'not', 'the', 'line', 'for', 'new', 'i.d', 'this', 'is', 'the', 'line', 'for', 'registration']"
[26.6500 - 31.4800],Ses05F_impro01_M002,xxx,"[2.0000, 3.0000, 3.5000]","['yeah', 'i', 'understand', 'that', ""ma'am"", 'i', 'do', 'not', 'know', 'what', 'they', 'said', 'to', 'you', 'but', 'you', 'need', 'to', 'be', 'in', 'a', 'different', 'line']"
[34.1100 - 40.8800],Ses05F_impro01_M003,neu,"[2.0000, 4.0000, 3.5000]","['well', 'i', 'have', 'no', 'camera', 'here', 'i', 'can', 'not', 'help', 'you', 'at', 'all', 'here', ""ma'am"", 'i', 'have', 'forms', 'for', 'something', 'completely', 'different', 'you', 'need', 'to', 'go', 'to', 'a', 'different', 'place']"
[41.1100 - 44.3900],Ses05F_impro01_M004,fru,"[2.0000, 4.0000, 4.0000]","['simply', 'step', 'to', 'line', 'two', 'a', ""ma'am"", 'i', ""'m"", 'sorry']"
[44.4200 - 48.1600],Ses05F_impro01_M005,fru,"[2.0000, 4.0000, 4.0000]","['there', 'is', 'a', 'large', 'line', 'of', 'people', 'behind', 'you', 'waiting', 'to', 'be', '--']"
[52.1100 - 59.0900],Ses05F_impro01_M006,fru,"[2.0000, 3.5000, 4.5000]","['i', 'do', 'not', 'want', 'to', 'be', 'rude', 'here', ""ma'am"", 'but', 'line', 'two', 'b', 'is', 'where', 'you', 'need', 'to', 'be', 'this', 'is', 'the', 'line', 'for', 'registration']"
[67.6900 - 69.3400],Ses05F_impro01_M007,fru,"[2.0000, 3.0000, 3.0000]","['i', 'do', 'not', 'have', 'those-']"
[69.3700 - 74.3600],Ses05F_impro01_M008,fru,"[2.0000, 4.0000, 4.0000]","['i', 'do', 'not', 'have', 'those', 'forms', ""ma'am"", 'i', 'can', 'not', 'help', 'you', 'that', 'is', 'why', 'you', 'need', 'to', 'go', 'to', 'line', 'two', 'a']"
[76.1600 - 87.3000],Ses05F_impro01_M009,fru,"[1.5000, 3.5000, 4.0000]","[""ma'am"", 'obviously', 'i', 'have', 'no', 'idea', 'how', 'long', 'it', 'is', 'taking', 'there', 'seems', 'to', 'be', 'a', 'bit', 'of', 'a', 'line', 'there', 'it', 'looks', 'like', 'thirty', 'forty', 'people', 'it', 'could', 'take', 'four', 'to', 'five', 'hours', 'i', ""'m"", 'sorry']"
[87.6000 - 89.6000],Ses05F_impro01_M010,fru,"[2.5000, 3.5000, 3.5000]","['there', ""'s"", 'nothing', 'i', 'can', 'do', 'for', 'you', ""ma'am""]"
[91.3100 - 99.8800],Ses05F_impro01_M011,fru,"[1.5000, 3.5000, 4.5000]","['but', 'obviously', 'i', 'do', 'not', 'have', 'time', 'for', 'you', 'to', 'stand', 'here', 'and', 'waste', 'my', 'time', 'in', 'this', 'line', 'there', 'are', 'other', 'people', 'who', 'need', 'service', 'behind', 'you', 'who', 'are', 'waiting', 'for', 'the', 'right', 'things']"
[100.5200 - 110.6000],Ses05F_impro01_M012,fru,"[1.5000, 4.0000, 4.5000]","['i', 'am', 'a', 'very', 'compassionate', 'person', 'and', 'i', ""'m"", 'offended', 'that', 'you', 'imply', 'that', 'i', ""'m"", 'not', 'of', 'course', 'i', ""'m"", 'compassionate', 'look', 'i', 'work', 'in', 'the', 'd.m.v', '..', 'what', 'do', 'you', 'think', 'i', 'am', 'go', 'wait', 'in', 'line', 'two', 'a']"
[111.0800 - 118.4700],Ses05F_impro01_M013,fru,"[1.5000, 4.0000, 4.5000]","['do', 'not', 'ask', 'me', 'to', 'have', 'somebody', 'else', 'come', 'over', 'here', 'and', 'move', 'you', 'myself', 'i', 'can', 'not', 'come', 'back', 'over', 'there', 'i', ""'ll"", 'get', 'security', 'if', 'you', 'need', 'me', 'to']"
[127.9700 - 131.1100],Ses05F_impro01_M014,fru,"[2.0000, 4.0000, 4.0000]","['what', 'no', 'i', ""'m"", 'sure', 'they', 'did', 'not', 'tell', 'you', 'here']"
[132.1100 - 135.5000],Ses05F_impro01_M015,fru,"[2.0000, 3.5000, 4.0000]","['what', 'the', 'lady', 'what', 'the', 'janitor']"
