utterance_id,start_time,end_time,emotion,valence,arousal,dominance
Ses03M_impro08a_F000,10.7663,18.3382,negative,1.5,4,4.5
Ses03M_impro08a_F001,19.8763,26.9925,negative,2,3.5,4
Ses03M_impro08a_F002,27.0735,31.6225,negative,2,4.5,4
Ses03M_impro08a_F003,31.7275,36.8342,negative,1,4.5,4
Ses03M_impro08a_F004,41.3695,44.4061,neutral,2.5,2,2
Ses03M_impro08a_F005,45.9836,48.5076,negative,3.5,3,2.5
Ses03M_impro08a_F006,52.5302,61.8176,negative,1,4.5,4.5
Ses03M_impro08a_F007,61.8767,69.4487,negative,1,4.5,5
Ses03M_impro08a_F008,74.8318,81.19,negative,2,4,4.5
Ses03M_impro08a_F009,81.2225,92.2433,negative,1.5,5,5
Ses03M_impro08a_F010,94.6884,99.756,negative,1.5,3.5,4.5
Ses03M_impro08a_F011,99.9335,102.3589,negative,2,4,4.5
Ses03M_impro08a_F012,105.5533,110.1575,negative,2,4,4.5
Ses03M_impro08a_F013,110.2,117.8182,negative,1.5,4,4.5
Ses03M_impro08a_F014,118.4295,121.2295,negative,2,3.5,4
Ses03M_impro08a_F015,121.3084,126.2775,negative,1.5,3,5
Ses03M_impro08a_F016,132.0353,134.4212,negative,1.5,3.5,3.5
Ses03M_impro08a_F017,134.4804,137.0635,negative,2,3,4
Ses03M_impro08a_F018,138.8579,146.9819,negative,1,4.5,5
Ses03M_impro08a_F019,149.4664,152.4439,negative,1.5,3.5,4.5
Ses03M_impro08a_F020,154.2778,158.6553,negative,2,3.5,4.5
Ses03M_impro08a_F021,158.675,166.4244,negative,1.5,4.5,4.5
Ses03M_impro08a_F022,167.568,169.7174,negative,2,3,4
Ses03M_impro08a_F023,169.7568,173.6019,negative,1.5,3.5,4.5
Ses03M_impro08a_F024,180.0104,183.8753,negative,1.5,3,3.5
Ses03M_impro08a_F025,183.8875,188.0359,negative,1.5,4,4.5
Ses03M_impro08a_F026,188.5288,196.8895,negative,1.5,5,5
Ses03M_impro08a_F027,201.0304,207.7347,negative,2,4,4
Ses03M_impro08a_F028,209.884,215.3575,negative,1.5,3.5,4.5
Ses03M_impro08a_F029,218.1658,225.718,negative,2.5,4,4
Ses03M_impro08a_F030,225.7771,229.8392,negative,3,2.5,3
Ses03M_impro08a_F031,230.4899,239.5801,negative,2,5,4.5
Ses03M_impro08a_F032,239.6393,242.9323,negative,2,3.5,4.5
Ses03M_impro08a_F033,245.3971,248.907,negative,2.5,2.5,3.5
Ses03M_impro08a_F034,249.7746,262.7494,negative,1.5,4,4.5
Ses03M_impro08a_F035,266.4367,274.7974,negative,1.5,4,4.5
Ses03M_impro08a_M000,6.5663,11.4367,neutral,3,3,2.5
Ses03M_impro08a_M001,17.6481,20.8228,neutral,3,2,3
Ses03M_impro08a_M002,34.1722,42.0202,neutral,3,2.5,3.5
Ses03M_impro08a_M003,43.4794,46.8315,neutral,3,2.5,3
Ses03M_impro08a_M004,47.7977,53.2597,neutral,3,3.5,3.5
Ses03M_impro08a_M005,60.1218,62.9021,neutral,2.5,2.5,3
Ses03M_impro08a_M006,68.6402,77.553,neutral,2.5,2.5,3.5
Ses03M_impro08a_M007,87.7474,90.4292,neutral,3,2.5,3
Ses03M_impro08a_M008,91.0602,95.6349,neutral,3,2,3
Ses03M_impro08a_M009,98.8687,101.6293,neutral,3.5,3,2.5
Ses03M_impro08a_M010,101.7279,107.3871,neutral,3,3.5,3.5
Ses03M_impro08a_M011,116.221,122.3732,negative,2,3.5,3
Ses03M_impro08a_M012,125.5676,133.948,neutral,3,4,4
Ses03M_impro08a_M013,134.2043,140.4156,neutral,3,3,4
Ses03M_impro08a_M014,141.8945,144.4579,negative,2.5,3,3
Ses03M_impro08a_M015,144.5565,150.0974,negative,2,3,4
Ses03M_impro08a_M016,151.3989,157.4327,neutral,2,3,3.5
Ses03M_impro08a_M017,162.1454,164.3145,neutral,3,2,2.5
Ses03M_impro08a_M018,165.8131,170.0329,neutral,2.5,2.5,3
Ses03M_impro08a_M019,171.3737,181.1935,neutral,3,3,3.5
Ses03M_impro08a_M020,185.9851,190.8753,neutral,2,3,3.5
Ses03M_impro08a_M021,196.2388,203.5544,neutral,3,3,4
Ses03M_impro08a_M022,206.9065,211.1854,neutral,2.5,2,3
Ses03M_impro08a_M023,214.8728,218.8559,neutral,2.5,3,3.5
Ses03M_impro08a_M024,227.9067,231.1406,neutral,3,3.5,2.5
Ses03M_impro08a_M025,242.3999,246.0675,neutral,3,3.5,3
Ses03M_impro08a_M026,247.9999,250.6619,neutral,3,2,3
Ses03M_impro08a_M027,261.2113,268.4283,neutral,2.5,2.5,4
