% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[5.4800 - 6.7000],Ses05M_impro07_F000,exc,"[4.0000, 3.0000, 2.0000]","['What', '?']"
[8.3300 - 9.6900],Ses05M_impro07_F001,exc,"[4.0000, 3.5000, 2.0000]","['Oh', ',', 'for', 'real', '?']"
[9.7000 - 11.2200],Ses05M_impro07_F002,xxx,"[4.0000, 2.5000, 2.0000]","['That', 'is', 'awesome', '!']"
[11.3500 - 13.6000],Ses05M_impro07_F003,exc,"[4.5000, 2.5000, 2.0000]","['oh', ',', 'I', ""'m"", 'so', 'glad', '.']"
[13.9900 - 15.7900],Ses05M_impro07_F004,hap,"[4.0000, 3.0000, 2.0000]","['What', 'are', 'you', 'gon', 'na', 'study', '?']"
[16.3800 - 18.9800],Ses05M_impro07_F005,hap,"[4.0000, 3.0000, 2.5000]","['Really', '?', 'Are', 'you', 'doing', 'the', 'M.F.A', '.', 'program', '?']"
[18.9900 - 20.8200],Ses05M_impro07_F006,xxx,"[4.0000, 3.5000, 2.0000]","['Oh', ',', 'my', 'gosh', '.']"
[20.8300 - 23.4200],Ses05M_impro07_F007,hap,"[4.0000, 3.0000, 2.5000]","['I', 'heard', 'it', 'is', 'so', 'tough', 'to', 'get', 'into', '.']"
[26.5900 - 28.3300],Ses05M_impro07_F008,hap,"[4.0000, 2.5000, 2.5000]","['That', 'is', 'awesome', '.']"
[29.3000 - 31.2600],Ses05M_impro07_F009,exc,"[4.0000, 2.0000, 2.0000]","['Yeah', ',', 'that', 'is', 'awesome', '.']"
[32.1000 - 33.3300],Ses05M_impro07_F010,neu,"[4.0000, 2.0000, 2.5000]","['No', '.']"
[37.6200 - 41.0500],Ses05M_impro07_F011,exc,"[4.0000, 3.0000, 2.5000]","['Uh', 'huh', '.', 'Yes', ',', 'seriously', ',', 'for', 'years', '.']"
[45.3500 - 50.1800],Ses05M_impro07_F012,exc,"[4.0000, 3.5000, 2.5000]","['I', 'know', '.', 'I', 'know', '.', ""I'm-"", 'I', ""'m"", 'definitely', '--', 'I', 'realize', '[', 'LAUGHTER', ']', '.']"
[51.2900 - 55.9000],Ses05M_impro07_F013,hap,"[4.0000, 2.5000, 2.0000]","['Um-', 'I', ""'m"", 'gon', 'na', 'be', 'studying', 'at', 'U.S.C.', ',', 'too', '.']"
[57.6600 - 63.5900],Ses05M_impro07_F014,xxx,"[3.5000, 2.5000, 2.5000]","['Not', 'on', 'campus', ',', 'but', 'um-', 'I', 'probably', 'will', 'not', 'live', 'too', 'far', '.', 'Maybe', ',', 'I', 'do', 'not', 'know', ',', 'I', 'might', 'go', 'to', 'Silver', 'Lake', 'or', 'something', '.']"
[63.9800 - 66.8800],Ses05M_impro07_F015,exc,"[4.0000, 3.0000, 2.5000]","['Yeah', '.', 'Totally-', 'Well', 'where', 'are', 'you', 'going', 'to', 'live', '?']"
[67.6700 - 68.9500],Ses05M_impro07_F016,neu,"[4.0000, 2.0000, 2.0000]","['Oh', 'yeah', '.']"
[70.4300 - 71.8400],Ses05M_impro07_F017,neu,"[4.0000, 1.5000, 2.0000]","['Good', 'tradeoff']"
[75.7300 - 77.8400],Ses05M_impro07_F018,neu,"[3.5000, 3.0000, 2.5000]","['I', 'do', 'not-', 'I', 'do', 'not', 'think', 'it', 'is', 'that', 'bad', '.']"
[83.1200 - 84.1900],Ses05M_impro07_F019,neu,"[3.5000, 1.5000, 2.0000]","['yeah', '.']"
[85.0200 - 93.7100],Ses05M_impro07_F020,neu,"[3.0000, 3.0000, 2.5000]","['Yeah', '.', 'I', 'think', 'it', 'is', 'really', 'also', 'if', 'you-', 'if', 'you', 'consider', 'yourself', 'like', ',', 'us', 'and', 'them', ',', 'kind', 'of', 'thing-', 'If', 'you', 'think', 'you', ""'re"", 'part', 'of', 'your', 'community', 'then', '--', 'you', 'going', 'to', 'like', 'it', 'more']"
[93.8500 - 95.7400],Ses05M_impro07_F021,exc,"[3.5000, 3.0000, 2.5000]","['Right', ',', 'Exactly', '.']"
