% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.1063 - 8.8600],Ses05M_script01_1b_F000,sad,"[2.5000, 2.5000, 2.5000]","['what', 'is', 'he', 'going', 'to', 'say', 'maybe', 'we', 'ought', 'to', 'tell', 'him', 'before', 'he', 'sees', 'it']"
[10.6000 - 13.7700],Ses05M_script01_1b_F001,sur,"[2.0000, 3.0000, 3.0000]","['what', 'do', 'you', 'mean', 'i', 'was', 'the', 'first', 'one', 'up', 'he', 'was', 'still', 'in', 'bed']"
[15.1200 - 17.0200],Ses05M_script01_1b_F002,xxx,"[2.0000, 2.0000, 2.5000]",['when']
[25.3400 - 28.8700],Ses05M_script01_1b_F003,xxx,"[2.0000, 2.0000, 3.0000]","['what', 'was', 'he', 'doing', 'out', 'here', 'four', 'in', 'the', 'morning']"
[35.9800 - 38.5900],Ses05M_script01_1b_F004,xxx,"[2.0000, 2.0000, 2.5000]","['did', 'you', 'talk', 'to', 'him']"
[45.2500 - 55.0200],Ses05M_script01_1b_F005,xxx,"[2.0000, 2.0000, 3.5000]","['he', 'is', 'dreaming', 'about', 'him', 'again', 'he', 'is', 'getting', 'just', 'like', 'after', 'larry', 'died', 'what', 'is', 'the', 'meaning', 'of', 'that']"
[62.4100 - 64.0300],Ses05M_script01_1b_F006,xxx,"[2.0000, 2.5000, 3.0000]",['what']
[68.6400 - 70.8400],Ses05M_script01_1b_F007,xxx,"[2.0000, 2.0000, 3.0000]","['what', 'do', 'you', 'mean', 'dishonest']"
[78.8200 - 81.5800],Ses05M_script01_1b_F008,xxx,"[2.0000, 2.5000, 3.5000]","['what', 'are', 'you', 'gon', 'na', 'do', 'argue', 'with', 'him']"
[97.6800 - 100.1200],Ses05M_script01_1b_F009,xxx,"[2.0000, 3.0000, 3.5000]","['well', 'how', 'are', 'you', 'gon', 'na', 'prove', 'it', 'can', 'you', 'prove', 'it']"
[105.6000 - 110.7000],Ses05M_script01_1b_F010,xxx,"[2.5000, 2.5000, 3.0000]","['to', 'you', 'it', 'is', 'and', 'to', 'me', 'but', 'not', 'to', 'him']"
[111.4100 - 116.9200],Ses05M_script01_1b_F011,xxx,"[2.0000, 3.0000, 3.5000]","['you', 'can', 'talk', 'yourself', 'blue', 'in', 'the', 'face', 'but', 'there', 'no', 'body', 'and', 'there', 'no', 'grave', 'so', 'where', 'are', 'you']"
