% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[1.9734 - 3.7200],Ses05F_impro08_F000,neu,"[3.0000, 1.5000, 2.5000]","['Hi', ',', 'sir', '.', 'How', 'can', 'I', 'help', 'you', '?']"
[17.7300 - 18.8800],Ses05F_impro08_F001,neu,"[3.0000, 2.5000, 1.5000]","['Okay', '.']"
[27.8600 - 32.3100],Ses05F_impro08_F002,neu,"[4.0000, 2.0000, 2.0000]","['[', 'LAUGHTER', ']', 'All', 'right', '.', 'I', ""'m"", 'sorry', ',', 'sir', 'that', 'you', 'have', 'been', 'having', 'a', 'hard', 'time', '.']"
[36.6100 - 39.3400],Ses05F_impro08_F003,neu,"[3.5000, 2.5000, 2.5000]","['I', 'kwon', ',', 'it', 'is', 'ridiculous']"
[39.3700 - 41.5700],Ses05F_impro08_F004,neu,"[3.5000, 2.0000, 2.5000]","['yeah', ',', 'I', 'understand', '.']"
[42.1200 - 45.6600],Ses05F_impro08_F005,neu,"[3.0000, 2.5000, 2.0000]","['Uh-', 'when', ""'s"", ""when's-""]"
[47.2000 - 48.4000],Ses05F_impro08_F006,fru,"[3.5000, 3.5000, 2.0000]",['Sir-']
[48.7300 - 61.7700],Ses05F_impro08_F007,neu,"[3.5000, 2.0000, 2.5000]","['If', 'yeah', ',', 'well', 'if', 'you', 'just', 'slow', 'down', 'we', ""'ll"", 'um', ',', 'we', ""'ll"", 'definitely', 'have', 'your', 'problem', 'solved', 'and', 'after', 'we', 'have', 'your', 'problem', 'solved', ',', 'then', 'I', 'can', 'transfer', 'you', 'to', 'a', 'manager', ',', 'someone', 'who', 'can', 'you', 'know', ',', 'you', 'can', 'voice', 'your', 'complaint', 'to', ',', 'who', 'will', 'be', 'able', 'to', 'something', 'about', 'it', '.']"
[66.1500 - 73.3500],Ses05F_impro08_F008,neu,"[3.0000, 2.5000, 2.5000]","['Okay', ',', 'so', 'where', '?', ',', 'okay', ',', 'all', 'right', ',', 'so', 'where', 'did', 'you', 'uh-', 'locate', 'your', 'your', 'bill', '?']"
[74.0800 - 74.8600],Ses05F_impro08_F009,neu,"[3.0000, 2.5000, 2.5000]","['In', 'the', 'mail', '?']"
[75.3700 - 82.2800],Ses05F_impro08_F010,neu,"[3.0000, 2.5000, 2.5000]","['So', 'is', 'it', ',', 'is-', 'is', 'it', 'at', 'all', 'possible', 'that', 'maybe', 'this', 'statement', 'is', 'just', 'old', 'and', 'that', 'the', 'transaction', 'had', 'not', 'been', 'processed', 'yet', '?']"
[85.6300 - 86.7700],Ses05F_impro08_F011,neu,"[3.0000, 2.5000, 2.0000]","['Okay', '.']"
[90.8100 - 92.0700],Ses05F_impro08_F012,neu,"[3.0000, 1.5000, 2.0000]","['Okay', '.']"
[93.7400 - 95.2500],Ses05F_impro08_F013,xxx,"[3.0000, 2.5000, 2.0000]","['All', 'right', '.', 'I-']"
[95.3500 - 100.5500],Ses05F_impro08_F014,neu,"[3.0000, 2.0000, 2.5000]","['Okay', 'so', ',', 'I', ""'ll"", 'just', 'look', 'it', 'up', 'and', 'you', 'know', 'see', 'what', 'is', 'going', 'on', ',', 'maybe', 'we', 'can', '...']"
[100.6300 - 102.8100],Ses05F_impro08_F015,neu,"[3.0000, 2.0000, 2.5000]","['if', 'I', 'call', 'it', 'up', 'on', 'the', 'screen', '.']"
[103.6200 - 118.6600],Ses05F_impro08_F016,neu,"[3.0000, 2.5000, 2.5000]","['So', 'in', 'the', 'database', ',', 'it', 'looks', 'as', 'though', 'um', ',', 'there', 'is', 'a', 'there', 'is', 'like', 'a', 'glitch', 'in', 'the', 'transaction', 'where', 'it', 'had', 'not', 'gone', 'through', 'before', ',', 'but', 'I', 'do', 'see', 'that', 'you', 'paid', 'the', ',', 'what', 'can', 'you', 'tell', 'me', 'the', 'amount', ',', 'what', 'was', 'the', 'amount', '?']"
[120.0700 - 130.0000],Ses05F_impro08_F017,neu,"[3.0000, 2.5000, 2.5000]","['Okay', ',', 'I', 'do', 'see', 'that', 'on', 'here', ',', 'and', 'it', 'says', 'that', 'um', ',', 'it', 'had', 'some', 'trouble', 'clearing', 'for', 'some', 'reason', '.', 'And', 'I', 'think', 'that', 'was', 'the', 'problem', 'on', 'our', 'end', '.', 'So', 'um-']"
[132.9700 - 139.0500],Ses05F_impro08_F018,neu,"[3.0000, 2.0000, 2.5000]","['Well', 'you', 'know', 'sometimes', '--', 'just', 'with', 'online', 'transactions', ',', 'things', 'happens', '.', 'so', 'um-']"
[139.1400 - 145.4300],Ses05F_impro08_F019,neu,"[3.0000, 2.0000, 2.5000]","['Yeah', ',', 'we-', 'Somebody', 'went', 'in', 'and-', 'and', 'cleared', 'the', 'problem', 'and', 'it', 'looks', 'like', 'you', ""'re"", 'all', 'paid', '.']"
[145.4500 - 150.4800],Ses05F_impro08_F020,neu,"[3.0000, 2.0000, 2.5000]","['You', 'do', 'the', 'direct', 'the', 'direct', 'it', 'um-', 'it', 'is', 'taking', 'right', 'out', 'of', 'your', 'bank', 'account', ',', 'correct', '?']"
[150.5100 - 152.5700],Ses05F_impro08_F021,neu,"[3.0000, 2.5000, 2.5000]","['Yeah', 'so-', 'That', '--', 'that', 'did', 'go', 'through', '.']"
[154.4400 - 160.1800],Ses05F_impro08_F022,neu,"[3.0000, 2.5000, 2.5000]","['Um-', 'I', 'can', 'try', 'to', 'do', 'that', 'for', 'you', ',', 'certainly', '.']"
[161.2500 - 180.3200],Ses05F_impro08_F023,neu,"[3.0000, 2.0000, 2.5000]","['Right', ',', 'right', ',', 'and', 'since', '--', 'yeah', ',', 'since', 'it', 'was', 'just', 'a', 'computer', 'glitch', ',', 'then', 'that', 'is', 'that', 'should', 'be', 'cleared', 'up', 'as', 'well', '.', 'So', 'I', ""'m"", 'going', 'to', 'go', 'ahead', 'and', 'try', 'and', 'put', 'that', 'into', 'the', 'computer', '.', 'And', 'if', 'for', 'some', 'reason', 'you', 'notice', 'on', 'your', 'statement', 'in', 'a', 'few', 'days', 'that', 'you', 'have', 'been', 'charged', 'and', 'an', 'overdue', 'fee', ',', 'then', 'you', 'should', 'just', 'call', 'back', 'and', 'we', ""'ll"", 'have', 'that', '.']"
[182.6200 - 188.2700],Ses05F_impro08_F024,neu,"[3.0000, 3.0000, 2.5000]","['Well', 'I', ""'ll"", 'give', 'you', 'my', 'direct', 'line', 'and', 'my', 'number', 'so', 'you', 'can-', 'you', 'can', 'get', 'directly', 'to', 'me', '.']"
[188.5000 - 189.5300],Ses05F_impro08_F025,neu,"[3.0000, 2.5000, 2.5000]","['yeah', '.']"
[191.5400 - 192.8900],Ses05F_impro08_F026,neu,"[3.5000, 2.0000, 2.5000]","['No', 'problem', '.']"
[193.5800 - 196.7500],Ses05F_impro08_F027,neu,"[3.0000, 2.5000, 2.5000]","['ahh', 'one', 'eight', 'hundred', 'three', 'two', 'three']"
[197.0600 - 198.8600],Ses05F_impro08_F028,neu,"[3.0000, 2.5000, 2.0000]","['six', 'four', 'nine', 'four']"
[202.9800 - 204.1900],Ses05F_impro08_F029,neu,"[3.5000, 2.0000, 2.0000]","['You', ""'re"", 'welcome']"
[204.4300 - 206.6300],Ses05F_impro08_F030,neu,"[3.0000, 2.0000, 2.5000]","['I', ""'m"", 'sorry', 'that', 'it', 'was', 'an', 'inconvenience', '.']"
[208.5300 - 209.8300],Ses05F_impro08_F031,xxx,"[3.5000, 2.0000, 2.5000]","['I', 'am', 'glad', '.']"
[209.8600 - 211.3600],Ses05F_impro08_F032,neu,"[4.0000, 2.5000, 2.5000]","['Have', 'a', 'good', 'day', '.']"
[213.1700 - 214.5500],Ses05F_impro08_F033,neu,"[4.0000, 2.0000, 2.0000]","['bye', 'bye']"
[3.2000 - 10.1300],Ses05F_impro08_M000,fru,"[3.0000, 4.5000, 3.0000]","['Oh', ',', 'thank', 'God', '.', 'Do', 'you', 'know', 'how', 'long', 'I', ""'ve"", 'been', 'on', 'the', 'phone', 'for', 'half', 'an', 'hour', 'trying', 'to', 'talk', 'to', 'a', 'freaking', 'human', 'being', '.']"
