% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[7.8200 - 9.4300],Ses05M_script02_2_F000,neu,"[3.0000, 2.0000, 2.0000]","['About', 'what', '?']"
[11.2000 - 12.6600],Ses05M_script02_2_F001,neu,"[2.6667, 2.0000, 2.0000]","['It', 'is', 'ridiculous', '.']"
[17.1200 - 23.4300],Ses05M_script02_2_F002,xxx,"[2.3333, 3.0000, 3.0000]","['It', 'is', 'P.R', '.', 'somebody', 'sold', 'you', 'a', 'bill', 'of', 'goods', 'that', 'this', 'magical', 'thing', 'would', 'be', 'happening', 'on', 'the', 'beach', '.']"
[24.6500 - 35.7400],Ses05M_script02_2_F003,xxx,"[2.3333, 3.3333, 3.3333]","['Sure', '.', 'Everybody', 'is', 'told', 'the', 'same', 'thing', ',', 'it', 'keeps', 'us', 'all', 'excited', '.', 'It', 'keeps', 'us', 'all', 'coming', 'back', 'for', 'more', '.', 'It', 'keeps', 'us', 'thinking', 'that', 'life', 'is', 'gon', 'na', 'start', 'now', 'any', 'minute', 'if', 'we', 'can', 'just', 'find', 'the', 'right', 'spot', 'and', 'get', 'in', 'on', 'the', 'action', '.']"
[38.0000 - 41.5400],Ses05M_script02_2_F004,fru,"[2.0000, 3.6667, 2.6667]","['I', ""'m"", 'sorry', '.', 'It', 'is', 'just', ',', 'it', 'is', 'it', 'is', 'just', 'fish', 'to', 'me', '.']"
[50.0600 - 57.1200],Ses05M_script02_2_F005,ang,"[1.6667, 4.3333, 3.6667]","['God', 'damn', 'it', ',', 'Augie', '.', 'Seriously', ',', 'you', 'always', 'ask', 'me', 'that', '.', 'Why', 'do', 'you', 'ask', 'me', 'that', '?', 'I', 'hate', 'it', '.', 'It', 'is', 'so', 'insulting', '.']"
[57.8100 - 62.0700],Ses05M_script02_2_F006,fru,"[2.0000, 3.6667, 2.6667]","['I', 'just', '-', 'We', 'just', 'have', 'different', 'ideas', 'of', 'what', 'this', 'night', 'is', 'suppose', 'to', 'look', 'like', '.']"
[71.0300 - 76.1700],Ses05M_script02_2_F007,xxx,"[2.0000, 3.3333, 2.6667]","['For', 'God', ""'s"", 'sake', ',', 'Augie', '.', 'It', 'is-', 'Grow', 'up', ',', 'we', ""'re"", 'not', 'going', 'to', 'see', 'the', 'grunion', '.']"
[77.3900 - 80.1500],Ses05M_script02_2_F008,fru,"[2.3333, 2.6667, 2.6667]","['We', 'We', 'do', 'not', 'ever', '.', 'Have', 'we', 'ever', '?']"
[82.3800 - 84.8600],Ses05M_script02_2_F009,ang,"[2.3333, 3.3333, 3.0000]","['Twice', 'is', 'every', 'time', 'we', 'have', 'tried', ',', 'that', 'is', 'ever']"
[85.5100 - 102.0000],Ses05M_script02_2_F010,ang,"[1.6667, 4.0000, 4.0000]","['No', ',', 'we', 'will', 'not', '.', 'It', 'is', 'like', 'waiting', 'up', 'for', 'Santa', 'Clause', 'or', 'something', '.', 'I', 'feel', 'like', 'as', 'though', 'my', 'whole', 'life', 'is', 'going', 'to', 'be', 'standing', 'on', 'the', 'beach', 'waiting', 'with', 'my', 'eyes', 'opened', 'expectantly', ',', 'my', 'hands', 'clasped', 'neatly', 'in', 'front', 'of', 'me', ',', 'waiting', 'for', 'fish', 'to', 'show', 'up', '.', 'And', 'the', 'fish', 'will', 'not', 'show', 'up', '.']"
[104.9000 - 107.0600],Ses05M_script02_2_F011,fru,"[2.3333, 3.0000, 3.0000]","['You', 'do', 'not', 'understand', 'anything', 'I', 'am', 'saying', '.']"
[110.1400 - 118.0900],Ses05M_script02_2_F012,sad,"[2.0000, 2.6667, 2.3333]","['I', 'did', 'want', 'to', 'see', 'it', '.', 'I', 'always', 'want', 'to', 'see', 'it', '.', 'I', 'just-', 'I', 'keep', 'thinking', 'this', 'will', 'be', 'the', 'time', 'and', 'it', 'never', 'is', '.']"
[150.4300 - 182.3400],Ses05M_script02_2_F013,sad,"[2.3333, 2.3333, 2.6667]","['Do', 'you', 'remember', 'the', 'first', 'time', 'that', 'we', 'came', 'to', 'see', 'the', 'grunion', '?', 'It', 'was', 'about', 'four', 'years', 'ago', 'right', 'after', 'we', 'got', 'married', '.', 'We', 'thought', 'I', 'was', 'pregnant', '.', 'We', 'had', 'a', 'bottle', 'of', 'champagne', 'and', 'no', 'glasses', '.', 'You', 'asked', 'me', 'to', 'dance', '.', 'We', 'took', 'off', 'our', 'shoes', '.', 'And', 'while', 'we', 'were', 'dancing', 'you', 'said', 'the', 'most', 'intimate', 'things', 'to', 'me', 'right', 'in', 'my', 'ear', 'so', 'I', 'could', 'feel', 'them', 'as', 'much', 'as', 'hear', 'them', '.']"
