utterance_id,start_time,end_time,emotion,valence,arousal,dominance
Ses02F_impro05_F000,4.1392,7.7911,neutral,3.5,3,2.5
Ses02F_impro05_F001,11.43,18.72,neutral,3,3,2.5
Ses02F_impro05_F002,26.75,29.37,negative,2,2.5,2.5
Ses02F_impro05_F003,35.2,39.8027,negative,2.5,3.5,3
Ses02F_impro05_F004,52.65,54.11,neutral,3,2.5,2.5
Ses02F_impro05_F005,59.06,74.78,negative,1.5,4,4
Ses02F_impro05_F006,82.29,90.68,negative,2,4.5,4
Ses02F_impro05_F007,95.42,101.5979,negative,2.5,4,4
Ses02F_impro05_F008,109.53,115.69,negative,1.5,4,3
Ses02F_impro05_F009,115.72,120.15,negative,1.5,4,2.5
Ses02F_impro05_F010,121.61,124.57,negative,2,4,3.5
Ses02F_impro05_F011,130.42,132.35,negative,2.5,3,3
Ses02F_impro05_F012,138.64,148.6,negative,1.5,4.5,4
Ses02F_impro05_F013,163.63,176.7571,negative,2,3.5,3.5
Ses02F_impro05_F014,179.54,182.65,negative,1.5,3.5,3
Ses02F_impro05_F015,189.56,192.51,negative,2,2.5,3.5
Ses02F_impro05_F016,194.0678,206.9469,negative,1.5,3.5,3.5
Ses02F_impro05_F017,217.09,224.4595,negative,2,3.5,3.5
Ses02F_impro05_F018,225.49,227.94,negative,2,2.5,4
Ses02F_impro05_F019,241.32,247.38,negative,2,3.5,4
Ses02F_impro05_F020,265.71,268.34,negative,2.5,2.5,3
Ses02F_impro05_F021,270.81,271.98,negative,2.5,2,2
Ses02F_impro05_F022,274.01,276.5639,negative,2.5,3,3
Ses02F_impro05_M000,8.3,12.93,neutral,3,2.5,2
Ses02F_impro05_M001,18.77,27.35,neutral,3,2.5,2.5
Ses02F_impro05_M002,29.42,35.95,neutral,3,2.5,2
Ses02F_impro05_M003,39.82,47.17,neutral,3,2.5,2.5
Ses02F_impro05_M004,47.18,54.43,neutral,3.5,2.5,2.5
Ses02F_impro05_M005,54.52,58.9138,neutral,3,2.5,1.5
Ses02F_impro05_M006,74.43,84.45,neutral,3,2.5,2.5
Ses02F_impro05_M007,90.77,97.63,neutral,2.5,3,2.5
Ses02F_impro05_M008,101.6919,109.68,neutral,2.5,2.5,2.5
Ses02F_impro05_M009,118.1619,122.1723,neutral,2.5,3,2
Ses02F_impro05_M010,124.06,131.2021,neutral,2.5,2.5,3
Ses02F_impro05_M011,132.543,140.2,neutral,2.5,3,2.5
Ses02F_impro05_M012,147.74,164.39,neutral,2.5,3,3.5
Ses02F_impro05_M013,176.48,180.5,neutral,2.5,2,2.5
Ses02F_impro05_M014,182.6,189.65,neutral,2.5,3,3
Ses02F_impro05_M015,189.66,191.54,neutral,2.5,2.5,1.5
Ses02F_impro05_M016,205.22,217.07,neutral,2.5,3.5,3.5
Ses02F_impro05_M017,217.08,220.45,neutral,2.5,3,3
Ses02F_impro05_M018,224.51,226.28,neutral,2.5,3,3
Ses02F_impro05_M019,227.81,242.31,neutral,3,2.5,3
Ses02F_impro05_M020,248.0522,265.9529,neutral,2.5,3,3.5
Ses02F_impro05_M021,268.5221,274.21,neutral,2.5,2.5,2.5
