% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.9419 - 5.5500],Ses05M_impro01_F000,neu,"[3.0000, 2.5000, 2.5000]","['can', 'i', 'help', 'you']"
[9.7900 - 19.0800],Ses05M_impro01_F001,neu,"[3.0000, 2.5000, 3.0000]","['oh', 'this-', 'this', 'form', 'that', 'you', 'have', 'is', 'the', 'wrong', 'form', 'you', 'need', 'to', 'go', 'over', 'to', 'the', 'other', 'line', 'on', 'the', 'other', 'side', 'of', 'the', 'd.m.v', '..']"
[21.8200 - 25.7400],Ses05M_impro01_F002,neu,"[3.0000, 3.0000, 3.0000]","['right', 'but', 'this', 'is', 'the', 'wrong', 'form', 'somebody', 'gave', 'you', 'the', 'wrong', 'form']"
[25.9700 - 28.7700],Ses05M_impro01_F003,neu,"[3.0000, 2.5000, 3.0000]","['yeah', 'so', 'i', 'can', 'not', '--', 'i', 'can', 'not', 'do', 'anything-']"
[30.5800 - 37.7100],Ses05M_impro01_F004,neu,"[3.0000, 3.0000, 3.0000]","['no', 'but', 'this', 'is', 'for', 'um-', 'replacements', 'and', 'you', 'need', 'a', 'new', '--', 'whole', 'new', 'license', 'as', 'a', 'california', '--']"
[39.6500 - 42.4300],Ses05M_impro01_F005,fru,"[2.5000, 2.5000, 3.5000]","['sir', 'do', 'not', 'get', 'an', 'attitude', 'with', 'me']"
[45.1800 - 55.9300],Ses05M_impro01_F006,neu,"[2.5000, 3.5000, 4.0000]","['no', 'i', 'understand', 'and', 'there', 'are', 'a', 'lot', 'of', 'people', 'here', 'but', 'what', 'i', ""'m"", 'telling', 'you', 'is', 'that', 'it', 'is', 'different', 'for', 'different', 'states', 'and', 'since', 'your', 'getting', 'a', 'new', 'license', 'in', 'the', 'state', 'of', 'california', '--', 'you', 'have', 'to', 'fill', 'out', 'a', 'different', 'form', 'than', 'you', 'did']"
[60.2600 - 63.4300],Ses05M_impro01_F007,fru,"[2.0000, 3.0000, 3.0000]","['i', 'do', 'not', 'know', 'i', 'do', 'not', 'know', 'who', 'told', 'you', 'it', 'was', 'not', 'me']"
[66.1000 - 70.3800],Ses05M_impro01_F008,fru,"[2.5000, 3.0000, 3.5000]","['you-', 'you', 'can', 'ask', 'her', 'if', 'you', 'want', 'but', 'she', 'is', 'busy', 'and', 'she', 'probably', 'will', 'not', 'answer', 'you']"
[73.0300 - 74.4200],Ses05M_impro01_F009,neu,"[2.5000, 3.0000, 2.5000]","['i', 'know']"
[74.4300 - 76.7300],Ses05M_impro01_F010,fru,"[3.0000, 2.0000, 2.5000]","['sir', 'you-', 'i', 'mean']"
[77.8100 - 80.1400],Ses05M_impro01_F011,fru,"[2.5000, 3.5000, 3.5000]","['you', 'can', 'waist', 'as', 'much', 'as', 'you', 'want']"
[80.1500 - 83.7500],Ses05M_impro01_F012,neu,"[2.5000, 3.0000, 3.0000]","['yeah', 'i', 'know', 'it', 'is', 'gon', 'na', 'take', 'a', 'minute', 'but', 'you', '--', 'so', 'you', 'might', 'as', 'well', 'get', 'started', 'now']"
[85.8300 - 89.2300],Ses05M_impro01_F013,fru,"[1.5000, 3.5000, 3.5000]","['i', 'can', 'not', 'take', 'this', 'one', 'sir', 'this', 'is', 'the', 'wrong', 'form']"
[94.4000 - 97.0300],Ses05M_impro01_F014,fru,"[1.5000, 2.5000, 3.0000]","['sir', 'please', 'do', 'not', 'waste', 'my', 'time']"
[97.6000 - 103.3300],Ses05M_impro01_F015,fru,"[2.5000, 3.0000, 3.5000]","['there', 'is', 'nothing', 'i', 'can', 'do', 'about', 'it', 'you', 'need', 'to', 'take', 'this', 'other', 'form', 'and', 'fill', 'it', 'out', 'and', 'go', 'stand', 'in', 'the', 'other', 'line']"
[106.9700 - 110.5800],Ses05M_impro01_F016,fru,"[2.0000, 2.5000, 3.0000]","['they', 'are', 'different', 'forms', 'we', 'process', 'them', 'all', 'different-']"
[114.5400 - 117.3100],Ses05M_impro01_F017,fru,"[2.5000, 3.0000, 3.5000]","['i', '--', 'there', ""'s"", 'no', 'way', 'i', ""'d"", 'make', 'an', 'exception']"
[117.6100 - 123.9600],Ses05M_impro01_F018,fru,"[2.0000, 3.5000, 3.5000]","['sir', 'do', 'not', 'patronize', 'me', 'i', 'can', 'not', 'make', 'an', 'exception', 'i', 'do', 'not-', 'i', 'do', 'not', 'have', 'the', 'power', 'to', 'do', 'that', 'it', 'is', 'a', 'different', 'form']"
[124.0000 - 126.8700],Ses05M_impro01_F019,fru,"[2.5000, 3.5000, 3.0000]","['they', 'are', 'processed', 'differently']"
