% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[4.4900 - 7.2200],Ses05F_script01_2_F000,xxx,"[2.5000, 2.5000, 2.5000]","['Why', 'did', 'you', 'invite', 'her', 'here']"
[9.3700 - 13.3300],Ses05F_script01_2_F001,neu,"[2.5000, 2.5000, 3.0000]","['She', 'is', 'been', 'in', 'New', 'York', 'three', 'and', 'a', 'half', 'years', 'Why', 'all', 'of', 'the', 'sudden']"
[16.7800 - 19.8800],Ses05F_script01_2_F002,xxx,"[2.0000, 2.5000, 3.0000]","['Nobody', 'comes', 'seven', 'hundred', 'miles', 'just', 'to', 'see']"
[29.5700 - 32.1300],Ses05F_script01_2_F003,xxx,"[2.0000, 2.0000, 2.5000]","['He', 'is', 'not', 'going', 'to', 'marry', 'her']"
[33.0100 - 35.0100],Ses05F_script01_2_F004,xxx,"[2.5000, 3.5000, 2.5000]","['It', 'is', 'got', 'that', 'about', 'it']"
[38.4700 - 40.6800],Ses05F_script01_2_F005,fru,"[2.0000, 3.0000, 4.0000]","['What', 'is', 'going', 'on', 'here', 'Joe']"
[47.9200 - 50.4500],Ses05F_script01_2_F006,ang,"[2.0000, 3.5000, 3.5000]","['She', 'is', 'not', 'his', 'girl', 'She', 'knows', 'she', 'is', 'not']"
[52.1900 - 61.8200],Ses05F_script01_2_F007,fru,"[1.5000, 3.5000, 3.5000]","['She', 'is', 'Then', 'why', 'is', 'she', 'still', 'single', 'New', 'York', 'is', 'full', 'of', 'men', 'why', 'is', 'not', 'she', 'married', 'Probably', 'a', 'hundred', 'people', 'told', 'her', 'she', 'is', 'foolish', 'but', 'she', 'is', 'waited']"
[63.4600 - 71.2600],Ses05F_script01_2_F008,fru,"[2.5000, 3.0000, 4.5000]","['Because', 'she', 'knows', 'what', 'I', 'know', 'she', 'is', 'faithful', 'as', 'a', 'rock', 'and', 'my', 'worst', 'moments', 'I', 'think', 'of', 'her', 'waiting', 'and', 'I', 'know', 'again', 'that', 'I', ""'m"", 'right']"
[78.7300 - 86.9200],Ses05F_script01_2_F009,fru,"[2.0000, 3.5000, 4.0000]","['Nobody', 'in', 'her-', 'this', 'house', 'dares', 'shake', 'her', 'faith', 'Strangers', 'might', 'but', 'not', 'his', 'father', 'and', 'not', 'his', 'brother']"
[87.9900 - 91.1800],Ses05F_script01_2_F010,ang,"[1.5000, 4.0000, 4.5000]","['I', 'want', 'you', 'to', 'pretend', 'like', 'he', 'is', 'coming', 'back']"
[97.1700 - 100.4800],Ses05F_script01_2_F011,ang,"[1.5000, 3.5000, 4.0000]","['Because', 'if', 'he', 'is', 'not', 'coming', 'back', 'then', 'I', ""'ll"", 'kill', 'myself']"
[100.8700 - 109.0700],Ses05F_script01_2_F012,ang,"[1.5000, 4.5000, 5.0000]","['Laugh', 'Laugh', 'at', 'me', 'but', 'what', 'happens', 'the', 'night', 'that', 'she', 'goes', 'to', 'sleep', 'in', 'his', 'bed', 'and', 'his', 'memorial', 'breaks', 'in', 'pieces']"
[111.4700 - 114.7300],Ses05F_script01_2_F013,xxx,"[1.5000, 3.5000, 3.5000]","['Believe', 'with', 'me', 'Joe', 'I', 'can', 'not', 'stand', 'alone']"
[122.2700 - 127.9100],Ses05F_script01_2_F014,ang,"[2.0000, 3.5000, 4.0000]","['Only', 'last', 'week', 'another', 'boy', 'turned', 'up', 'in', 'Detroit', 'been', 'missing', 'longer', 'than', 'Larry', 'you', 'read', 'it', 'yourself']"
[131.9700 - 135.5000],Ses05F_script01_2_F015,xxx,"[2.0000, 2.5000, 3.5000]","['You', 'above', 'all', 'have', 'got', 'to', 'believe', 'Joe']"
[140.5500 - 142.8900],Ses05F_script01_2_F016,sad,"[2.5000, 3.5000, 3.5000]","['You', 'have', 'got', 'to', 'believe', 'You', 'have', 'got', 'to', '--']"
[145.6600 - 147.3200],Ses05F_script01_2_F017,ang,"[1.5000, 3.5000, 3.5000]","['I', 'can', 'not', 'help', 'it']"
[7.1900 - 9.3200],Ses05F_script01_2_M000,neu,"[3.0000, 2.5000, 2.5000]","['Why', 'does', 'that', 'bother', 'you']"
[12.8300 - 17.9000],Ses05F_script01_2_M001,neu,"[3.0000, 3.5000, 3.0000]","['Well', 'maybe', 'Maybe', 'she', 'just', 'wanted', 'to', 'see', 'her', 'again']"
[19.4700 - 29.2400],Ses05F_script01_2_M002,neu,"[2.5000, 3.0000, 3.5000]","['What', 'did', 'you', 'mean', 'He', 'lived', 'next', 'door', 'to', 'the', 'girl', 'all', 'of', 'his', 'life', 'why', 'would', 'not', 'he', 'want', 'to', 'see', 'her', 'again', 'Do', 'not', 'look', 'at', 'me', 'like', 'that', 'he', 'did', 'not', 'tell', 'me', 'any', 'more', 'than', 'he', 'told', 'you']"
[31.7600 - 34.4200],Ses05F_script01_2_M003,fru,"[3.0000, 3.5000, 3.0000]","['How', 'do', 'you', 'know', 'he', 'is', 'even', 'thinking', 'about', 'it']"
[35.4500 - 38.3100],Ses05F_script01_2_M004,fru,"[2.5000, 3.5000, 3.0000]","['Well', 'so', 'what']"
[40.4400 - 43.9600],Ses05F_script01_2_M005,fru,"[2.0000, 3.5000, 3.0000]","['Now', 'listen', 'Kate', 'just-']"
[50.2000 - 52.0600],Ses05F_script01_2_M006,xxx,"[2.5000, 3.0000, 3.5000]","['You', 'can', 'not', 'read', 'her', 'mind']"
[61.2300 - 64.0100],Ses05F_script01_2_M007,fru,"[2.0000, 3.5000, 3.0000]","['How', 'do', 'you', 'know', 'why', 'she', 'is', 'waited']"
[70.5400 - 75.4300],Ses05F_script01_2_M008,fru,"[2.0000, 4.0000, 3.0000]","['Look', 'It', 'is', 'a', 'nice', 'day', 'Why', 'are', 'we', 'arguing']"
[86.1600 - 88.9000],Ses05F_script01_2_M009,fru,"[1.5000, 3.5000, 4.5000]","['What', 'do', 'you', 'want', 'me', 'to', 'do', 'What', 'do', 'you', 'want', '--']"
[94.5700 - 96.2900],Ses05F_script01_2_M010,fru,"[2.0000, 2.5000, 2.5000]","['But', 'Kate', '...']"
[100.1500 - 101.3800],Ses05F_script01_2_M011,fru,"[4.0000, 3.0000, 2.5000]",['LAUGHTER']
[109.5800 - 111.5000],Ses05F_script01_2_M012,fru,"[2.5000, 3.0000, 3.0000]","['Calm', 'yourself']"
[113.9000 - 115.6400],Ses05F_script01_2_M013,fru,"[2.5000, 3.5000, 3.0000]","['Calm', 'yourself']"
[127.1600 - 131.4200],Ses05F_script01_2_M014,fru,"[2.5000, 3.5000, 4.0000]","['All', 'right', 'all', 'right', 'Calm', 'yourself']"
[135.2500 - 138.2600],Ses05F_script01_2_M015,xxx,"[2.0000, 3.0000, 3.5000]","['Why', 'me', 'above', 'all']"
[142.3800 - 146.3500],Ses05F_script01_2_M016,ang,"[1.5000, 4.0000, 4.5000]","['What', 'do', 'you', 'mean', 'me', 'above', 'all', 'Look', 'at', 'you', 'You', ""'re"", 'shaking']"
[146.9900 - 151.8500],Ses05F_script01_2_M017,ang,"[1.5000, 4.0000, 5.0000]","['What', 'have', 'I', 'got', 'to', 'hide', 'What', 'the', 'hell', 'is', 'the', 'matter', 'with', 'you', 'Kate']"
