% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.6132 - 6.1700],Ses05F_impro01_F000,neu,"[4.0000, 2.5000, 3.0000]","[ ' hi ' , ' need ' , ' I d ' ]"
[14.1500 - 19.4900],Ses05F_impro01_F001,fru,"[2.5000, 3.0000, 3.0000]","[ ' okay ' , ' sorry ' , ' stand ' , ' line ' , ' hour ' , ' way ' ]"
[22.8500 - 26.9000],Ses05F_impro01_F002,fru,"[2.5000, 3.0000, 3.5000]","[ ' tell ' , ' I - I ' , ' sorry ' , ' tell ' , ' line ' ]"
[29.9800 - 34.4600],Ses05F_impro01_F003,fru,"[2.5000, 3.0000, 3.0000]","[ ' mean ' , ' difference ' , ' need ' ]"
[39.4800 - 42.1800],Ses05F_impro01_F004,fru,"[2.5000, 3.5000, 3.0000]","[ ' just - can ' , ' get ' , ' right ' ]"
[42.8400 - 45.7800],Ses05F_impro01_F005,fru,"[2.5000, 3.5000, 3.0000]","[ ' would ' , ' able ' , ' put ' , ' front ' , ' line ' ]"
[46.8200 - 53.7400],Ses05F_impro01_F006,fru,"[2.0000, 3.5000, 4.0000]","[ ' know ' , ' line ' , ' people ' , ' understand ' , ' understand ' , ' like ' , ' could ' , ' please ' , ' like ' , ' call ' ]"
[58.2800 - 65.3300],Ses05F_impro01_F007,fru,"[2.0000, 3.5000, 4.0000]","[ ' hear ' , ' hear ' , ' thank ' , ' wait ' , ' line ' , ' long ' , ' want ' , ' day ' ]"
[65.3400 - 69.5800],Ses05F_impro01_F008,neu,"[2.0000, 3.5000, 3.5000]","[ ' could ' , ' maybe ' , ' get ' , ' form ' , ' fill ' , ' maybe ' , ' could ' ]"
[74.0600 - 76.6800],Ses05F_impro01_F009,fru,"[1.5000, 3.0000, 3.5000]","[ ' long ' , ' go ' , ' take ' ]"
[88.5200 - 91.5428],Ses05F_impro01_F011,fru,"[2.0000, 3.0000, 3.5000]","[ ' time ' , ' today ' ]"
[96.2500 - 101.6000],Ses05F_impro01_F012,fru,"[2.0000, 3.5000, 4.0000]","[ ' anything ' , ' please ' , ' compassion ' , ' something ' ]"
[117.8600 - 128.7300],Ses05F_impro01_F013,fru,"[2.0000, 3.5000, 4.0000]","[ ' please ' , ' think ' , ' necessary ' , ' ask ' , ' maybe ' , ' could ' , ' call ' , ' say ' , ' somebody ' , ' miss ' , ' inform ' , ' pick ' , ' stand ' , ' line ' , ' ask ' , ' stand ' , ' tell ' ]"
[130.3000 - 134.7700],Ses05F_impro01_F014,fru,"[2.0000, 4.0000, 4.5000]","[ ' lady ' , ' tell ' , ' stand ' , ' line ' , ' hour ' ]"
[136.7600 - 140.5500],Ses05F_impro01_F016,fru,"[1.5000, 3.5000, 4.5000]","[ ' sorry.i ' , ' stupid ' ]"
[144.6800 - 150.7000],Ses05F_impro01_F017,ang,"[1.5000, 4.0000, 4.0000]","[ ' anything ' , ' call ' , ' ask ' , ' go ' , ' front ' , ' line ' , ' line ' ]"
[154.9600 - 159.5500],Ses05F_impro01_F019,fru,"[2.0000, 4.0000, 4.0000]","[ ' except ' , ' go ' , ' tell ' , ' going ' , ' tell ' , ' right ' , ' line ' , ' stand ' , ' time ' , ' least ' ]"
[160.0100 - 164.8200],Ses05F_impro01_F020,ang,"[2.0000, 3.0000, 4.0000]","[ ' right ' , ' well ' , ' last ' , ' time ' , ' tell ' , ' line ' , ' obviously ' , ' true ' ]"
[167.2500 - 169.3800],Ses05F_impro01_F021,fru,"[2.0000, 3.0000, 3.5000]","[ ' manager ' , ' could ' , ' speak ' ]"
[171.7100 - 174.1300],Ses05F_impro01_F022,fru,"[2.0000, 3.0000, 3.5000]",[ ' straight ' ]
[179.5200 - 181.6059],Ses05F_impro01_F023,fru,"[2.0000, 3.0000, 2.5000]",[ ' fine ' ]
[5.7800 - 14.7800],Ses05F_impro01_M000,neu,"[2.5000, 2.5000, 4.0000]","[ ' ahh ' , ' yeah ' , ' wrong ' , ' line ' , ' sorry ' , ' need ' , ' go ' , ' back ' , ' line ' , ' two ' , ' start ' ]"
[17.6400 - 24.1600],Ses05F_impro01_M001,xxx,"[2.5000, 3.0000, 3.5000]","[ ' mean ' , ' really ' , ' nothing ' , ' line ' , ' line ' , ' new ' , ' i.d ' , ' line ' , ' registration ' ]"
[26.6500 - 31.4800],Ses05F_impro01_M002,xxx,"[2.0000, 3.0000, 3.5000]","[ ' yeah ' , ' understand ' , "" ma'am "" , ' know ' , ' say ' , ' need ' , ' different ' , ' line ' ]"
[34.1100 - 40.8800],Ses05F_impro01_M003,neu,"[2.0000, 4.0000, 3.5000]","[ ' well ' , ' camera ' , ' help ' , "" ma'am "" , ' form ' , ' something ' , ' completely ' , ' different ' , ' need ' , ' go ' , ' different ' , ' place ' ]"
[41.1100 - 44.3900],Ses05F_impro01_M004,fru,"[2.0000, 4.0000, 4.0000]","[ ' simply ' , ' step ' , ' line ' , ' two ' , "" ma'am "" , ' sorry ' ]"
[44.4200 - 48.1600],Ses05F_impro01_M005,fru,"[2.0000, 4.0000, 4.0000]","[ ' large ' , ' line ' , ' people ' , ' behind ' , ' wait ' ]"
[52.1100 - 59.0900],Ses05F_impro01_M006,fru,"[2.0000, 3.5000, 4.5000]","[ ' want ' , ' rude ' , "" ma'am "" , ' line ' , ' two ' , ' need ' , ' line ' , ' registration ' ]"
[69.3700 - 74.3600],Ses05F_impro01_M008,fru,"[2.0000, 4.0000, 4.0000]","[ ' form ' , "" ma'am "" , ' help ' , ' need ' , ' go ' , ' line ' , ' two ' ]"
[76.1600 - 87.3000],Ses05F_impro01_M009,fru,"[1.5000, 3.5000, 4.0000]","[ "" ma'am "" , ' obviously ' , ' idea ' , ' long ' , ' take ' , ' seem ' , ' bit ' , ' line ' , ' look ' , ' like ' , ' thirty ' , ' forty ' , ' people ' , ' could ' , ' take ' , ' four ' , ' five ' , ' hour ' , ' sorry ' ]"
[87.6000 - 89.6000],Ses05F_impro01_M010,fru,"[2.5000, 3.5000, 3.5000]","[ ' nothing ' , "" ma'am "" ]"
[91.3100 - 99.8800],Ses05F_impro01_M011,fru,"[1.5000, 3.5000, 4.5000]","[ ' obviously ' , ' time ' , ' stand ' , ' waste ' , ' time ' , ' line ' , ' people ' , ' need ' , ' service ' , ' behind ' , ' wait ' , ' right ' , ' thing ' ]"
[100.5200 - 110.6000],Ses05F_impro01_M012,fru,"[1.5000, 4.0000, 4.5000]","[ ' compassionate ' , ' person ' , ' offend ' , ' imply ' , ' course ' , ' compassionate ' , ' look ' , ' work ' , ' d.m.v ' , ' think ' , ' go ' , ' wait ' , ' line ' , ' two ' ]"
[111.0800 - 118.4700],Ses05F_impro01_M013,fru,"[1.5000, 4.0000, 4.5000]","[ ' ask ' , ' somebody ' , ' else ' , ' come ' , ' move ' , ' come ' , ' back ' , ' get ' , ' security ' , ' need ' ]"
[127.9700 - 131.1100],Ses05F_impro01_M014,fru,"[2.0000, 4.0000, 4.0000]","[ ' sure ' , ' tell ' ]"
[132.1100 - 135.5000],Ses05F_impro01_M015,fru,"[2.0000, 3.5000, 4.0000]","[ ' lady ' , ' janitor ' ]"
[135.5400 - 140.0000],Ses05F_impro01_M016,xxx,"[2.0000, 3.5000, 4.0000]","[ ' ask ' , ' janitor ' , ' line ' , ' stand ' , ' obviously ' , ' go ' , ' right ' , ' thing ' ]"
[140.1500 - 145.8800],Ses05F_impro01_M017,fru,"[2.0000, 3.0000, 4.0000]","[ ' say ' , ' stupid ' , "" ma'am "" , ' think ' , ' say ' , ' stupid ' ]"
[149.4200 - 151.6900],Ses05F_impro01_M018,fru,"[2.0000, 4.0000, 4.0000]","[ ' work ' , ' way ' , "" ma'am "" ]"
[151.7151 - 157.7300],Ses05F_impro01_M019,fru,"[2.5000, 4.0000, 4.0000]","[ ' strict ' , ' system ' , ' need ' , ' wait ' , ' right ' , ' line ' , ' right ' , ' thing ' , ' line ' , ' registration ' ]"
[158.4300 - 161.2200],Ses05F_impro01_M020,fru,"[2.0000, 3.5000, 3.5000]","[ ' tell ' , ' line ' , ' two ' ]"
[163.3500 - 167.6700],Ses05F_impro01_M021,fru,"[2.0000, 3.5000, 4.0000]","[ ' know ' , ' tell ' , ' wrong ' , ' sorry ' ]"
[168.5900 - 170.8100],Ses05F_impro01_M022,xxx,"[3.0000, 3.5000, 4.0000]",[ ' manager ' ]
[173.5200 - 179.8400],Ses05F_impro01_M023,fru,"[2.0000, 4.0000, 4.5000]","[ ' straight ' , "" ma'am "" , ' nothing ' , ' need ' , ' stand ' , ' line ' , ' two ' ]"
[181.2400 - 184.6200],Ses05F_impro01_M024,xxx,"[4.0000, 3.5000, 3.5000]","[ ' thank ' , ' much ' , ' wonderful ' , ' day ' ]"
[1.9734 - 3.7200],Ses05F_impro08_F000,neu,"[3.0000, 1.5000, 2.5000]","[ ' hi ' , ' sir ' , ' help ' ]"
