% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[7.8200 - 9.4300],Ses05M_script02_2_F000,neu,"[3.0000, 2.0000, 2.0000]","['about', 'what']"
[11.2000 - 12.6600],Ses05M_script02_2_F001,neu,"[2.6667, 2.0000, 2.0000]","['it', 'is', 'ridiculous']"
[17.1200 - 23.4300],Ses05M_script02_2_F002,xxx,"[2.3333, 3.0000, 3.0000]","['it', 'is', 'p.r', 'somebody', 'sold', 'you', 'a', 'bill', 'of', 'goods', 'that', 'this', 'magical', 'thing', 'would', 'be', 'happening', 'on', 'the', 'beach']"
[24.6500 - 35.7400],Ses05M_script02_2_F003,xxx,"[2.3333, 3.3333, 3.3333]","['sure', 'everybody', 'is', 'told', 'the', 'same', 'thing', 'it', 'keeps', 'us', 'all', 'excited', 'it', 'keeps', 'us', 'all', 'coming', 'back', 'for', 'more', 'it', 'keeps', 'us', 'thinking', 'that', 'life', 'is', 'gon', 'na', 'start', 'now', 'any', 'minute', 'if', 'we', 'can', 'just', 'find', 'the', 'right', 'spot', 'and', 'get', 'in', 'on', 'the', 'action']"
[38.0000 - 41.5400],Ses05M_script02_2_F004,fru,"[2.0000, 3.6667, 2.6667]","['i', 'sorry', 'it', 'is', 'just', 'it', 'is', 'it', 'is', 'just', 'fish', 'to', 'me']"
[50.0600 - 57.1200],Ses05M_script02_2_F005,ang,"[1.6667, 4.3333, 3.6667]","['god', 'damn', 'it', 'augie', 'seriously', 'you', 'always', 'ask', 'me', 'that', 'why', 'do', 'you', 'ask', 'me', 'that', 'i', 'hate', 'it', 'it', 'is', 'so', 'insulting']"
[57.8100 - 62.0700],Ses05M_script02_2_F006,fru,"[2.0000, 3.6667, 2.6667]","['i', 'just', 'we', 'just', 'have', 'different', 'ideas', 'of', 'what', 'this', 'night', 'is', 'suppose', 'to', 'look', 'like']"
[71.0300 - 76.1700],Ses05M_script02_2_F007,xxx,"[2.0000, 3.3333, 2.6667]","['for', 'god', 'sake', 'augie', 'it', 'grow', 'up', 'we', 'not', 'going', 'to', 'see', 'the', 'grunion']"
[77.3900 - 80.1500],Ses05M_script02_2_F008,fru,"[2.3333, 2.6667, 2.6667]","['we', 'we', 'do', 'not', 'ever', 'have', 'we', 'ever']"
[82.3800 - 84.8600],Ses05M_script02_2_F009,ang,"[2.3333, 3.3333, 3.0000]","['twice', 'is', 'every', 'time', 'we', 'have', 'tried', 'that', 'is', 'ever']"
[85.5100 - 102.0000],Ses05M_script02_2_F010,ang,"[1.6667, 4.0000, 4.0000]","['no', 'we', 'will', 'not', 'it', 'is', 'like', 'waiting', 'up', 'for', 'santa', 'clause', 'or', 'something', 'i', 'feel', 'like', 'as', 'though', 'my', 'whole', 'life', 'is', 'going', 'to', 'be', 'standing', 'on', 'the', 'beach', 'waiting', 'with', 'my', 'eyes', 'opened', 'expectantly', 'my', 'hands', 'clasped', 'neatly', 'in', 'front', 'of', 'me', 'waiting', 'for', 'fish', 'to', 'show', 'up', 'and', 'the', 'fish', 'will', 'not', 'show', 'up']"
[104.9000 - 107.0600],Ses05M_script02_2_F011,fru,"[2.3333, 3.0000, 3.0000]","['you', 'do', 'not', 'understand', 'anything', 'i', 'am', 'saying']"
[110.1400 - 118.0900],Ses05M_script02_2_F012,sad,"[2.0000, 2.6667, 2.3333]","['i', 'did', 'want', 'to', 'see', 'it', 'i', 'always', 'want', 'to', 'see', 'it', 'i', 'just', 'i', 'keep', 'thinking', 'this', 'will', 'be', 'the', 'time', 'and', 'it', 'never', 'is']"
[150.4300 - 182.3400],Ses05M_script02_2_F013,sad,"[2.3333, 2.3333, 2.6667]","['do', 'you', 'remember', 'the', 'first', 'time', 'that', 'we', 'came', 'to', 'see', 'the', 'grunion', 'it', 'was', 'about', 'four', 'years', 'ago', 'right', 'after', 'we', 'got', 'married', 'we', 'thought', 'i', 'was', 'pregnant', 'we', 'had', 'a', 'bottle', 'of', 'champagne', 'and', 'no', 'glasses', 'you', 'asked', 'me', 'to', 'dance', 'we', 'took', 'off', 'our', 'shoes', 'and', 'while', 'we', 'were', 'dancing', 'you', 'said', 'the', 'most', 'intimate', 'things', 'to', 'me', 'right', 'in', 'my', 'ear', 'so', 'i', 'could', 'feel', 'them', 'as', 'much', 'as', 'hear', 'them']"
[183.2400 - 193.3300],Ses05M_script02_2_F014,sad,"[2.0000, 2.3333, 2.3333]","['and', 'i', 'remember', 'thinking', 'to', 'myself', 'finally', 'i', 'am', 'as', 'happy', 'as', 'i', 'am', 'supposed', 'to', 'be']"
[201.2900 - 207.0300],Ses05M_script02_2_F015,sad,"[2.0000, 1.6667, 1.6667]","['dancing', 'barefoot', 'in', 'the', 'sand', 'drinking', 'champagne', 'out', 'of', 'the', 'bottle']"
