% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[5.1800 - 9.7600],Ses05F_impro04_F000,sad,"[2.5000, 2.0000, 3.0000]","['Brian', 'I', 'need', 'help']"
[15.7900 - 26.2000],Ses05F_impro04_F001,xxx,"[2.0000, 3.0000, 3.5000]","['I', 'do', 'not', '--', 'I', ""'m"", 'just', '--', 'I', ""'m"", 'thinking', 'maybe', 'I', 'should', 'move', 'back', 'home', 'or', 'something', 'I', 'do', 'not', 'I', 'do', 'not', 'know', 'what', 'to', 'do', 'I', 'can', 'not', 'I', 'cant', 'keep', 'living', 'the', 'way', 'I', ""'m"", 'living']"
[29.4500 - 36.3800],Ses05F_impro04_F002,fru,"[2.0000, 3.0000, 3.0000]","['I', 'do', 'not', 'know', 'I', 'mean', 'what', 'am', 'I', 'supposed', 'to', 'do', 'I', ""'ve"", 'It', 'is', 'not', 'for', 'lack', 'of', 'effort', 'I', ""'ve"", 'been', 'trying']"
[40.1400 - 44.2800],Ses05F_impro04_F003,fru,"[1.5000, 3.5000, 3.5000]","['How', 'did', 'you', 'get', 'a', 'job', 'What', 'am', 'I', 'What', 'am', 'I', 'supposed', 'to', 'do']"
[49.5400 - 66.4600],Ses05F_impro04_F004,fru,"[1.5000, 3.5000, 4.0000]","['I', 'mean', 'I', 'just', 'do', 'not', '--', 'I', 'do', 'not', 'know', 'If', 'you', 'do', 'not', 'have', 'a', 'lot', 'of', 'qualification', 'where', 'do', 'you', 'where', 'do', 'you', 'find', 'work', 'It', 'is', 'like', 'L.A.', 'is', 'so', 'frustrating', 'because', 'if', 'you', 'do', 'not', 'know', 'somebody', 'you', 'can', 'not', '-you', 'can', 'not', 'get', 'a', 'job', 'It', 'is', 'impossible', 'It', 'is', 'totally', 'discriminatory', 'You', 'have', 'to', 'know', 'somebody']"
[66.5300 - 68.1500],Ses05F_impro04_F005,fru,"[1.5000, 3.5000, 4.5000]","['It', 'is', 'not', 'fair']"
[71.2600 - 75.4400],Ses05F_impro04_F006,fru,"[1.5000, 3.5000, 4.5000]","['That', 'is', 'fine', 'I', ""'d"", 'be', 'willing', 'to', 'start', 'anywhere', 'I', 'can', 'not', 'get', 'a', 'job']"
[75.8600 - 80.9600],Ses05F_impro04_F007,fru,"[1.5000, 3.5000, 4.0000]","['I', 'mean', 'on', 'six', 'seven', 'and', 'five', 'an', 'hour', 'does', 'not', 'does', 'not', 'pay', 'the', 'bills', 'I', 'mean']"
[83.8900 - 89.8000],Ses05F_impro04_F008,ang,"[1.5000, 4.0000, 4.5000]","['I', 'still', 'can', 'not', 'live', 'on', 'in', 'six', 'seven', 'and', 'five', 'It', 'is', 'not', 'possible', 'in', 'Los', 'Angeles', 'Housing', 'is', 'too', 'expensive']"
[95.1700 - 107.3600],Ses05F_impro04_F009,fru,"[1.5000, 3.0000, 4.0000]","['I', 'mean', 'I', 'can', 'do', 'the', 'McDonald', ""'s"", 'thing', 'for', 'a', 'while', 'as', 'humiliating', 'as', 'that', 'is', 'but', 'I', 'mean', 'then', 'what', 'I', 'mean', 'You', 'can', 'not', 'exactly', 'move', 'up', 'in', 'that', 'kind', 'of', 'industry']"
[108.3100 - 116.0400],Ses05F_impro04_F010,fru,"[1.5000, 4.0000, 4.5000]","['Oh', 'come', 'on', 'that', 'is', 'not', 'what', 'I', 'envisioned', 'for', 'myself', 'Honestly', 'would', 'you', 'settle', 'for', 'being', 'a', 'manager', 'at', 'McDonalds']"
[118.9500 - 121.7100],Ses05F_impro04_F011,fru,"[2.5000, 3.5000, 3.5000]","['This', 'is', 'humiliating']"
[124.4800 - 128.0800],Ses05F_impro04_F012,fru,"[2.0000, 4.0000, 4.5000]","['No', 'I', 'do', 'not', 'I', 'do', 'not', 'want', 'to', 'accept', 'that', 'I', 'think', 'that', 'is', 'bullshit']"
[131.8200 - 135.8100],Ses05F_impro04_F013,fru,"[2.5000, 2.5000, 3.0000]","['I', 'do', 'not', 'know', 'I', 'feel', 'like', 'I', ""'ve"", 'tried', 'everything']"
[138.2800 - 145.8900],Ses05F_impro04_F014,fru,"[1.5000, 3.5000, 4.5000]","['Three', 'years', 'of', 'going', 'out', 'every', 'day', '--', 'every', 'day', '--', 'and', 'looking', 'for', 'a', 'job', 'and', 'being', 'constantly', 'denied', 'everywhere', 'I', 'go']"
[158.4900 - 167.2100],Ses05F_impro04_F015,sad,"[2.0000, 2.0000, 3.5000]","['I', ""'m"", 'just', 'so', 'scared', 'to', 'start', 'over', 'I', 'mean', 'I', 'put', 'so', 'much', 'time', 'and', 'energy', 'into', 'being', 'here']"
[168.5100 - 172.4321],Ses05F_impro04_F016,sad,"[2.0000, 2.0000, 2.5000]","['Where', 'am', 'I', 'supposed', 'to', 'go', 'I', 'mean', 'like', 'what']"
[179.1000 - 184.9500],Ses05F_impro04_F017,sad,"[2.0000, 2.0000, 3.5000]","['I', 'do', 'not', 'know', 'Maybe', 'I', 'can', 'take', 'out', 'a', 'loan', 'I', 'just-', 'I', 'need', 'prospects', 'and', 'I', 'do', 'not', 'feel', 'like', 'I', 'have', 'any']"
