utterance_id,start_time,end_time,emotion,valence,arousal,dominance
Ses02M_script03_2_F000,6.187,9.2081,positive,3,2.5,3.5
Ses02M_script03_2_F001,10.8543,13.8031,positive,2,3,3.5
Ses02M_script03_2_F002,17.8192,22.7036,neutral,2.5,3.5,4
Ses02M_script03_2_F003,24.2956,28.6373,neutral,2.5,3,3.5
Ses02M_script03_2_F004,30.3559,33.9378,positive,4,3.5,3
Ses02M_script03_2_F005,35.0775,36.6876,neutral,2.5,2.5,3
Ses02M_script03_2_F006,37.1398,40.1248,neutral,3,3,3
Ses02M_script03_2_F007,40.7398,45.6966,neutral,2.5,3,3.5
Ses02M_script03_2_F008,47.2886,50.2012,negative,2,2.5,3.5
Ses02M_script03_2_F009,53.9821,55.8816,neutral,3,2,3
Ses02M_script03_2_F010,57.0756,61.8515,negative,2,3,3.5
Ses02M_script03_2_F011,64.8002,69.16,neutral,2,3,3
Ses02M_script03_2_F012,74.1892,76.9751,neutral,2.5,2.5,3.5
Ses02M_script03_2_F013,79.6525,81.9681,negative,2,3,4
Ses02M_script03_2_F014,82.0767,83.3611,negative,2,2.5,4
Ses02M_script03_2_F015,90.8144,95.735,neutral,3,3.5,4
Ses02M_script03_2_F016,97.3451,100.529,negative,3,4,4
Ses02M_script03_2_F017,100.5652,102.8988,negative,4,4,3.5
Ses02M_script03_2_F018,104.8345,106.6979,negative,2,3,3.5
Ses02M_script03_2_F019,106.7159,108.4345,negative,2,3,3.5
Ses02M_script03_2_F020,111.4376,114.2054,negative,2.5,2.5,4
Ses02M_script03_2_F021,116.3039,118.6557,negative,2,3,4.5
Ses02M_script03_2_F022,121.4235,122.7622,negative,2.5,3,3.5
Ses02M_script03_2_F023,122.7984,129.6366,negative,1.5,4,4.5
Ses02M_script03_2_F024,133.1281,136.6919,neutral,3,3,3
Ses02M_script03_2_F025,138.6095,140.7623,negative,2.5,3,4
Ses02M_script03_2_F026,146.1171,150.3864,negative,2.5,3,4
Ses02M_script03_2_F027,163.5925,169.4719,negative,2.5,3,4.5
Ses02M_script03_2_F028,172.6559,174.8086,negative,1.5,2.5,4
Ses02M_script03_2_F029,177.8659,181.5202,negative,2.5,3.5,4
Ses02M_script03_2_F030,187.2368,189.1725,negative,2.5,2,3.5
Ses02M_script03_2_F031,191.2348,195.5404,negative,2.5,2,3.5
Ses02M_script03_2_F032,196.8791,199.3936,negative,3,2,3
Ses02M_script03_2_F033,201.7273,204.6218,negative,1.5,3,4
Ses02M_script03_2_F034,205.852,211.0439,negative,1.5,4,4
Ses02M_script03_2_F035,212.1475,216.3264,negative,1.5,3.5,4.5
Ses02M_script03_2_F036,216.3625,218.4471,negative,1.5,4.5,4.5
Ses02M_script03_2_F037,218.4791,224.3586,negative,1,5,5
Ses02M_script03_2_F038,224.449,230.9616,negative,1,5,5
Ses02M_script03_2_F039,235.846,240.0792,negative,1,4.5,5
Ses02M_script03_2_F040,240.4772,242.5757,negative,2,4,4.5
Ses02M_script03_2_F041,242.5938,254.0263,negative,1,5,5
Ses02M_script03_2_F042,254.0651,257.9526,negative,1,4.5,4.5
Ses02M_script03_2_M000,3.3467,7.2362,neutral,3,3,4
