% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.1063 - 8.8600],Ses05M_script01_1b_F000,sad,"[2.5000, 2.5000, 2.5000]","[ ' go ' , ' say ' , ' maybe ' , ' ought ' , ' tell ' , ' see ' ]"
[10.6000 - 13.7700],Ses05M_script01_1b_F001,sur,"[2.0000, 3.0000, 3.0000]","[ ' mean ' , ' first ' , ' one ' , ' still ' , ' bed ' ]"
[25.3400 - 28.8700],Ses05M_script01_1b_F003,xxx,"[2.0000, 2.0000, 3.0000]","[ ' four ' , ' morning ' ]"
[35.9800 - 38.5900],Ses05M_script01_1b_F004,xxx,"[2.0000, 2.0000, 2.5000]",[ ' talk ' ]
[45.2500 - 55.0200],Ses05M_script01_1b_F005,xxx,"[2.0000, 2.0000, 3.5000]","[ ' dream ' , ' get ' , ' like ' , ' larry ' , ' die ' , ' mean ' ]"
[68.6400 - 70.8400],Ses05M_script01_1b_F007,xxx,"[2.0000, 2.0000, 3.0000]","[ ' mean ' , ' dishonest ' ]"
[78.8200 - 81.5800],Ses05M_script01_1b_F008,xxx,"[2.0000, 2.5000, 3.5000]","[ ' gon ' , ' na ' , ' argue ' ]"
[97.6800 - 100.1200],Ses05M_script01_1b_F009,xxx,"[2.0000, 3.0000, 3.5000]","[ ' well ' , ' gon ' , ' na ' , ' prove ' , ' prove ' ]"
[111.4100 - 116.9200],Ses05M_script01_1b_F011,xxx,"[2.0000, 3.0000, 3.5000]","[ ' talk ' , ' blue ' , ' face ' , ' body ' , ' grave ' ]"
[126.6200 - 133.8800],Ses05M_script01_1b_F012,fru,"[1.5000, 3.5000, 4.0000]","[ ' trouble ' , ' god ' , ' damn ' , ' newspaper ' , ' mean ' , ' ea ' , ' week ' , ' new ' , ' boy ' , ' turn ' , ' nowhere ' , ' next ' , ' one ' , ' gon ' , ' na ' , ' larry ' ]"
[144.2100 - 148.0000],Ses05M_script01_1b_F014,xxx,"[3.0000, 3.0000, 3.5000]","[ ' well ' , ' get ' , ' idea ' , ' story ' ]"
[153.0300 - 155.1100],Ses05M_script01_1b_F015,xxx,"[3.0000, 2.5000, 2.5000]","[ ' well ' , ' business ' , ' chris ' ]"
[156.3700 - 159.7600],Ses05M_script01_1b_F016,fru,"[2.5000, 3.0000, 3.5000]","[ ' want ' , ' mean ' , ' old ' , ' enough ' , ' know ' , ' mind ' ]"
[161.2200 - 164.7700],Ses05M_script01_1b_F017,xxx,"[2.5000, 3.0000, 2.0000]","[ ' well ' , ' want ' , ' make ' , ' sure ' , ' father ' , ' gon ' , ' na ' ]"
[178.7900 - 182.6000],Ses05M_script01_1b_F018,fru,"[2.0000, 3.0000, 3.5000]","[ ' ignore ' , ' get ' , ' ignore ' , ' mean ' , ' girl ' , ' larry ' , ' girl ' ]"
