% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[5.4211 - 8.7432],Ses05F_script01_3_F000,hap,"[3.5000, 2.0000, 2.5000]","['you', 'the', 'only', 'one', 'i', 'know', 'who', 'loves', 'his', 'parents']"
[11.8580 - 13.6306],Ses05F_script01_3_F001,hap,"[4.0000, 2.5000, 2.5000]","['no', 'it', 'is', 'good']"
[15.3432 - 20.1605],Ses05F_script01_3_F002,hap,"[3.5000, 2.5000, 2.5000]","['it', 'is', 'so', 'lovely', 'here', 'the', 'air', 'is', 'sweet']"
[21.9032 - 26.8707],Ses05F_script01_3_F003,hap,"[4.0000, 2.0000, 3.0000]","['no', 'but', 'i', 'not', 'going', 'to', 'stay']"
[28.6434 - 31.5600],Ses05F_script01_3_F004,xxx,"[2.5000, 2.0000, 3.0000]","['well', 'your', 'mother', 'has', 'much', 'as', 'told', 'me', 'to', 'leave']"
[31.8182 - 39.2895],Ses05F_script01_3_F005,xxx,"[3.0000, 3.0000, 2.5000]","['well', 'you', 'saw', 'that', 'and', 'you', 'you', 'have', 'been-']"
[41.1223 - 44.5000],Ses05F_script01_3_F006,sad,"[3.0000, 2.0000, 2.5000]","['well', 'sort', 'of', 'embarrassed', 'soon', 'as', 'i', 'came']"
[55.0634 - 59.4100],Ses05F_script01_3_F007,xxx,"[3.5000, 2.0000, 3.0000]","['i', 'figured', 'they', 'would-', 'your', 'mother', 'at', 'least']"
[62.5848 - 66.9114],Ses05F_script01_3_F008,neu,"[3.5000, 2.5000, 3.0000]","['well', 'from', 'her', 'point', 'of', 'view', 'why', 'else', 'would', 'i', 'come']"
[80.2716 - 84.1875],Ses05F_script01_3_F009,hap,"[4.5000, 3.5000, 3.5000]","['i', 'guess', 'this', 'is', 'why', 'i', 'came']"
[121.9347 - 125.1796],Ses05F_script01_3_F010,xxx,"[3.0000, 2.5000, 3.5000]","['chris', 'i', 'been', 'ready', 'for', 'a', 'long', 'time']"
[128.9754 - 132.4406],Ses05F_script01_3_F011,xxx,"[3.0000, 2.0000, 2.5000]","['i', 'almost', 'got', 'married', 'two', 'years', 'ago']"
[135.0145 - 137.1700],Ses05F_script01_3_F012,xxx,"[3.5000, 2.0000, 3.0000]","['you', 'started', 'to', 'write', 'me']"
[139.9420 - 141.4700],Ses05F_script01_3_F013,xxx,"[4.0000, 2.0000, 2.5000]","['every', 'day', 'since']"
[143.3972 - 153.5827],Ses05F_script01_3_F014,xxx,"[5.0000, 3.5000, 3.0000]","['well', 'i', 'was', 'waiting', 'for', 'you', 'i', 'mean', 'i', 'did', 'not-until', 'then', 'you', 'had', 'not', 'written', 'and', 'when', 'you', 'write-', 'when', 'you', 'wrote', 'what', 'did', 'you', 'say', 'i', 'mean', 'you', 'sure', 'can', 'be', 'ambiguous', 'chris']"
