% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[10.0461 - 13.3500],Ses05F_script03_2_F000,neu,"[2.5000, 3.0000, 3.0000]","[ ' know ' , ' nothing ' ]"
[15.6000 - 18.0200],Ses05F_script03_2_F001,neu,"[2.0000, 3.0000, 3.5000]","[ ' trivial ' , ' little ' , ' broach ' ]"
[26.4100 - 29.5300],Ses05F_script03_2_F003,neu,"[2.5000, 3.0000, 3.5000]","[ ' work ' , ' whole ' , ' thing ' , ' jealous ' , ' imagination ' ]"
[31.9500 - 34.5400],Ses05F_script03_2_F004,neu,"[2.5000, 2.5000, 3.0000]","[ ' maybe ' , ' little ' ]"
[38.7800 - 42.6200],Ses05F_script03_2_F006,neu,"[4.0000, 3.0000, 4.0000]","[ ' well ' , ' get ' , ' lot ' , ' pleasure ' , ' hurt ' ]"
[48.9800 - 54.0200],Ses05F_script03_2_F008,fru,"[2.0000, 2.5000, 3.5000]","[ ' grow ' , ' quite ' , ' tired ' , ' bore ' , ' conversation ' ]"
[61.2300 - 64.7300],Ses05F_script03_2_F010,neu,"[2.0000, 3.0000, 3.5000]","[ ' see ' , ' want ' , ' already ' , ' three ' , ' glass ' ]"
[67.3400 - 70.7900],Ses05F_script03_2_F011,neu,"[2.0000, 3.0000, 3.5000]","[ ' well ' , ' seem ' , ' silly ' , ' go ' , ' thing ' ]"
[75.7800 - 78.1600],Ses05F_script03_2_F012,neu,"[2.5000, 2.5000, 3.5000]","[ ' become ' , ' habit ' ]"
[96.4700 - 99.7700],Ses05F_script03_2_F014,neu,"[2.5000, 2.5000, 3.5000]","[ ' make ' , ' fascinating ' ]"
[121.2500 - 124.3900],Ses05F_script03_2_F018,ang,"[1.5000, 3.5000, 4.0000]","[ ' um ' , ' seem ' , ' work ' , ' wonder ' ]"
[125.2100 - 127.4000],Ses05F_script03_2_F019,ang,"[3.0000, 3.0000, 3.5000]","[ ' add ' , ' snap ' , ' ste ' ]"
[129.2800 - 130.4900],Ses05F_script03_2_F020,ang,"[3.0000, 3.0000, 3.0000]",[ ' ste ' ]
[130.5900 - 134.5300],Ses05F_script03_2_F021,ang,"[1.0000, 4.0000, 4.5000]","[ ' care ' , ' bark ' , ' roll ' , ' around ' , ' like ' , ' hoop ' , ' okay ' ]"
[140.4600 - 142.3600],Ses05F_script03_2_F022,neu,"[4.0000, 3.5000, 3.5000]","[ ' yes ' , ' quite ' , ' bit ' ]"
[143.8800 - 145.3600],Ses05F_script03_2_F023,ang,"[2.5000, 2.5000, 3.0000]","[ ' mind ' , ' business ' ]"
[149.6300 - 154.8300],Ses05F_script03_2_F024,ang,"[2.0000, 3.0000, 4.5000]","[ ' oh ' , ' dear ' , ' really ' , ' become ' , ' quite ' , ' insufferable ' , ' would ' , ' imagine ' , ' drunk ' ]"
[172.4300 - 176.4800],Ses05F_script03_2_F026,fru,"[2.0000, 3.5000, 4.5000]","[ ' oh ' , ' insufferable ' , ' stop ' ]"
[180.5200 - 183.5700],Ses05F_script03_2_F027,ang,"[2.5000, 2.0000, 3.0000]","[ ' funny ' , ' dear ' , ' well ' , ' brandy ' ]"
[186.3800 - 187.8500],Ses05F_script03_2_F028,fru,"[1.5000, 4.0000, 3.5000]",[ ' ugh ' ]
[192.4000 - 195.7400],Ses05F_script03_2_F030,ang,"[2.5000, 3.5000, 3.5000]","[ ' people ' , ' upstairs ' , ' photographer ' , ' studio ' ]"
[196.8000 - 198.8600],Ses05F_script03_2_F031,ang,"[4.0000, 2.5000, 3.5000]","[ ' away ' , ' tunis ' ]"
[201.5500 - 203.7200],Ses05F_script03_2_F032,ang,"[2.0000, 2.5000, 4.0000]",[ ' turn ' ]
[204.7900 - 210.1400],Ses05F_script03_2_F033,ang,"[1.5000, 3.5000, 4.5000]","[ ' fine ' , ' insist ' , ' completely ' , ' insolent ' ]"
[212.2200 - 215.0500],Ses05F_script03_2_F034,ang,"[2.0000, 3.5000, 4.0000]","[ ' well ' , ' try ' , ' control ' , ' darling ' ]"
[215.0800 - 219.1200],Ses05F_script03_2_F035,ang,"[2.0000, 2.5000, 4.0000]","[ ' really ' , ' need ' , ' develop ' , ' uh ' , ' clear ' , ' head ' ]"
[219.3900 - 221.6700],Ses05F_script03_2_F036,ang,"[1.5000, 4.0000, 4.0000]",[ ' hate ' ]
[221.7100 - 222.9400],Ses05F_script03_2_F037,ang,"[2.0000, 3.5000, 4.0000]",[ ' hate ' ]
[223.0100 - 229.8600],Ses05F_script03_2_F038,ang,"[1.0000, 4.5000, 5.0000]","[ ' tired ' , ' listen ' , ' boorish ' , ' idiotic ' , ' completely ' , ' overbear ' ]"
[231.3600 - 237.4200],Ses05F_script03_2_F039,ang,"[1.0000, 4.0000, 5.0000]","[ ' yeah ' , ' amusing ' , ' let ' , ' go ' , ' get ' , ' believe ' , ' intend ' , ' marry ' ]"
[239.8400 - 247.1100],Ses05F_script03_2_F040,ang,"[1.0000, 4.5000, 5.0000]","[ ' oh ' , ' marry ' , ' must ' , ' insane ' , ' think ' , ' mean ' , ' completely ' , ' outrageous ' ]"
[248.5500 - 252.2800],Ses05F_script03_2_F041,ang,"[1.5000, 4.0000, 5.0000]","[ ' beast ' , ' brute ' , ' cad ' , ' whore ' ]"
[29.0900 - 32.5800],Ses05F_script03_2_M004,ang,"[2.0000, 3.5000, 3.5000]","[ ' must ' , ' admit ' , ' love ' ]"
[34.0800 - 36.9900],Ses05F_script03_2_M005,ang,"[2.0000, 3.5000, 3.5000]","[ ' let ' , ' kiss ' , ' say ' ]"
[47.0600 - 49.8000],Ses05F_script03_2_M008,ang,"[1.5000, 3.0000, 4.5000]","[ ' well ' , ' nice ' , ' point ' , ' view ' , ' must ' , ' say ' ]"
[53.5900 - 58.3400],Ses05F_script03_2_M009,neu,"[2.5000, 3.0000, 3.0000]","[ ' bored ' , ' stiff ' , ' would ' , ' like ' , ' brandy ' ]"
[59.0800 - 61.5500],Ses05F_script03_2_M010,neu,"[3.0000, 3.5000, 3.0000]","[ ' little ' , ' think ' ]"
[77.6600 - 82.9300],Ses05F_script03_2_M013,ang,"[2.0000, 4.0000, 4.5000]","[ ' need ' , ' grand ' , ' simply ' , ' happen ' , ' want ' , ' moment ' ]"
[86.6900 - 88.5300],Ses05F_script03_2_M014,ang,"[2.0000, 3.5000, 4.5000]","[ ' really ' , ' amanda ' ]"
[99.4100 - 102.2800],Ses05F_script03_2_M016,ang,"[2.5000, 3.5000, 3.5000]","[ ' oh ' , ' reply ' , ' break ' , ' heart ' ]"
