filename,segment_start,segment_end,emotion,valence,arousal,dominance
Ses01F_impro01_2.png,6,9,neutral,2.5,2.25,2.5
Ses01F_impro01_3.png,9,12,negative,2.5,2.166666667,2.5
Ses01F_impro01_4.png,12,15,negative,2.5,2.25,2.5
Ses01F_impro01_5.png,15,18,neutral,2.25,3,3
Ses01F_impro01_6.png,18,21,negative,2.333333333,3,3
Ses01F_impro01_7.png,21,24,negative,2.5,3.25,3
Ses01F_impro01_8.png,24,27,negative,2.5,3.25,3
Ses01F_impro01_9.png,27,30,neutral,2.333333333,3.666666667,3
Ses01F_impro01_10.png,30,33,negative,2.166666667,3.666666667,3
Ses01F_impro01_11.png,33,36,negative,2,3.5,3.5
Ses01F_impro01_12.png,36,39,negative,2,3.5,3.5
Ses01F_impro01_13.png,39,42,negative,2,3.5,3.5
Ses01F_impro01_14.png,42,45,negative,2,3.5,3.5
Ses01F_impro01_15.png,45,48,negative,2.25,3.5,3.5
Ses01F_impro01_16.png,48,51,negative,2.5,3.5,3.5
Ses01F_impro01_17.png,51,54,negative,2.5,3.5,3.25
Ses01F_impro01_18.png,54,57,negative,2.25,3.5,3.25
Ses01F_impro01_19.png,57,60,negative,2.166666667,3.5,3.333333333
Ses01F_impro01_20.png,60,63,negative,2,3.5,3.25
Ses01F_impro01_21.png,63,66,negative,2.25,3.5,3.5
Ses01F_impro01_22.png,66,69,negative,2,3.5,3.75
Ses01F_impro01_23.png,69,72,negative,2,3.5,3.75
Ses01F_impro01_24.png,72,75,negative,2.25,3.5,3.75
Ses01F_impro01_25.png,75,78,negative,2,3.5,3.5
Ses01F_impro01_26.png,78,81,negative,2,3.5,3.5
Ses01F_impro01_27.png,81,84,negative,2,4,3.75
Ses01F_impro01_28.png,84,87,negative,2,4,3.75
Ses01F_impro01_29.png,87,90,negative,2,3.75,3.75
Ses01F_impro01_30.png,90,93,negative,2,4,4
Ses01F_impro01_31.png,93,96,negative,2.333333333,3.166666667,3.166666667
Ses01F_impro01_32.png,96,99,negative,2.5,3,3
Ses01F_impro01_33.png,99,102,neutral,2.25,4,4
Ses01F_impro01_34.png,102,105,negative,2.166666667,3.833333333,3.666666667
Ses01F_impro02_2.png,6,9,negative,2.5,2,1.5
Ses01F_impro02_3.png,9,12,negative,2.5,2,1.5
Ses01F_impro02_4.png,12,15,negative,2.5,2,1.5
Ses01F_impro02_5.png,15,18,negative,2.25,2.25,2
Ses01F_impro02_6.png,18,21,negative,2,2,2
Ses01F_impro02_7.png,21,24,negative,2,2,2
Ses01F_impro02_8.png,24,27,negative,2,2,2
Ses01F_impro02_9.png,27,30,negative,2,2,2
Ses01F_impro02_10.png,30,33,negative,2,1.75,1.75
Ses01F_impro02_11.png,33,36,neutral,2,2,2
Ses01F_impro02_12.png,36,39,neutral,2.25,2.5,2.25
Ses01F_impro02_13.png,39,42,negative,2.5,3,2.5
Ses01F_impro02_14.png,42,45,negative,2.5,3,2.5
Ses01F_impro02_15.png,45,48,negative,2.5,2.5,2.5
Ses01F_impro02_16.png,48,51,negative,2.5,2,2.5
Ses01F_impro02_17.png,51,54,negative,2.25,2.5,2.75
Ses01F_impro02_18.png,54,57,negative,2,3,3
Ses01F_impro02_19.png,57,60,negative,2,2.5,2.75
Ses01F_impro02_20.png,60,63,negative,2,2.5,2.25
Ses01F_impro02_21.png,63,66,negative,2.25,2.75,2.25
Ses01F_impro02_22.png,66,69,neutral,2.5,2.5,2.5
Ses01F_impro02_23.png,69,72,negative,2,3,1.5
Ses01F_impro02_24.png,72,75,negative,2,3.25,2.25
Ses01F_impro02_25.png,75,78,negative,2,3.5,3
Ses01F_impro02_26.png,78,81,negative,2,3.25,2.25
Ses01F_impro02_27.png,81,84,negative,2,3,1.5
Ses01F_impro02_28.png,84,87,negative,2,3,1.5
Ses01F_impro02_29.png,87,90,negative,1.5,2,1.5
Ses01F_impro02_30.png,90,93,negative,1.5,1.75,1.75
Ses01F_impro02_31.png,93,96,negative,1.5,1.5,2
Ses01F_impro02_32.png,96,99,negative,2,1.5,2
Ses01F_impro02_33.png,99,102,negative,2,1.5,2
Ses01F_impro02_34.png,102,105,negative,2,2.25,2.25
Ses01F_impro02_35.png,105,108,negative,2.25,2.75,2.5
Ses01F_impro02_36.png,108,111,negative,2.5,2,2.25
Ses01F_impro02_37.png,111,114,negative,2.5,2,2.25
Ses01F_impro02_38.png,114,117,negative,2,1.5,2.5
Ses01F_impro02_39.png,117,120,negative,2.75,1.75,2
Ses01F_impro02_40.png,120,123,negative,2.75,2,1.5
Ses01F_impro02_41.png,123,126,negative,2,2,1.5
Ses01F_impro02_42.png,126,129,negative,1.5,2,2
Ses01F_impro02_43.png,129,132,negative,1.5,2,2
Ses01F_impro02_44.png,132,135,negative,2,1.75,2.25
Ses01F_impro02_45.png,135,138,negative,2.5,1.5,2.5
Ses01F_impro02_46.png,138,141,negative,1.5,2,2
Ses01F_impro02_47.png,141,144,negative,1.5,2,2
Ses01F_impro02_48.png,144,147,negative,1.5,2,2
Ses01F_impro02_49.png,147,150,neutral,2.5,2,2
Ses01F_impro02_50.png,150,153,neutral,2.25,2.25,2.25
Ses01F_impro02_51.png,153,156,negative,2,2.5,2.5
Ses01F_impro02_52.png,156,159,negative,1.5,2,2
Ses01F_impro02_53.png,159,162,negative,1.5,2,2
Ses01F_impro02_54.png,162,165,neutral,1.666666667,2,2
Ses01F_impro02_55.png,165,168,negative,1.75,2,2
Ses01F_impro02_56.png,168,171,negative,2.5,3,2
Ses01F_impro02_57.png,171,174,negative,3.5,3,2.5
Ses01F_impro02_58.png,174,177,negative,3,2.833333333,2.166666667
Ses01F_impro02_59.png,177,180,neutral,2.5,2.5,2.5
