% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[4.4500 - 31.2000],Ses05M_impro08_F000,fru,"[2.0000, 4.0000, 4.0000]","[ ' hi ' , ' need ' , ' need ' , ' help ' , ' transfer ' , ' like ' , ' eight ' , ' different ' , ' department ' , ' tell ' , ' problem ' , ' every ' , ' single ' , ' department ' , ' send ' , ' another ' , ' one ' , ' say ' , ' go ' , ' send ' , ' information ' , ' repeat ' , ' person ' , ' know ' , ' go ' , ' restate ' , ' story ' , ' eight ' , ' different ' , ' times ' , ' want ' , ' somebody ' , ' help ' , ' get ' , ' connection ' , ' back ' , ' happen ' , ' every ' , ' two ' , ' week ' , ' want ' , ' know ' , ' stop ' , ' happen ' ]"
[31.8600 - 34.8400],Ses05M_impro08_F001,fru,"[2.0000, 3.0000, 3.0000]","[ ' yeah ' , ' service ' , ' go ' ]"
[35.2100 - 36.1900],Ses05M_impro08_F002,fru,"[3.0000, 2.5000, 2.5000]",[ ' yeah ' ]
[36.3600 - 47.0600],Ses05M_impro08_F003,fru,"[2.0000, 3.5000, 3.0000]","[ ' reset ' , ' ip ' , ' address ' , ' like ' , ' know ' , ' direct ' , ' connect ' , ' modem ' , ' computer ' , ' reset ' , ' everything ' , ' put ' , ' router ' , ' back ' ]"
[47.0700 - 51.9000],Ses05M_impro08_F004,fru,"[2.5000, 4.0000, 3.0000]","[ ' work ' , ' like ' , ' week ' , ' go ' ]"
[53.0200 - 56.2300],Ses05M_impro08_F005,neu,"[3.0000, 3.5000, 3.0000]","[ ' uh ' , ' yeah ' , ' pin ' , ' couple ' , ' time ' ]"
[61.5000 - 66.9100],Ses05M_impro08_F006,neu,"[2.5000, 2.5000, 3.0000]","[ ' pretty ' , ' much ' , ' yeah ' , ' know ' , ' like ' , ' bad ' , ' phone ' , ' line ' , ' something ' ]"
[69.0700 - 70.2700],Ses05M_impro08_F007,neu,"[3.0000, 1.5000, 2.0000]","[ ' hmm ' , ' mmm ' ]"
[74.3700 - 75.9300],Ses05M_impro08_F008,neu,"[3.0000, 2.0000, 2.5000]",[ ' yeah ' ]
[77.2200 - 81.0600],Ses05M_impro08_F009,neu,"[3.0000, 2.5000, 2.5000]","[ ' go ' , ' go ' , ' like ' , ' doorway ' , ' go ' , ' long ' , ' distance ' ]"
