utterance_id,start_time,end_time,emotion,valence,arousal,dominance
Ses03F_script03_1_F000,4.86,6.52,neutral,3,2.5,2
Ses03F_script03_1_F001,7.67,9.9216,neutral,2.5,3,2.5
Ses03F_script03_1_F002,10.7025,14.17,negative,2,3,3
Ses03F_script03_1_F003,14.9625,16.93,negative,2,3.5,2.5
Ses03F_script03_1_F004,21.165,24.46,positive,4,3.5,3
Ses03F_script03_1_F005,26.1175,28.5475,neutral,3,3.5,3
Ses03F_script03_1_F006,34.0575,39.23,positive,4,4,3
Ses03F_script03_1_F007,42.91,50.0425,positive,3.5,3.5,3
Ses03F_script03_1_F008,52.41,54.59,positive,3.5,3,3
Ses03F_script03_1_F009,60.18,63.8793,positive,2.5,3.5,2.5
Ses03F_script03_1_F010,65.96,67.87,positive,3,3,2.5
Ses03F_script03_1_F011,80.48,84.19,positive,3,2.5,3
Ses03F_script03_1_F012,85.88,90.0125,positive,4,3,3
Ses03F_script03_1_F013,90.45,93.685,positive,3,3,2.5
Ses03F_script03_1_F014,96.1525,98.98,negative,2.5,3,3
Ses03F_script03_1_F015,100.29,105.39,negative,2.5,3.5,2.5
Ses03F_script03_1_F016,107.73,110.17,neutral,2.5,2.5,2.5
Ses03F_script03_1_F017,115.61,118.8,positive,3,3.5,3
Ses03F_script03_1_F018,142.4475,145.83,positive,3,3.5,3.5
Ses03F_script03_1_F019,159.3275,167.93,positive,3.5,4,4.5
Ses03F_script03_1_F020,173.245,176.15,positive,4,3,3
Ses03F_script03_1_F021,180.08,184.44,positive,4,4,3
Ses03F_script03_1_F022,185.2025,191.35,positive,3,3.5,3.5
Ses03F_script03_1_F023,192.8,196.03,positive,3,3.5,3
Ses03F_script03_1_F024,200.44,204.88,positive,4,4,4
Ses03F_script03_1_F025,207.01,210.59,positive,4,3.5,3
Ses03F_script03_1_F026,212.51,218.33,positive,4,4.5,4
Ses03F_script03_1_F027,221.67,226.2,positive,4,3,3
Ses03F_script03_1_F028,228.0575,230.82,positive,4,4,3
Ses03F_script03_1_M000,3.4,5.27,neutral,3,3,2.5
Ses03F_script03_1_M001,6.0425,8.265,neutral,2.5,3,4
Ses03F_script03_1_M002,9.265,11.2025,neutral,3,3,3
Ses03F_script03_1_M003,13.7975,15.315,negative,3,2.5,3
Ses03F_script03_1_M004,17.04,21.42,neutral,3,3.5,3.5
Ses03F_script03_1_M005,24.415,26.6375,neutral,4,3,3
Ses03F_script03_1_M006,28.19,34.21,positive,2,3.5,4
Ses03F_script03_1_M007,38.69,43.42,positive,4,3.5,4
Ses03F_script03_1_M008,44.5,47.21,neutral,3.5,3.5,3
Ses03F_script03_1_M009,49.7225,52.8575,neutral,3.5,3.5,3.5
Ses03F_script03_1_M010,53.87,60.49,positive,4,3.5,4
Ses03F_script03_1_M011,63.42,66.3875,positive,3.5,3.5,3.5
Ses03F_script03_1_M012,68.3275,81.07,positive,3,3.5,4
Ses03F_script03_1_M013,83.105,86.33,positive,3.5,3.5,3.5
Ses03F_script03_1_M014,89.47,91.27,positive,3,2.5,3
Ses03F_script03_1_M015,93.13,97.0375,positive,3.5,2,3
Ses03F_script03_1_M016,98.53,101.05,positive,3.5,3,3
Ses03F_script03_1_M017,104.77,108.53,positive,3,3.5,4
Ses03F_script03_1_M018,109.78,116.2475,positive,3.5,3.5,3
Ses03F_script03_1_M019,118.38,124.7727,positive,3.5,3.5,4
Ses03F_script03_1_M020,124.8432,143.13,positive,4,4,4.5
Ses03F_script03_1_M021,145.01,159.705,positive,3.5,3,4
Ses03F_script03_1_M022,169.91,174.37,positive,3,3.5,3
Ses03F_script03_1_M023,175.4025,180.945,positive,3.5,3.5,3.5
Ses03F_script03_1_M024,181.345,185.6975,negative,2,3,3.5
Ses03F_script03_1_M025,191.06,193.29,positive,4,2.5,3
Ses03F_script03_1_M026,195.5,200.85,positive,3.5,3,3
Ses03F_script03_1_M027,204.58,207.14,positive,3.5,2.5,3
Ses03F_script03_1_M028,210.15,212.88,positive,4,3.5,3
Ses03F_script03_1_M029,216.97,221.78,positive,4.5,4.5,4.5
Ses03F_script03_1_M030,226.48,228.62,positive,3.5,3,2.5
Ses03F_script03_1_M031,232.88,238.26,positive,3,2.5,3.5
