% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[2.2600 - 11.5600],Ses05F_impro05_F000,neu,"[2.5000, 2.5000, 3.0000]","['hi', 'um', 'i', 'think', 'my', 'baggage', 'was', 'lost', 'and', 'i', 'need', 'to', 'i', 'guess', 'file', 'a', 'claim', 'or', 'i', 'do', 'not', 'know', 'what']"
[11.5900 - 15.1665],Ses05F_impro05_F001,neu,"[2.5000, 2.5000, 3.0000]","['um-seventeen', 'coming', 'from']"
[15.1950 - 17.8748],Ses05F_impro05_F002,neu,"[3.0000, 2.0000, 2.5000]","['it', 'was', 'virgin', 'atlantic', 'coming', 'from', 'london']"
[24.1752 - 28.9646],Ses05F_impro05_F003,fru,"[2.5000, 3.0000, 3.0000]","['yeah', 'i', 'do', 'not', 'know', 'where', 'it', 'was', 'lost', 'i', 'was', 'coming', 'from', 'africa', 'so']"
[30.8900 - 32.2600],Ses05F_impro05_F004,neu,"[2.5000, 2.5000, 2.5000]",['right']
[33.0800 - 34.3600],Ses05F_impro05_F005,neu,"[2.5000, 2.0000, 2.5000]",['yeah']
[42.0500 - 43.3329],Ses05F_impro05_F006,neu,"[3.0000, 2.0000, 2.5000]","['that', 'is', 'good']"
[52.0280 - 57.3800],Ses05F_impro05_F007,neu,"[2.5000, 3.0000, 3.0000]","['well', 'i', 'can', 'not', 'leave', 'without', 'it', 'i', 'mean', 'could', 'you', 'find', 'out']"
[61.8900 - 66.9200],Ses05F_impro05_F008,fru,"[2.5000, 3.0000, 3.0000]","['right', 'well', 'can', 'you', 'get', 'on', 'the', 'computer', 'maybe', 'and', 'like', 'track', 'it', 'down', 'and', 'see', 'when', 'it', 'is', 'going', 'to', 'get', 'here']"
[75.1483 - 78.5400],Ses05F_impro05_F009,fru,"[2.5000, 2.5000, 3.5000]","['yes', 'sir', 'i', 'know', 'what', 'my', 'bag', 'looks', 'like']"
