% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[10.0461 - 13.3500],Ses05F_script03_2_F000,neu,"[2.5000, 3.0000, 3.0000]","['knew', 'nothing']"
[15.6000 - 18.0200],Ses05F_script03_2_F001,neu,"[2.0000, 3.0000, 3.5000]","['trivial', 'little', 'broach']"
[20.0400 - 23.7100],Ses05F_script03_2_F002,xxx,"[2.5000, 3.0000, 3.5000]","['i-i', 'still', 'wear', 'quite', 'often']"
[26.4100 - 29.5300],Ses05F_script03_2_F003,neu,"[2.5000, 3.0000, 3.5000]","['worked', 'whole', 'thing', 'jealous', 'imagination']"
[31.9500 - 34.5400],Ses05F_script03_2_F004,neu,"[2.5000, 2.5000, 3.0000]","['maybe', 'little']"
[36.6100 - 38.2200],Ses05F_script03_2_F005,neu,"[2.5000, 4.0000, 3.0000]",[]
[38.7800 - 42.6200],Ses05F_script03_2_F006,neu,"[4.0000, 3.0000, 4.0000]","['well', 'got', 'lot', 'pleasure', 'hurt']"
[43.1200 - 47.7100],Ses05F_script03_2_F007,xxx,"[2.5000, 3.0000, 4.0000]","['well', 'nosey', 'suspicious', 'never', 'would', 'heard']"
[48.9800 - 54.0200],Ses05F_script03_2_F008,fru,"[2.0000, 2.5000, 3.5000]","['growing', 'quite', 'tired', 'bored', 'conversation']"
[57.9400 - 59.6100],Ses05F_script03_2_F009,xxx,"[3.0000, 2.5000, 2.5000]",[]
[61.2300 - 64.7300],Ses05F_script03_2_F010,neu,"[2.0000, 3.0000, 3.5000]","['see', 'want', 'already', 'three', 'glasses']"
[67.3400 - 70.7900],Ses05F_script03_2_F011,neu,"[2.0000, 3.0000, 3.5000]","['well', 'seems', 'silly', 'go', 'thing']"
[75.7800 - 78.1600],Ses05F_script03_2_F012,neu,"[2.5000, 2.5000, 3.5000]","['becoming', 'habit']"
[85.3600 - 87.4500],Ses05F_script03_2_F013,xxx,"[2.5000, 2.5000, 3.0000]",['stupid']
[96.4700 - 99.7700],Ses05F_script03_2_F014,neu,"[2.5000, 2.5000, 3.5000]","['making', 'fascinating']"
[107.3500 - 111.3800],Ses05F_script03_2_F015,xxx,"[2.5000, 3.5000, 3.5000]","['woman', 'job', 'allure', 'man', 'watch', 'moment']"
[113.0800 - 114.9000],Ses05F_script03_2_F016,xxx,"[2.5000, 2.5000, 3.0000]",[]
[115.8200 - 117.9700],Ses05F_script03_2_F017,xxx,"[1.5000, 2.5000, 3.0000]","['oh', 'shut']"
[121.2500 - 124.3900],Ses05F_script03_2_F018,ang,"[1.5000, 3.5000, 4.0000]","['um', 'seem', 'worked', 'wonders']"
[125.2100 - 127.4000],Ses05F_script03_2_F019,ang,"[3.0000, 3.0000, 3.5000]","['adder', 'snap', 'sting']"
[129.2800 - 130.4900],Ses05F_script03_2_F020,ang,"[3.0000, 3.0000, 3.0000]",['sting']
[130.5900 - 134.5300],Ses05F_script03_2_F021,ang,"[1.0000, 4.0000, 4.5000]","['care', 'bark', 'roll', 'around', 'like', 'hoops', 'okay']"
[140.4600 - 142.3600],Ses05F_script03_2_F022,neu,"[4.0000, 3.5000, 3.5000]","['yes', 'quite', 'bit']"
[143.8800 - 145.3600],Ses05F_script03_2_F023,ang,"[2.5000, 2.5000, 3.0000]","['mind', 'business']"
[149.6300 - 154.8300],Ses05F_script03_2_F024,ang,"[2.0000, 3.0000, 4.5000]","['oh', 'dear', 'really', 'becoming', 'quite', 'insufferable', 'would', 'imagine', 'drunk']"
[165.6600 - 170.5100],Ses05F_script03_2_F025,xxx,"[2.0000, 4.0000, 4.5000]","['oh', 'contrary', 'child', 'two', 'could', 'get', 'violently', 'drunk', 'one', 'glass']"
[172.4300 - 176.4800],Ses05F_script03_2_F026,fru,"[2.0000, 3.5000, 4.5000]","['oh', 'insufferable', 'stop']"
[180.5200 - 183.5700],Ses05F_script03_2_F027,ang,"[2.5000, 2.0000, 3.0000]","['funny', 'dear', 'better', 'brandy']"
[186.3800 - 187.8500],Ses05F_script03_2_F028,fru,"[1.5000, 4.0000, 3.5000]",['ugh']
[189.1200 - 190.5400],Ses05F_script03_2_F029,ang,"[1.5000, 3.5000, 4.0000]",[]
[192.4000 - 195.7400],Ses05F_script03_2_F030,ang,"[2.5000, 3.5000, 3.5000]","['people', 'upstairs', 'photographer', 'studio']"
[196.8000 - 198.8600],Ses05F_script03_2_F031,ang,"[4.0000, 2.5000, 3.5000]","['away', 'tunis']"
