% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[7.8200 - 9.4300],Ses05M_script02_2_F000,neu,"[3.0000, 2.0000, 2.0000]",[]
[11.2000 - 12.6600],Ses05M_script02_2_F001,neu,"[2.6667, 2.0000, 2.0000]",['ridiculous']
[17.1200 - 23.4300],Ses05M_script02_2_F002,xxx,"[2.3333, 3.0000, 3.0000]","['p.r', 'somebody', 'sold', 'bill', 'goods', 'magical', 'thing', 'would', 'happening', 'beach']"
[24.6500 - 35.7400],Ses05M_script02_2_F003,xxx,"[2.3333, 3.3333, 3.3333]","['sure', 'everybody', 'told', 'thing', 'keeps', 'us', 'excited', 'keeps', 'us', 'coming', 'back', 'keeps', 'us', 'thinking', 'life', 'gon', 'na', 'start', 'minute', 'find', 'right', 'spot', 'get', 'action']"
[38.0000 - 41.5400],Ses05M_script02_2_F004,fru,"[2.0000, 3.6667, 2.6667]","['sorry', 'fish']"
[50.0600 - 57.1200],Ses05M_script02_2_F005,ang,"[1.6667, 4.3333, 3.6667]","['god', 'damn', 'augie', 'seriously', 'always', 'ask', 'ask', 'hate', 'insulting']"
[57.8100 - 62.0700],Ses05M_script02_2_F006,fru,"[2.0000, 3.6667, 2.6667]","['different', 'ideas', 'night', 'suppose', 'look', 'like']"
[71.0300 - 76.1700],Ses05M_script02_2_F007,xxx,"[2.0000, 3.3333, 2.6667]","['god', 'sake', 'augie', 'grow', 'going', 'see', 'grunion']"
[77.3900 - 80.1500],Ses05M_script02_2_F008,fru,"[2.3333, 2.6667, 2.6667]","['ever', 'ever']"
[82.3800 - 84.8600],Ses05M_script02_2_F009,ang,"[2.3333, 3.3333, 3.0000]","['twice', 'every', 'time', 'tried', 'ever']"
[85.5100 - 102.0000],Ses05M_script02_2_F010,ang,"[1.6667, 4.0000, 4.0000]","['like', 'waiting', 'santa', 'clause', 'something', 'feel', 'like', 'though', 'whole', 'life', 'going', 'standing', 'beach', 'waiting', 'eyes', 'opened', 'expectantly', 'hands', 'clasped', 'neatly', 'front', 'waiting', 'fish', 'show', 'fish', 'show']"
[104.9000 - 107.0600],Ses05M_script02_2_F011,fru,"[2.3333, 3.0000, 3.0000]","['understand', 'anything', 'saying']"
[110.1400 - 118.0900],Ses05M_script02_2_F012,sad,"[2.0000, 2.6667, 2.3333]","['want', 'see', 'always', 'want', 'see', 'keep', 'thinking', 'time', 'never']"
[150.4300 - 182.3400],Ses05M_script02_2_F013,sad,"[2.3333, 2.3333, 2.6667]","['remember', 'first', 'time', 'came', 'see', 'grunion', 'four', 'years', 'ago', 'right', 'got', 'married', 'thought', 'pregnant', 'bottle', 'champagne', 'glasses', 'asked', 'dance', 'took', 'shoes', 'dancing', 'said', 'intimate', 'things', 'right', 'ear', 'could', 'feel', 'much', 'hear']"
[183.2400 - 193.3300],Ses05M_script02_2_F014,sad,"[2.0000, 2.3333, 2.3333]","['remember', 'thinking', 'finally', 'happy', 'supposed']"
[201.2900 - 207.0300],Ses05M_script02_2_F015,sad,"[2.0000, 1.6667, 1.6667]","['dancing', 'barefoot', 'sand', 'drinking', 'champagne', 'bottle']"
[216.6100 - 222.9000],Ses05M_script02_2_F016,sad,"[2.0000, 2.0000, 2.0000]","['would', 'rather', 'remember', 'things', 'rather', 'hope', 'something']"
[230.0000 - 231.3200],Ses05M_script02_2_F017,sad,"[2.3333, 1.3333, 1.6667]",[]
[233.4900 - 234.9800],Ses05M_script02_2_F018,sad,"[2.3333, 2.3333, 1.6667]",[]
[235.4200 - 236.5400],Ses05M_script02_2_F019,sad,"[2.0000, 2.0000, 1.6667]",[]
[239.5200 - 241.3100],Ses05M_script02_2_F020,xxx,"[3.6667, 2.6667, 2.3333]",['laughter']
[246.0500 - 247.2800],Ses05M_script02_2_F021,xxx,"[2.0000, 2.6667, 2.6667]",[]
[247.8400 - 248.7400],Ses05M_script02_2_F022,sad,"[2.3333, 2.0000, 2.0000]",[]
[253.0700 - 257.3700],Ses05M_script02_2_F023,sad,"[1.6667, 2.6667, 2.3333]","['want', 'want', 'things', 'turn', 'way', 'supposed']"
[302.3700 - 306.3200],Ses05M_script02_2_F024,xxx,"[2.0000, 3.0000, 2.6667]","['even', 'anything']"
[306.9900 - 312.1983],Ses05M_script02_2_F025,xxx,"[2.0000, 3.0000, 3.3333]","['sure', 'standing', 'beach', 'waiting', 'fighting']"
[313.8300 - 318.2969],Ses05M_script02_2_F026,sad,"[2.0000, 2.3333, 2.0000]",['wanted']
[322.1100 - 332.1900],Ses05M_script02_2_F027,sad,"[2.0000, 2.6667, 2.0000]","['mean', 'lot', 'everything', 'know', 'something', 'else', 'making', 'sense']"
[333.6500 - 345.9600],Ses05M_script02_2_F028,sad,"[2.3333, 2.3333, 2.0000]","['know', 'augie', 'know', 'know', 'meant', 'lot', 'special', 'know', 'sand', 'moon']"
[346.9300 - 351.6200],Ses05M_script02_2_F029,sad,"[2.3333, 1.6667, 2.0000]","['could', 'help', 'thinking', 'somewhere', 'else']"
[356.8400 - 358.4200],Ses05M_script02_2_F030,sad,"[2.0000, 2.0000, 2.0000]",['say']
[362.3300 - 368.7200],Ses05M_script02_2_F031,sad,"[1.6667, 2.0000, 2.0000]","['heavens', 'sake', 'augie', 'whatever', 'rather']"
[370.2900 - 381.7500],Ses05M_script02_2_F032,sad,"[2.0000, 2.0000, 2.3333]","['yes', 'know', 'mean', 'probably', 'one', 'wishes', 'somebody', 'else', 'somebody', 'take', 'everything', 'hard', 'knew', 'enjoy']"
[390.5400 - 394.5900],Ses05M_script02_2_F033,xxx,"[3.3333, 2.0000, 2.3333]","['okay', 'well', 'wrong', 'spot', 'right', 'person']"
