% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.6700 - 6.5700],Ses05M_impro06_F000,xxx,"[2.0000, 2.0000, 1.5000]","['ryan', 'what', 'is', 'wrong']"
[15.2600 - 17.1900],Ses05M_impro06_F001,xxx,"[2.0000, 3.0000, 1.5000]",['what']
[25.3800 - 28.0200],Ses05M_impro06_F002,sad,"[2.0000, 2.5000, 1.5000]","['oh', 'i', 'so', 'sorry']"
[33.1700 - 34.8800],Ses05M_impro06_F003,sad,"[2.0000, 3.0000, 1.5000]","['oh', 'my', 'gosh']"
[64.2500 - 65.9400],Ses05M_impro06_F004,sad,"[2.5000, 2.0000, 2.0000]","['what', 'did', 'he', 'do']"
[89.5600 - 91.5800],Ses05M_impro06_F005,sad,"[2.0000, 2.0000, 2.0000]","['yeah', 'i', 'so', 'sorry']"
[116.6200 - 118.7400],Ses05M_impro06_F006,sad,"[2.0000, 2.5000, 1.5000]","['you', 'guys', 'have', 'been']"
[147.8100 - 149.7900],Ses05M_impro06_F007,sad,"[2.0000, 2.5000, 1.5000]","['i', 'sorry']"
[169.9892 - 177.1000],Ses05M_impro06_F008,sad,"[2.0000, 3.0000, 2.5000]","['wow', 'ryan', 'i', 'know', 'that', 'you', 'are', 'hurting', 'right', 'now', 'but', 'i', 'do', 'not', 'think', 'you', 'always', 'feel', 'like', 'that']"
[188.8700 - 193.3500],Ses05M_impro06_F009,sad,"[2.0000, 2.0000, 2.5000]","['yeah', 'i', 'understand', 'i', 'think', 'it', 'is', 'really', 'healthy', 'to', 'grieve']"
[197.8800 - 201.0100],Ses05M_impro06_F010,sad,"[2.0000, 3.0000, 2.5000]","['if', 'there', 'anything', 'i', 'can', 'do', 'to', 'be', 'there', 'for', 'you']"
[10.9000 - 14.8600],Ses05M_impro06_M000,sad,"[2.0000, 2.0000, 2.0000]","['i', 'just', 'got', 'some', 'bad', 'news']"
[19.9600 - 25.5800],Ses05M_impro06_M001,sad,"[2.0000, 2.0000, 2.0000]","['my', 'friend', 'shotty', 'passed', 'away']"
[27.4600 - 33.6700],Ses05M_impro06_M002,sad,"[1.5000, 2.0000, 2.0000]","['the', 'end', 'he', 'is', 'been', 'sick', 'for', 'awhile', 'he', 'had', 'cancer']"
