utterance_id,start_time,end_time,emotion,valence,arousal,dominance
Ses03M_impro01_F000,12.2267,15.5586,neutral,2.5,2.5,3.5
Ses03M_impro01_F001,18.8906,21.8775,negative,3,4,4
Ses03M_impro01_F002,24.625,28.4002,negative,1.5,3.5,3
Ses03M_impro01_F003,28.4002,32.275,neutral,2,4,4
Ses03M_impro01_F004,33.9075,39.6278,negative,2.5,4,4
Ses03M_impro01_F005,39.79,45.7464,negative,2,4,3.5
Ses03M_impro01_F006,46.5472,48.9639,negative,1.5,2.5,3
Ses03M_impro01_F007,50.4511,52.7678,negative,2.5,3.5,3.5
Ses03M_impro01_F008,52.7678,56.5573,negative,2.5,4,3.5
Ses03M_impro01_F009,60.6186,65.94,negative,2.5,4,4
Ses03M_impro01_F010,66.31,70.2712,negative,2,4,4
Ses03M_impro01_F011,70.2712,77.7788,negative,2.5,3.5,4
Ses03M_impro01_F012,78.8942,84.015,negative,2.5,4,3.5
Ses03M_impro01_F013,84.565,88.5,negative,2.5,3,3
Ses03M_impro01_F014,88.647,91.2353,negative,3,3.5,3
Ses03M_impro01_F015,92.3364,95.11,negative,2.5,3.5,4.5
Ses03M_impro01_F016,95.7675,98.1525,negative,2.5,3.5,4
Ses03M_impro01_F017,98.6125,100.3016,negative,2.5,3,3.5
Ses03M_impro01_F018,105.1696,109.3251,negative,2.5,4,4
Ses03M_impro01_F019,109.3251,112.4568,negative,2.5,3.5,4
Ses03M_impro01_F020,115.846,117.4762,negative,2.5,2.5,3
Ses03M_impro01_F021,117.9052,125.365,negative,2.5,4,4.5
Ses03M_impro01_F022,126.4424,131.1615,negative,2,4,3.5
Ses03M_impro01_F023,132.28,142.8425,negative,1.5,4.5,5
Ses03M_impro01_F024,143.1775,148.68,negative,2,4,4
Ses03M_impro01_F025,149.915,156.62,negative,1.5,4.5,4.5
Ses03M_impro01_M000,4.4045,13.1562,negative,2.5,3.5,4
Ses03M_impro01_M001,14.6863,19.6199,negative,2.5,4,3.5
Ses03M_impro01_M002,21.293,24.8252,negative,2.5,4,3
Ses03M_impro01_M003,27.5675,28.72,negative,1,3,3.5
Ses03M_impro01_M004,31.203,34.5207,negative,2.5,3.5,4
Ses03M_impro01_M005,34.7209,36.3225,negative,2.5,2,2.5
Ses03M_impro01_M006,37.3092,41.1989,negative,2,2.5,3
Ses03M_impro01_M007,43.9731,47.1621,negative,2,3.5,4.5
Ses03M_impro01_M008,48.063,51.1804,negative,2,3,3.5
Ses03M_impro01_M009,56.9434,61.2907,negative,1.5,4,4
Ses03M_impro01_M010,64.8085,68.212,negative,2,2.5,3.5
Ses03M_impro01_M011,68.4122,72.1731,negative,1.5,3.5,4
Ses03M_impro01_M012,74.6757,80.267,negative,2.5,3,3.5
Ses03M_impro01_M013,81.455,83.2275,negative,3.5,3,2.5
Ses03M_impro01_M014,87.4744,89.648,negative,2.5,3.5,3
Ses03M_impro01_M015,89.8482,94.365,negative,1.5,4.5,3.5
Ses03M_impro01_M016,94.6675,96.26,negative,2.5,2.5,3
Ses03M_impro01_M017,97.5846,100.3874,negative,4,3,3.5
Ses03M_impro01_M018,100.3874,104.6775,negative,2.5,4.5,3.5
Ses03M_impro01_M019,110.0973,113.372,negative,2.5,3.5,3.5
Ses03M_impro01_M020,113.372,116.4375,negative,2.5,3,4
Ses03M_impro01_M021,116.7183,119.1207,negative,3,3.5,3
Ses03M_impro01_M022,120.0788,122.7387,negative,2,3,3
Ses03M_impro01_M023,124.8265,133.0348,negative,2.5,4.5,4
Ses03M_impro01_M024,133.63,136.595,negative,2.5,4,3.5
Ses03M_impro01_M025,138.8979,141.1001,negative,2,3,3.5
Ses03M_impro01_M026,141.3003,146.763,negative,2.5,3,3.5
Ses03M_impro01_M027,147.6496,151.668,negative,1.5,4,3.5
Ses03M_impro01_M028,152.8549,155.7721,negative,2,4.5,4.5
Ses03M_impro01_M029,155.8293,158.2325,negative,1.5,3.5,4.5
